x,y,z
-0.0037347,0,0
0.0027474,0,0
0.0033909,0,0
0.0012194,0,0
0.0054798,0,0
0.00079862,0,0
0.0040375,0,0
0.00061888,0,0
0.0002132,0,0
-0.00035476,0,0
0.0010105,0,0
-0.001426,0,0
-0.0014642,0,0
0.0038987,0,0
0.0050157,0,0
-0.0087679,0,0
0.00052551,0,0
-3.5548e-05,0,0
-0.0010179,0,0
0.00045094,0,0
-0.0061148,0,0
-0.00010576,0,0
-0.0042484,0,0
0.00039205,0,0
-6.4235e-05,0,0
-0.00068183,0,0
0.00047277,0,0
-0.0016614,0,0
-0.0019316,0,0
-0.0035503,0,0
0.0032209,0,0
0.0016007,0,0
0.005137,0,0
0.00036778,0,0
0.00021513,0,0
0.0042195,0,0
0.001142,0,0
-0.00022214,0,0
0.0011561,0,0
-0.0027068,0,0
-0.0018524,0,0
0.00039269,0,0
0.00067288,0,0
-0.0022643,0,0
0.0029896,0,0
0.0017107,0,0
0.0032188,0,0
-0.0049703,0,0
0.0015409,0,0
-0.0020244,0,0
-0.0021581,0,0
-0.0015748,0,0
-0.0059721,0,0
0.0013757,0,0
-9.7057e-05,0,0
-0.000703,0,0
-0.0016173,0,0
0.00093903,0,0
0.0014263,0,0
-0.0011457,0,0
-0.0034755,0,0
-0.002328,0,0
-0.001577,0,0
0.0018297,0,0
-0.0045333,0,0
0.0035545,0,0
0.00042853,0,0
0.0059978,0,0
0.0014054,0,0
0.0020536,0,0
0.00037053,0,0
-0.038706,0,0
-0.068488,0,0
0.039089,0,0
0.076441,0,0
0.0043632,0,0
0.0030463,0,0
0.039072,0,0
0.0035595,0,0
-0.037739,0,0
-0.011695,0,0
0.0034922,0,0
-0.021484,0,0
-0.00024581,0,0
0.015218,0,0
-0.00097829,0,0
0.0028263,0,0
-0.025303,0,0
-0.1807,0,0
-0.02741,0,0
0.026939,0,0
0.18295,0,0
0.025311,0,0
-0.032469,0,0
-0.25005,0,0
0.17496,0,0
0.10322,0,0
-0.0014919,0,0
-0.0001184,0,0
-0.16222,0,0
-0.31895,0,0
0.0009451,0,0
0.3279,0,0
0.15844,0,0
0.0085544,0,0
-0.2308,0,0
-0.11954,0,0
0.24059,0,0
0.11589,0,0
-0.0026348,0,0
-0.10433,0,0
-0.16552,0,0
0.23022,0,0
0.033758,0,0
0.0035872,0,0
0.0027988,0,0
-0.030604,0,0
-0.24681,0,0
0.18328,0,0
0.105,0,0
0.0022674,0,0
-0.001092,0,0
-0.11155,0,0
-0.22661,0,0
0.11383,0,0
0.22748,0,0
-0.00065551,0,0
0.0041636,0,0
0.0024809,0,0
-0.22987,0,0
-0.079623,0,0
0.27076,0,0
0.042307,0,0
-0.0084902,0,0
-0.0028636,0,0
-0.30089,0,0
0.0041204,0,0
0.29977,0,0
-0.00088906,0,0
-0.0023609,0,0
0.0019165,0,0
-0.066938,0,0
-0.034263,0,0
0.064339,0,0
0.034632,0,0
0.0022866,0,0
0.0022134,0,0
-0.10862,0,0
-0.21782,0,0
0.10974,0,0
0.22123,0,0
0.0056779,0,0
-0.0037331,0,0
-0.060695,0,0
-0.41784,0,0
0.0046968,0,0
0.42005,0,0
0.063765,0,0
-0.0022289,0,0
0.0026388,0,0
-0.11492,0,0
-0.032186,0,0
0.1352,0,0
0.019406,0,0
-0.0066261,0,0
-0.031522,0,0
-0.22574,0,0
0.0036269,0,0
0.22352,0,0
0.03278,0,0
-0.0018321,0,0
0.00020775,0,0
-0.2038,0,0
-0.098072,0,0
0.20301,0,0
0.09998,0,0
-0.00045091,0,0
0.0028338,0,0
-0.35118,0,0
-0.17634,0,0
0.17733,0,0
0.35207,0,0
0.0010776,0,0
-0.03022,0,0
-0.20856,0,0
0.062692,0,0
0.17898,0,0
-0.0045027,0,0
-0.0073403,0,0
-0.27476,0,0
-0.13148,0,0
0.28076,0,0
0.14358,0,0
-0.0033101,0,0
0.007143,0,0
-0.11975,0,0
-0.24105,0,0
0.23827,0,0
0.12189,0,0
0.0028509,0,0
-0.0041091,0,0
-0.085349,0,0
-0.15882,0,0
0.023074,0,0
0.19148,0,0
0.027509,0,0
-0.041214,0,0
-0.28271,0,0
0.32331,0,0
-0.005066,0,0
