"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047663915637","923.25","-35.5","0.0245436926061703"
"3008 33B2 DDD9 0140 0000 0000","1574047663947590","923.25","-57.5","1.1106020904292"
"E200 9366 C6B6 8031 9071 BE00","1574047663981522","923.25","-49","0.994019550549895"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047664020812","923.25","-35.5","0.0184077694546277"
"E200 9366 C6B6 8031 9071 BE00","1574047664116747","927.75","-49.5","6.04388430426943"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047664337279","922.25","-35.5","0.380427235395639"
"E200 9366 C6B6 8031 9071 BE00","1574047664373076","922.25","-49.5","1.1965050145508"
"E200 9366 C6B6 8031 9071 BE00","1574047664444861","922.25","-49","1.2394564766116"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047664524806","927.25","-35","4.89646667493097"
"3008 33B2 DDD9 0140 0000 0000","1574047664575819","927.25","-58","5.22167060196272"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047664663174","927.25","-35","4.90260259808251"
"E200 9366 C6B6 8031 9071 BE00","1574047664711764","926.25","-49.5","0.21475731030399"
"3008 33B2 DDD9 0140 0000 0000","1574047664815082","926.25","-57.5","5.84139884026852"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047664921936","924.25","-35.5","5.982525072754"
"E200 9366 C6B6 8031 9071 BE00","1574047664963723","924.25","-49","0.736310778185108"
"E200 9366 C6B6 8031 9071 BE00","1574047665064032","924.25","-49","0.711767085578938"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047665150211","924.75","-35.5","5.87207845602623"
"E200 9366 C6B6 8031 9071 BE00","1574047665212673","924.75","-49.5","0.589048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047665261270","924.75","-35","5.87821437917778"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047665359804","925.75","-35","5.4916512206306"
"E200 9366 C6B6 8031 9071 BE00","1574047665404066","925.75","-49.5","0.374291312244096"
"E200 9366 C6B6 67B1 9071 BD9E","1574047665441501","925.75","-52","0.662679700366597"
"E200 9366 C6B6 8031 9071 BE00","1574047665483169","925.75","-49.5","0.306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047665577607","922.75","-35.5","0.251572849213245"
"3008 33B2 DDD9 0140 0000 0000","1574047665611402","922.75","-56","1.42967009430942"
"E200 9366 C6B6 67B1 9071 BD9E","1574047665643833","922.75","-52","0.926524395882927"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047665777357","923.75","-35.5","6.19728238305799"
"E200 9366 C6B6 67B1 9071 BD9E","1574047665835086","923.75","-53","0.349747619637926"
"3008 33B2 DDD9 0140 0000 0000","1574047665882827","923.75","-56","0.724038931882023"
"E200 9366 C6B6 8031 9071 BE00","1574047665961378","925.25","-49","0.386563158547182"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047666061535","925.25","-35","5.66345706887379"
"E200 9366 C6B6 8031 9071 BE00","1574047666159894","926.75","-49.5","6.14819499784565"
"3008 33B2 DDD9 0140 0000 0000","1574047666203495","926.75","-56","5.28302983347815"
"E200 9366 C6B6 67B1 9071 BD9E","1574047666242549","926.75","-51","0.245436926061703"
"E200 9366 C6B6 67B1 9071 BD9E","1574047666380084","923.25","-48.5","0.325203927031756"
"3008 33B2 DDD9 0140 0000 0000","1574047666414388","923.25","-55","1.12287393673229"
"E200 9366 C6B6 8031 9071 BE00","1574047666466731","923.25","-49","0.834485548609789"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047666556386","927.75","-35.5","4.7430685961424"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047666608931","927.75","-35","4.71238898038469"
"E200 9366 C6B6 8031 9071 BE00","1574047666656883","927.75","-49.5","5.982525072754"
"3008 33B2 DDD9 0140 0000 0000","1574047666690502","927.75","-56","5.39961237335746"
"E200 9366 C6B6 67B1 9071 BD9E","1574047666739068","922.25","-47.5","0.282252464970958"
"3008 33B2 DDD9 0140 0000 0000","1574047666818179","922.25","-55.5","2.1046216409791"
"E200 9366 C6B6 8031 9071 BE00","1574047666860774","922.25","-48.5","1.12900985988383"
"E200 9366 C6B6 67B1 9071 BD9E","1574047666954442","927.25","-48","4.14788405044277"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047666994850","927.25","-35","4.86578705917325"
"E200 9366 C6B6 8031 9071 BE00","1574047667033656","927.25","-49.5","6.05002022742097"
"3008 33B2 DDD9 0140 0000 0000","1574047667076454","927.25","-57","5.66959299202533"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047667154814","926.25","-34.5","5.29530167978123"
"E200 9366 C6B6 67B1 9071 BD9E","1574047667196192","926.25","-47.5","1.67510702037112"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047667282997","926.25","-35","5.3198453723874"
"E200 9366 C6B6 67B1 9071 BD9E","1574047667365270","924.25","-48","1.22104870715697"
"E200 9366 C6B6 8031 9071 BE00","1574047667400370","924.25","-49.5","0.484737928971863"
"3008 33B2 DDD9 0140 0000 0000","1574047667432695","924.25","-56.5","1.04310693576224"
"E200 9366 C6B6 67B1 9071 BD9E","1574047667476929","924.25","-48","0.521553467881118"
"3008 33B2 DDD9 0140 0000 0000","1574047667560761","924.75","-59","0.920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047667594939","924.75","-35.5","5.90275807178395"
"E200 9366 C6B6 8031 9071 BE00","1574047667632277","924.75","-49.5","0.638136007760427"
"E200 9366 C6B6 67B1 9071 BD9E","1574047667707350","924.75","-47","1.44807786376405"
"3008 33B2 DDD9 0140 0000 0000","1574047667788616","925.75","-58","0.460194236365692"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047667831166","925.75","-34","5.52846675953985"
"E200 9366 C6B6 8031 9071 BE00","1574047667867528","925.75","-48.5","6.19728238305799"
"3008 33B2 DDD9 0140 0000 0000","1574047667911414","925.75","-56","0.687223392972767"
"E200 9366 C6B6 67B1 9071 BD9E","1574047667989600","922.75","-47","5.46097160487288"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047668032632","922.75","-36","0.45405831321415"
"E200 9366 C6B6 8031 9071 BE00","1574047668070012","922.75","-47.5","1.40512640170325"
"E200 9366 C6B6 67B1 9071 BD9E","1574047668226363","923.75","-48","0.227029156607075"
"E200 9366 C6B6 8031 9071 BE00","1574047668258741","923.75","-48.5","1.25786424606623"
"3008 33B2 DDD9 0140 0000 0000","1574047668294793","923.75","-57.5","1.41739824800633"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047668325498","923.75","-36","6.26477753772496"
"3008 33B2 DDD9 0140 0000 0000","1574047668388159","925.25","-58.5","0.877437010670587"
"E200 9366 C6B6 67B1 9071 BD9E","1574047668431066","925.25","-48","6.09910761263331"
"E200 9366 C6B6 8031 9071 BE00","1574047668465387","925.25","-48","0.797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047668502718","925.25","-35.5","5.71868037723767"
"3008 33B2 DDD9 0140 0000 0000","1574047668581976","926.75","-58.5","0.0920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047668622885","926.75","-35","5.15417544729575"
"E200 9366 C6B6 67B1 9071 BD9E","1574047668662605","926.75","-49","5.86594253287469"
"E200 9366 C6B6 8031 9071 BE00","1574047668696901","926.75","-48.5","0.47860200582032"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047668779552","923.25","-36","0.098174770424681"
"E200 9366 C6B6 8031 9071 BE00","1574047668814985","923.25","-48","1.46648563321867"
"3008 33B2 DDD9 0140 0000 0000","1574047668845231","923.25","-58","1.69351478982575"
"E200 9366 C6B6 67B1 9071 BD9E","1574047668879427","923.25","-49","0.325203927031756"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047669003819","927.75","-35","4.77988413505166"
"E200 9366 C6B6 67B1 9071 BD9E","1574047669062179","927.75","-48.5","5.58369006790373"
"E200 9366 C6B6 8031 9071 BE00","1574047669094695","927.75","-48.5","5.88435030232932"
"3008 33B2 DDD9 0140 0000 0000","1574047669227028","922.25","-58","2.4359614911624"
"E200 9366 C6B6 67B1 9071 BD9E","1574047669267867","922.25","-47","0.595184545699629"
"E200 9366 C6B6 7BF1 9071 BDEF","1574047669304122","922.25","-36","0.47860200582032"
