"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050420613177","923.75","-40","4.62648605626309"
"3008 33B2 DDD9 0140 0000 0000","1574050420644451","923.75","-61","1.25172832291468"
"E200 9366 C6B6 67B1 9071 BD9E","1574050420650917","923.75","-52","5.57141822160065"
"E200 9366 C6B6 6771 9071 BD9D","1574050420673439","923.75","-48.5","5.56528229844911"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050420705986","923.75","-40","4.67557344147543"
"E200 9366 C6B6 6771 9071 BD9D","1574050420721721","923.75","-48.5","5.60209783735836"
"E200 9366 C6B6 67B1 9071 BD9E","1574050420736827","923.75","-52.5","5.38734052705437"
"3008 33B2 DDD9 0140 0000 0000","1574050420778253","925.25","-62.5","1.41739824800633"
"3008 33B2 DDD9 0140 0000 0000","1574050420814747","925.25","-61.5","0.447922390062607"
"3008 33B2 DDD9 0140 0000 0000","1574050420842466","925.25","-59","0.521553467881118"
"E200 9366 C6B6 67B1 9071 BD9E","1574050420912702","925.25","-54","4.34423359129214"
"3008 33B2 DDD9 0140 0000 0000","1574050420931281","925.25","-59.5","0.466330159517235"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050420986473","926.75","-41","0.386563158547182"
"E200 9366 C6B6 6771 9071 BD9D","1574050421012905","926.75","-48.5","4.76761228874857"
"3008 33B2 DDD9 0140 0000 0000","1574050421112677","926.75","-61.5","5.74935999299538"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050421191408","923.25","-40","4.97009775274948"
"E200 9366 C6B6 6771 9071 BD9D","1574050421325561","923.25","-49","5.77390368560155"
"E200 9366 C6B6 67B1 9071 BD9E","1574050421387494","927.75","-55.5","0.975611781095268"
"3008 33B2 DDD9 0140 0000 0000","1574050421579994","922.25","-59.5","1.88372840752357"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050421657902","922.25","-39.5","5.46097160487288"
"E200 9366 C6B6 6771 9071 BD9D","1574050421749593","922.25","-49.5","5.99479691905709"
"3008 33B2 DDD9 0140 0000 0000","1574050421796471","927.25","-59.5","5.81685514766235"
"E200 9366 C6B6 67B1 9071 BD9E","1574050421809378","927.25","-56","5.95184545699629"
"3008 33B2 DDD9 0140 0000 0000","1574050421837862","927.25","-59.5","5.59596191420682"
"E200 9366 C6B6 8031 9071 BE00","1574050421864877","927.25","-60.5","0.325203927031756"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050421885076","927.25","-40.5","0.282252464970958"
"E200 9366 C6B6 67B1 9071 BD9E","1574050421913224","927.25","-56.5","5.89048622548086"
"3008 33B2 DDD9 0140 0000 0000","1574050421933527","927.25","-60","5.82299107081389"
"E200 9366 C6B6 6771 9071 BD9D","1574050421990010","926.25","-49","4.84124336656708"
"3008 33B2 DDD9 0140 0000 0000","1574050422061440","926.25","-56","6.08683576633022"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050422075657","926.25","-41","0.71790300873048"
"E200 9366 C6B6 67B1 9071 BD9E","1574050422090305","926.25","-57.5","0.411106851153352"
"E200 9366 C6B6 6771 9071 BD9D","1574050422107166","926.25","-49","4.84737928971863"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050422145685","926.25","-41","0.71790300873048"
"E200 9366 C6B6 6771 9071 BD9D","1574050422208613","924.25","-49","5.44256383541826"
"E200 9366 C6B6 8031 9071 BE00","1574050422239255","924.25","-62","5.99479691905709"
"E200 9366 C6B6 67B1 9071 BD9E","1574050422267274","924.25","-58","2.57708772364788"
"3008 33B2 DDD9 0140 0000 0000","1574050422422688","924.75","-60","0.711767085578938"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050422559626","924.75","-40.5","1.28854386182394"
"E200 9366 C6B6 6771 9071 BD9D","1574050422573769","924.75","-49","5.3198453723874"
"E200 9366 C6B6 67B1 9071 BD9E","1574050422610520","925.75","-53.5","0.374291312244096"
"E200 9366 C6B6 8031 9071 BE00","1574050422655789","925.75","-61","1.18423316824771"
"3008 33B2 DDD9 0140 0000 0000","1574050422736897","925.75","-59","0.368155389092554"
"E200 9366 C6B6 67B1 9071 BD9E","1574050422763124","925.75","-52.5","1.34990309333936"
"3008 33B2 DDD9 0140 0000 0000","1574050422821456","922.75","-58","1.79782548340197"
"3008 33B2 DDD9 0140 0000 0000","1574050422836087","922.75","-60.5","1.93281579273591"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050422855217","922.75","-39","4.77374821190012"
"E200 9366 C6B6 6771 9071 BD9D","1574050422895755","922.75","-49","5.84753476342006"
"3008 33B2 DDD9 0140 0000 0000","1574050422947470","922.75","-62.5","0.269980618667873"
"E200 9366 C6B6 8031 9071 BE00","1574050422951366","922.75","-59.5","0.589048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050423000726","922.75","-39","5.12349583153804"
"3008 33B2 DDD9 0140 0000 0000","1574050423041424","923.75","-57","1.31922347758165"
"E200 9366 C6B6 6771 9071 BD9D","1574050423057732","923.75","-49","5.64504929941916"
"E200 9366 C6B6 67B1 9071 BD9E","1574050423108171","923.75","-56","4.66330159517235"
"3008 33B2 DDD9 0140 0000 0000","1574050423133757","923.75","-57","4.36877728389831"
"E200 9366 C6B6 8031 9071 BE00","1574050423554889","926.75","-55.5","4.71238898038469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050423788445","923.25","-39","4.77374821190012"
"E200 9366 C6B6 6771 9071 BD9D","1574050423836113","927.75","-49","4.39332097650448"
"3008 33B2 DDD9 0140 0000 0000","1574050423855273","927.75","-60.5","5.96411730329937"
"E200 9366 C6B6 67B1 9071 BD9E","1574050423866507","927.75","-55.5","1.88986433067511"
"3008 33B2 DDD9 0140 0000 0000","1574050423897358","927.75","-57","5.87821437917778"
"E200 9366 C6B6 8031 9071 BE00","1574050423921251","927.75","-57","5.38120460390283"
"E200 9366 C6B6 6771 9071 BD9D","1574050423976447","927.75","-49","4.49149574692916"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050424042365","922.25","-38","5.1603113704473"
"3008 33B2 DDD9 0140 0000 0000","1574050424068987","922.25","-57.5","2.18438864194915"
"E200 9366 C6B6 67B1 9071 BD9E","1574050424087386","922.25","-54","6.24023384511879"
"3008 33B2 DDD9 0140 0000 0000","1574050424145654","922.25","-61.5","5.30757352608432"
"E200 9366 C6B6 8031 9071 BE00","1574050424189223","922.25","-57.5","0.466330159517235"
"E200 9366 C6B6 67B1 9071 BD9E","1574050424211722","922.25","-53.5","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050424251332","927.25","-40","0.0674951546669682"
"E200 9366 C6B6 6771 9071 BD9D","1574050424281216","927.25","-49","4.64489382571772"
"3008 33B2 DDD9 0140 0000 0000","1574050424421046","927.25","-61.5","5.65732114572224"
"E200 9366 C6B6 8031 9071 BE00","1574050424468034","926.25","-56.5","0.840621471761331"
"3008 33B2 DDD9 0140 0000 0000","1574050424514370","926.25","-58.5","0.257708772364788"
"E200 9366 C6B6 6771 9071 BD9D","1574050424570891","926.25","-48.5","4.72466082668778"
"E200 9366 C6B6 67B1 9071 BD9E","1574050424584266","926.25","-56.5","4.23378697456437"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050424650141","924.25","-40","4.61421420996001"
"E200 9366 C6B6 8031 9071 BE00","1574050424678003","924.25","-56.5","5.37506868075129"
"3008 33B2 DDD9 0140 0000 0000","1574050424706025","924.25","-58.5","1.23332055346006"
"E200 9366 C6B6 8031 9071 BE00","1574050424727674","924.25","-55.5","5.51619491323677"
"E200 9366 C6B6 7BF1 9071 BDEF","1574050424744168","924.25","-41","4.66330159517235"
"3008 33B2 DDD9 0140 0000 0000","1574050424767759","924.25","-56.5","1.11673801358075"
"3008 33B2 DDD9 0140 0000 0000","1574050424773046","924.25","-58","1.11673801358075"
