"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 8031 9071 BE00","1574049412757686","927.75","-47.5","5.01304921481028"
"E200 9366 C6B6 6771 9071 BD9D","1574049412793844","927.75","-50.5","0.423378697456437"
"E200 9366 C6B6 67B1 9071 BD9E","1574049412837829","927.75","-54","2.55867995419325"
"3008 33B2 DDD9 0140 0000 0000","1574049412920128","922.25","-55","1.75487402134117"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049412982714","922.25","-54.5","0.994019550549895"
"3008 33B2 DDD9 0140 0000 0000","1574049413126714","927.25","-60","5.97025322645092"
"3008 33B2 DDD9 0140 0000 0000","1574049413269780","927.25","-58.5","5.51619491323677"
"3008 33B2 DDD9 0140 0000 0000","1574049413379134","926.25","-55.5","5.97025322645092"
"3008 33B2 DDD9 0140 0000 0000","1574049413411454","926.25","-59","0.889708856973672"
"E200 9366 C6B6 8031 9071 BE00","1574049413506830","924.25","-47","6.07456392002714"
"E200 9366 C6B6 6771 9071 BD9D","1574049413549903","924.25","-49.5","4.57126274789921"
"3008 33B2 DDD9 0140 0000 0000","1574049413585420","924.25","-58","1.00015547370144"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049413683914","924.75","-56","5.66345706887379"
"E200 9366 C6B6 67B1 9071 BD9E","1574049413714634","924.75","-55.5","4.36877728389831"
"E200 9366 C6B6 67B1 9071 BD9E","1574049413881294","925.75","-54.5","5.12963175468958"
"3008 33B2 DDD9 0140 0000 0000","1574049413940735","925.75","-55","0.184077694546277"
"E200 9366 C6B6 6771 9071 BD9D","1574049413976320","925.75","-50","4.16015589674586"
"E200 9366 C6B6 8031 9071 BE00","1574049414013005","925.75","-47","5.66959299202533"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049414054869","922.75","-50","4.14788405044277"
"3008 33B2 DDD9 0140 0000 0000","1574049414106571","922.75","-58.5","5.25235021772044"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049414268736","923.75","-50.5","4.56512682474767"
"3008 33B2 DDD9 0140 0000 0000","1574049414309464","923.75","-59","4.55285497844458"
"E200 9366 C6B6 67B1 9071 BD9E","1574049414326587","923.75","-53.5","1.15355355249"
"E200 9366 C6B6 6771 9071 BD9D","1574049414362598","923.75","-50","4.7430685961424"
"3008 33B2 DDD9 0140 0000 0000","1574049414396440","923.75","-55","1.04924285891378"
"E200 9366 C6B6 8031 9071 BE00","1574049414469317","925.25","-47","5.87207845602623"
"E200 9366 C6B6 8031 9071 BE00","1574049414555476","925.25","-47","5.84753476342006"
"3008 33B2 DDD9 0140 0000 0000","1574049414594680","925.25","-59","0.45405831321415"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049414604449","925.25","-50.5","0.245436926061703"
"E200 9366 C6B6 6771 9071 BD9D","1574049414700528","926.75","-50.5","0.711767085578938"
"3008 33B2 DDD9 0140 0000 0000","1574049414730725","926.75","-55.5","5.9395736106932"
"E200 9366 C6B6 67B1 9071 BD9E","1574049414761469","926.75","-51.5","0.730174855033565"
"E200 9366 C6B6 8031 9071 BE00","1574049414813630","926.75","-47.5","5.39347645020591"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049414891793","923.25","-47.5","5.65732114572224"
"3008 33B2 DDD9 0140 0000 0000","1574049414927485","923.25","-58.5","4.57739867105075"
"3008 33B2 DDD9 0140 0000 0000","1574049414942959","923.25","-55","1.31922347758165"
"E200 9366 C6B6 67B1 9071 BD9E","1574049414977171","923.25","-49.5","6.25864161457342"
"E200 9366 C6B6 6771 9071 BD9D","1574049415011464","923.25","-50","4.96396182959793"
"E200 9366 C6B6 67B1 9071 BD9E","1574049415106657","927.75","-51.5","5.57141822160065"
"E200 9366 C6B6 8031 9071 BE00","1574049415157268","927.75","-47.5","5.08054436947724"
"3008 33B2 DDD9 0140 0000 0000","1574049415187519","927.75","-55","5.35052498814512"
"E200 9366 C6B6 6771 9071 BD9D","1574049415266974","922.25","-50","5.24621429456889"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049415347376","922.25","-54.5","5.77390368560155"
"3008 33B2 DDD9 0140 0000 0000","1574049415396548","922.25","-58","5.01304921481028"
"3008 33B2 DDD9 0140 0000 0000","1574049415530574","927.25","-58.5","0.282252464970958"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049415567894","927.25","-53.5","0.0859029241215959"
"3008 33B2 DDD9 0140 0000 0000","1574049415607084","927.25","-59","5.84753476342006"
"3008 33B2 DDD9 0140 0000 0000","1574049415686149","926.25","-56","6.12365130523948"
"E200 9366 C6B6 67B1 9071 BD9E","1574049415722347","926.25","-53","3.90244712438107"
"E200 9366 C6B6 8031 9071 BE00","1574049415760080","926.25","-47.5","5.55301045214602"
"E200 9366 C6B6 6771 9071 BD9D","1574049415798091","926.25","-50","4.23992289771591"
"E200 9366 C6B6 6771 9071 BD9D","1574049416097841","924.75","-50","4.50376759323224"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049416143766","924.75","-52","5.84753476342006"
"3008 33B2 DDD9 0140 0000 0000","1574049416185284","924.75","-54.5","0.625864161457342"
"E200 9366 C6B6 8031 9071 BE00","1574049416217631","924.75","-47.5","5.9395736106932"
"E200 9366 C6B6 67B1 9071 BD9E","1574049416249914","924.75","-51","4.06811704947272"
"E200 9366 C6B6 67B1 9071 BD9E","1574049416297287","925.75","-50.5","4.08652481892735"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049416340174","925.75","-50.5","0.877437010670587"
"E200 9366 C6B6 6771 9071 BD9D","1574049416375840","925.75","-50","0.914252549579842"
"3008 33B2 DDD9 0140 0000 0000","1574049416407789","925.75","-55","0.300660234425586"
"E200 9366 C6B6 8031 9071 BE00","1574049416509916","922.75","-47","0.227029156607075"
"3008 33B2 DDD9 0140 0000 0000","1574049416758075","923.75","-56.5","1.39285455540016"
"E200 9366 C6B6 67B1 9071 BD9E","1574049416816864","923.75","-49","2.08007794837293"
"E200 9366 C6B6 6771 9071 BD9D","1574049416870292","923.75","-50","4.8719229823248"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049416911959","925.25","-48.5","5.50392306693368"
"E200 9366 C6B6 8031 9071 BE00","1574049416958043","925.25","-47.5","5.78617553190464"
"3008 33B2 DDD9 0140 0000 0000","1574049417006763","925.25","-60","0.766990393942821"
"E200 9366 C6B6 8031 9071 BE00","1574049417054452","925.25","-47.5","5.79231145505618"
"E200 9366 C6B6 6771 9071 BD9D","1574049417127467","926.75","-51","0.582912699396544"
"3008 33B2 DDD9 0140 0000 0000","1574049417168259","926.75","-59.5","0.208621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049417186911","926.75","-47.5","1.07378655151995"
"3008 33B2 DDD9 0140 0000 0000","1574049417219263","926.75","-57","0.245436926061703"
"E200 9366 C6B6 67B1 9071 BD9E","1574049417278833","926.75","-47.5","5.27689391032661"
"E200 9366 C6B6 67B1 9071 BD9E","1574049417378012","923.25","-47.5","0.963339934792183"
"E200 9366 C6B6 8031 9071 BE00","1574049417417377","923.25","-47.5","6.2709134608765"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049417481391","923.25","-47.5","4.76147636559703"
"E200 9366 C6B6 6771 9071 BD9D","1574049417551885","927.75","-51.5","0.177941771394734"
"3008 33B2 DDD9 0140 0000 0000","1574049417605979","927.75","-57.5","5.78617553190464"
"E200 9366 C6B6 67B1 9071 BD9E","1574049417705684","927.75","-47.5","6.12978722839102"
"E200 9366 C6B6 8031 9071 BE00","1574049417785633","922.25","-47","0.66881562351814"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049417819438","922.25","-45.5","1.77941771394734"
"E200 9366 C6B6 6771 9071 BD9D","1574049417882150","922.25","-48","5.30757352608432"
"3008 33B2 DDD9 0140 0000 0000","1574049418029345","927.25","-59","5.90889399493549"
"E200 9366 C6B6 67B1 9071 BD9E","1574049418099191","927.25","-45","0.650407854063512"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049418189921","926.25","-43.5","3.38089365649995"
"E200 9366 C6B6 8031 9071 BE00","1574049418223726","926.25","-46.5","5.57755414475219"
"3008 33B2 DDD9 0140 0000 0000","1574049418255824","926.25","-58.5","0.0490873852123405"
"E200 9366 C6B6 6771 9071 BD9D","1574049418292549","926.25","-52.5","1.09219432097458"
"3008 33B2 DDD9 0140 0000 0000","1574049418330009","926.25","-58.5","0.141126232485479"
"E200 9366 C6B6 67B1 9071 BD9E","1574049418424103","924.25","-41.5","3.74291312244096"
"E200 9366 C6B6 6771 9071 BD9D","1574049418460145","924.25","-52","1.51557301843101"
"E200 9366 C6B6 8031 9071 BE00","1574049418495606","924.25","-47","0.312932080728671"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049418531443","924.25","-41","0.147262155637022"
"E200 9366 C6B6 6771 9071 BD9D","1574049418623803","924.75","-52","1.14128170618692"
"E200 9366 C6B6 8031 9071 BE00","1574049418657777","924.75","-48","0.159534001940107"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049418698720","924.75","-41","0.822213702306704"
"3008 33B2 DDD9 0140 0000 0000","1574049418730901","924.75","-61","1.42353417115788"
"E200 9366 C6B6 67B1 9071 BD9E","1574049418849987","925.75","-40.5","4.90873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049418936409","925.75","-41","0.374291312244096"
"E200 9366 C6B6 8031 9071 BE00","1574049418977390","925.75","-49","5.87821437917778"
"E200 9366 C6B6 67B1 9071 BD9E","1574049419057534","922.75","-39.5","5.64504929941916"
"E200 9366 C6B6 6771 9071 BD9D","1574049419091945","922.75","-50.5","5.7370881466923"
"E200 9366 C6B6 8031 9071 BE00","1574049419169083","922.75","-49","0.871301087519044"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049419208177","922.75","-37","1.69351478982575"
"E200 9366 C6B6 67B1 9071 BD9E","1574049419253435","923.75","-38.5","5.4916512206306"
"E200 9366 C6B6 6771 9071 BD9D","1574049419296803","923.75","-51","5.71254445408613"
"E200 9366 C6B6 6771 9071 BD9D","1574049419344739","923.75","-51","5.58982599105528"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049419387105","923.75","-38","1.49102932582484"
"E200 9366 C6B6 67B1 9071 BD9E","1574049419465719","925.25","-40","5.3627968344482"
"E200 9366 C6B6 8031 9071 BE00","1574049419503648","925.25","-48.5","6.01320468851171"
"E200 9366 C6B6 8031 9071 BE00","1574049419594808","925.25","-48.5","6.05615615057251"
"E200 9366 C6B6 67B1 9071 BD9E","1574049419671306","926.75","-41.5","4.44240836171682"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049419711612","926.75","-41.5","5.95798138014783"
"E200 9366 C6B6 6771 9071 BD9D","1574049419741942","926.75","-52","1.1106020904292"
"E200 9366 C6B6 6771 9071 BD9D","1574049419885630","923.25","-50","5.3627968344482"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049419921442","923.25","-45.5","5.90889399493549"
"3008 33B2 DDD9 0140 0000 0000","1574049419951725","923.25","-59.5","1.34376717018782"
"E200 9366 C6B6 67B1 9071 BD9E","1574049419991115","923.25","-45","6.0684279968756"
"E200 9366 C6B6 8031 9071 BE00","1574049420069757","927.75","-48.5","4.86578705917325"
"E200 9366 C6B6 6771 9071 BD9D","1574049420148332","927.75","-50","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1574049420180500","927.75","-44.5","0.490873852123405"
"E200 9366 C6B6 8031 9071 BE00","1574049420260616","922.25","-46.5","0.368155389092554"
"3008 33B2 DDD9 0140 0000 0000","1574049420316368","922.25","-57.5","2.21506825770687"
"E200 9366 C6B6 67B1 9071 BD9E","1574049420352267","922.25","-46.5","3.68155389092554"
"3008 33B2 DDD9 0140 0000 0000","1574049420405266","922.25","-57","2.20893233455532"
"E200 9366 C6B6 67B1 9071 BD9E","1574049420491664","927.25","-47.5","6.24023384511879"
"E200 9366 C6B6 6771 9071 BD9D","1574049420542595","927.25","-50.5","0.306796157577128"
"E200 9366 C6B6 8031 9071 BE00","1574049420595402","927.25","-47.5","5.22167060196272"
