"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234694960889","927.25","-60","6.04388430426943"
"3039 6061 C3C8 CD00 0005 72E8","1574234694975047","927.25","-59.5","5.82299107081389"
"E200 9366 C6B6 5D71 9071 BD75","1574234695007343","927.25","-45.5","5.54073860584294"
"E200 9366 C6B6 6771 9071 BD9D","1574234695023745","927.25","-55.5","3.6324665057132"
"E200 9366 C6B6 8031 9071 BE00","1574234695039083","927.25","-61","0.625864161457342"
"E200 9366 C6B6 8031 9071 BE00","1574234695065905","927.25","-61","0.828349625458246"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695082154","927.25","-59.5","5.7370881466923"
"E200 9366 C6B6 5D71 9071 BD75","1574234695097576","927.25","-45.5","5.54073860584294"
"3039 6061 C3C8 CD00 0005 72E8","1574234695110850","927.25","-59.5","5.87821437917778"
"E200 9366 C6B6 6771 9071 BD9D","1574234695125130","927.25","-55.5","3.6324665057132"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695176180","924.25","-59","0.153398078788564"
"E200 9366 C6B6 6771 9071 BD9D","1574234695197593","924.25","-55","4.43627243856527"
"E200 9366 C6B6 5D71 9071 BD75","1574234695213036","924.25","-45.5","0.490873852123405"
"3039 6061 C3C8 CD00 0005 72E8","1574234695226233","924.25","-61","4.252194744019"
"E200 9366 C6B6 8031 9071 BE00","1574234695273119","924.25","-61.5","4.53444720898996"
"3039 6061 C3C8 CD00 0005 72E8","1574234695301941","924.25","-60.5","4.01902966426038"
"E200 9366 C6B6 8031 9071 BE00","1574234695319240","924.25","-61","1.14128170618692"
"E200 9366 C6B6 6771 9071 BD9D","1574234695334720","924.25","-55.5","4.38718505335293"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695382154","924.75","-59","0.104310693576224"
"E200 9366 C6B6 5D71 9071 BD75","1574234695404632","924.75","-46","0.306796157577128"
"3039 6061 C3C8 CD00 0005 72E8","1574234695458077","924.75","-60.5","3.91471897068416"
"E200 9366 C6B6 6771 9071 BD9D","1574234695490459","924.75","-55.5","4.13561220413969"
"3008 33B2 DDD9 0140 0000 0000","1574234695522606","924.75","-62","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695526686","924.75","-59","0.251572849213245"
"E200 9366 C6B6 5D71 9071 BD75","1574234695540889","924.75","-46","0.294524311274043"
"3039 6061 C3C8 CD00 0005 72E8","1574234695588115","926.75","-59.5","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695604997","926.75","-60","0.368155389092554"
"E200 9366 C6B6 6771 9071 BD9D","1574234695629074","926.75","-55.5","3.74291312244096"
"E200 9366 C6B6 5D71 9071 BD75","1574234695646706","926.75","-46","5.76776776245001"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695698052","926.75","-60","1.47875747952176"
"E200 9366 C6B6 5D71 9071 BD75","1574234695717387","926.75","-45.5","5.73095222354076"
"3039 6061 C3C8 CD00 0005 72E8","1574234695731935","926.75","-60.5","6.07456392002714"
"E200 9366 C6B6 6771 9071 BD9D","1574234695750013","926.75","-56","3.68768981407708"
"E200 9366 C6B6 6771 9071 BD9D","1574234695811400","925.75","-55.5","4.00062189480575"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695828388","925.75","-58.5","5.75549591614693"
"E200 9366 C6B6 5D71 9071 BD75","1574234695844339","925.75","-45.5","6.10524353578485"
"3039 6061 C3C8 CD00 0005 72E8","1574234695857475","925.75","-61","0.319068003880213"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234695914251","925.75","-57","0.411106851153352"
"E200 9366 C6B6 8031 9071 BE00","1574234695929776","925.75","-61.5","1.08605839782303"
"E200 9366 C6B6 5D71 9071 BD75","1574234695945971","925.75","-45.5","6.08683576633022"
"3039 6061 C3C8 CD00 0005 72E8","1574234695959307","925.75","-61","0.374291312244096"
"E200 9366 C6B6 67B1 9071 BD9E","1574234696000067","922.75","-60","4.06198112632118"
"E200 9366 C6B6 6771 9071 BD9D","1574234696014824","922.75","-55","4.57739867105075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234696051052","922.75","-55.5","1.87759248437202"
"E200 9366 C6B6 5D71 9071 BD75","1574234696088001","922.75","-45.5","1.01242732000452"
"3008 33B2 DDD9 0140 0000 0000","1574234696128012","922.75","-61","1.21491278400543"
"E200 9366 C6B6 6771 9071 BD9D","1574234696141148","922.75","-55.5","4.62035013311155"
"3008 33B2 DDD9 0140 0000 0000","1574234696190995","922.75","-61","0.834485548609789"
"E200 9366 C6B6 67B1 9071 BD9E","1574234696205313","923.75","-60.5","0.269980618667873"
"E200 9366 C6B6 8031 9071 BE00","1574234696251461","923.75","-62","1.64442740461341"
"E200 9366 C6B6 5D71 9071 BD75","1574234696307463","923.75","-45.5","0.619728238305799"
"E200 9366 C6B6 67B1 9071 BD9E","1574234696337361","923.75","-61.5","5.08054436947724"
"3008 33B2 DDD9 0140 0000 0000","1574234696352728","923.75","-60.5","0.355883542789469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234696356654","923.75","-59","5.71254445408613"
"3008 33B2 DDD9 0140 0000 0000","1574234696409704","922.25","-60","1.63829148146186"
"E200 9366 C6B6 6771 9071 BD9D","1574234696434091","922.25","-54.5","5.04372883056799"
"E200 9366 C6B6 8031 9071 BE00","1574234696464066","922.25","-61","1.69351478982575"
"E200 9366 C6B6 6771 9071 BD9D","1574234696484397","922.25","-55","5.02532106111336"
"E200 9366 C6B6 5D71 9071 BD75","1574234696509538","922.25","-45.5","1.27627201552085"
"3008 33B2 DDD9 0140 0000 0000","1574234696524626","922.25","-60","1.63215555831032"
"3008 33B2 DDD9 0140 0000 0000","1574234696539911","922.25","-60.5","1.02469916630761"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234696545573","922.25","-58.5","5.95184545699629"
"E200 9366 C6B6 67B1 9071 BD9E","1574234696558962","922.25","-61","5.25235021772044"
"3039 6061 C3C8 CD00 0005 72E8","1574234696610197","926.25","-60.5","0.042951462060798"
"E200 9366 C6B6 8031 9071 BE00","1574234696624534","926.25","-60.5","1.02469916630761"
"E200 9366 C6B6 6771 9071 BD9D","1574234696673643","926.25","-55","3.89631120122953"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234696707116","926.25","-59","6.05002022742097"
"E200 9366 C6B6 5D71 9071 BD75","1574234696722998","926.25","-45","5.87821437917778"
"3039 6061 C3C8 CD00 0005 72E8","1574234696757382","926.25","-61","0.098174770424681"
"3008 33B2 DDD9 0140 0000 0000","1574234696773588","926.25","-61","6.26477753772496"
"3008 33B2 DDD9 0140 0000 0000","1574234696792501","926.25","-61","5.982525072754"
"E200 9366 C6B6 5D71 9071 BD75","1574234696821347","925.25","-45.5","6.24636976827033"
"3008 33B2 DDD9 0140 0000 0000","1574234696837199","925.25","-60.5","0.392699081698724"
"3008 33B2 DDD9 0140 0000 0000","1574234696853195","925.25","-60.5","5.89048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234696863530","925.25","-60.5","4.50376759323224"
"E200 9366 C6B6 6771 9071 BD9D","1574234696883130","925.25","-55.5","4.03743743371501"
"3008 33B2 DDD9 0140 0000 0000","1574234696946472","925.25","-60.5","5.85367068657161"
"E200 9366 C6B6 6771 9071 BD9D","1574234696956587","925.25","-55","3.90858304753261"
"3008 33B2 DDD9 0140 0000 0000","1574234696973407","925.25","-60","0.184077694546277"
"E200 9366 C6B6 5D71 9071 BD75","1574234696988143","925.25","-45.5","6.26477753772496"
"E200 9366 C6B6 5D71 9071 BD75","1574234697021498","923.25","-45.5","0.803805932852076"
"3008 33B2 DDD9 0140 0000 0000","1574234697035929","923.25","-60","0.460194236365692"
"3008 33B2 DDD9 0140 0000 0000","1574234697042888","923.25","-59.5","0.987883627398353"
"E200 9366 C6B6 6771 9071 BD9D","1574234697061255","923.25","-55","4.54671905529304"
"E200 9366 C6B6 6771 9071 BD9D","1574234697110645","923.25","-55","4.49149574692916"
"E200 9366 C6B6 5D71 9071 BD75","1574234697127840","923.25","-45.5","0.822213702306704"
"3008 33B2 DDD9 0140 0000 0000","1574234697142490","923.25","-60","0.233165079758617"
"3008 33B2 DDD9 0140 0000 0000","1574234697146961","923.25","-59","0.9081166264283"
"3008 33B2 DDD9 0140 0000 0000","1574234697163376","923.25","-60.5","1.88986433067511"
"E200 9366 C6B6 8031 9071 BE00","1574234697179579","923.25","-60.5","1.41739824800633"
"E200 9366 C6B6 5D71 9071 BD75","1574234697218830","927.75","-45.5","5.35666091129666"
"3008 33B2 DDD9 0140 0000 0000","1574234697232597","927.75","-60","5.55301045214602"
"3008 33B2 DDD9 0140 0000 0000","1574234697253102","927.75","-60.5","4.95782590644639"
"3008 33B2 DDD9 0140 0000 0000","1574234697259126","927.75","-60.5","0.0552233083638831"
"E200 9366 C6B6 6771 9071 BD9D","1574234697262985","927.75","-55.5","3.47293250377309"
"3039 6061 C3C8 CD00 0005 72E8","1574234697284727","927.75","-59.5","5.49778714378214"
"E200 9366 C6B6 8031 9071 BE00","1574234697298458","927.75","-61","0.625864161457342"
"E200 9366 C6B6 5D71 9071 BD75","1574234697350414","927.75","-45.5","5.405748296509"
"3039 6061 C3C8 CD00 0005 72E8","1574234697372883","927.75","-59.5","2.50345664582937"
"E200 9366 C6B6 6771 9071 BD9D","1574234697418202","927.25","-55","0.147262155637022"
"3008 33B2 DDD9 0140 0000 0000","1574234697431447","927.25","-60","5.46710752802443"
"3008 33B2 DDD9 0140 0000 0000","1574234697452237","927.25","-60","1.65056332776495"
"3008 33B2 DDD9 0140 0000 0000","1574234697458769","927.25","-60","0.0368155389092554"
"E200 9366 C6B6 6771 9071 BD9D","1574234697479869","927.25","-55","6.27704938402804"
"E200 9366 C6B6 5D71 9071 BD75","1574234697499162","927.25","-45.5","5.61436968366145"
"3008 33B2 DDD9 0140 0000 0000","1574234697516082","927.25","-60","1.54625263418873"
"3039 6061 C3C8 CD00 0005 72E8","1574234697520107","927.25","-59.5","5.85980660972315"
"3008 33B2 DDD9 0140 0000 0000","1574234697536766","927.25","-59.5","6.15433092099719"
"3008 33B2 DDD9 0140 0000 0000","1574234697557811","927.25","-60","5.35666091129666"
"E200 9366 C6B6 8031 9071 BE00","1574234697621183","924.25","-62","1.68737886667421"
"3008 33B2 DDD9 0140 0000 0000","1574234697636579","924.25","-60","5.90889399493549"
"3008 33B2 DDD9 0140 0000 0000","1574234697644843","924.25","-59","1.09219432097458"
"3008 33B2 DDD9 0140 0000 0000","1574234697658911","924.25","-59","0.208621387152447"
"E200 9366 C6B6 5D71 9071 BD75","1574234697674122","924.25","-45.5","0.552233083638831"
"E200 9366 C6B6 6771 9071 BD9D","1574234697705372","924.25","-55.5","0.619728238305799"
"E200 9366 C6B6 5D71 9071 BD75","1574234697729634","924.25","-45.5","0.527689391032661"
"E200 9366 C6B6 6771 9071 BD9D","1574234697746015","924.25","-56","0.687223392972767"
"3008 33B2 DDD9 0140 0000 0000","1574234697764630","924.25","-59.5","0.404970928001809"
"3008 33B2 DDD9 0140 0000 0000","1574234697779798","924.25","-59.5","1.27013609236931"
"3008 33B2 DDD9 0140 0000 0000","1574234697786040","924.25","-59.5","5.75549591614693"
"E200 9366 C6B6 8031 9071 BE00","1574234697813992","924.75","-60.5","1.35603901649091"
"E200 9366 C6B6 8031 9071 BE00","1574234697869754","924.75","-61.5","1.61988371200724"
"E200 9366 C6B6 5D71 9071 BD75","1574234697885096","924.75","-45.5","0.300660234425586"
"3008 33B2 DDD9 0140 0000 0000","1574234697900666","924.75","-59.5","0.466330159517235"
"3039 6061 C3C8 CD00 0005 72E8","1574234697913872","924.75","-61","0.490873852123405"
"E200 9366 C6B6 6771 9071 BD9D","1574234697928247","924.75","-55.5","0.638136007760427"
"3008 33B2 DDD9 0140 0000 0000","1574234697942852","924.75","-60","6.06229207372405"
"3008 33B2 DDD9 0140 0000 0000","1574234697949630","924.75","-60","1.41126232485479"
"E200 9366 C6B6 67B1 9071 BD9E","1574234697955374","924.75","-61.5","4.97623367590102"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234697970063","924.75","-62","1.45421378691559"
"E200 9366 C6B6 6771 9071 BD9D","1574234698013073","926.75","-57","0.251572849213245"
"3008 33B2 DDD9 0140 0000 0000","1574234698028345","926.75","-60.5","6.20341830620953"
"3008 33B2 DDD9 0140 0000 0000","1574234698050403","926.75","-60.5","5.57141822160065"
"E200 9366 C6B6 5D71 9071 BD75","1574234698054273","926.75","-45","5.78617553190464"
"3008 33B2 DDD9 0140 0000 0000","1574234698068784","926.75","-62","0.325203927031756"
"3039 6061 C3C8 CD00 0005 72E8","1574234698090709","926.75","-59.5","5.85980660972315"
"E200 9366 C6B6 8031 9071 BE00","1574234698117283","926.75","-60.5","0.975611781095268"
"E200 9366 C6B6 67B1 9071 BD9E","1574234698145150","926.75","-61.5","6.2709134608765"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234698172889","926.75","-62.5","1.04924285891378"
"E200 9366 C6B6 8031 9071 BE00","1574234698224456","925.75","-61","1.16582539879309"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234698240122","925.75","-60","5.91502991808703"
"E200 9366 C6B6 6771 9071 BD9D","1574234698257661","925.75","-57","3.58337912050086"
"3008 33B2 DDD9 0140 0000 0000","1574234698270712","925.75","-62","1.13514578303537"
"3008 33B2 DDD9 0140 0000 0000","1574234698285192","925.75","-62","0.71790300873048"
"3039 6061 C3C8 CD00 0005 72E8","1574234698289333","925.75","-61","0.251572849213245"
"E200 9366 C6B6 5D71 9071 BD75","1574234698304545","925.75","-45","6.18501053675491"
"E200 9366 C6B6 67B1 9071 BD9E","1574234698320716","925.75","-61","0.177941771394734"
"E200 9366 C6B6 67B1 9071 BD9E","1574234698339155","925.75","-61","3.71836942983479"
"E200 9366 C6B6 5D71 9071 BD75","1574234698356172","925.75","-44.5","6.24636976827033"
"3008 33B2 DDD9 0140 0000 0000","1574234698371417","925.75","-62.5","0.926524395882927"
"3039 6061 C3C8 CD00 0005 72E8","1574234698382421","925.75","-61","0.104310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234698424892","922.75","-59","5.95184545699629"
"E200 9366 C6B6 8031 9071 BE00","1574234698439798","922.75","-60","4.80442782765783"
"3008 33B2 DDD9 0140 0000 0000","1574234698453842","922.75","-61.5","5.4486997585698"
"E200 9366 C6B6 6771 9071 BD9D","1574234698467958","922.75","-56","4.62648605626309"
"3008 33B2 DDD9 0140 0000 0000","1574234698524139","922.75","-61.5","2.28256341237383"
"E200 9366 C6B6 5D71 9071 BD75","1574234698531311","922.75","-45","1.15355355249"
"3008 33B2 DDD9 0140 0000 0000","1574234698545056","922.75","-61.5","2.54640810789016"
"E200 9366 C6B6 6771 9071 BD9D","1574234698561252","922.75","-57.5","4.81056375080937"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234698622201","923.75","-60","6.09297168948177"
"3039 6061 C3C8 CD00 0005 72E8","1574234698636378","923.75","-61","3.87176750862336"
"E200 9366 C6B6 8031 9071 BE00","1574234698654995","923.75","-60.5","4.63262197941464"
