"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 6771 9071 BD9D","1574234406731580","926.25","-54.5","3.76745681504713"
"3039 6061 C3C8 CD00 0005 72E8","1574234406746236","926.25","-59","0.0184077694546277"
"E200 9366 C6B6 67B1 9071 BD9E","1574234406763411","926.25","-47.5","5.8966221486324"
"E200 9366 C6B6 5D71 9071 BD75","1574234406779478","926.25","-45.5","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234406794346","926.25","-50.5","1.8162332528566"
"E200 9366 C6B6 8031 9071 BE00","1574234406809831","926.25","-60","0.938796242186012"
"E200 9366 C6B6 5D71 9071 BD75","1574234406830875","926.25","-45.5","5.87207845602623"
"E200 9366 C6B6 8031 9071 BE00","1574234406846129","926.25","-60","0.779262240245906"
"E200 9366 C6B6 6771 9071 BD9D","1574234406860957","926.25","-55","3.82268012341102"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234406877256","926.25","-50.5","4.92714629068868"
"E200 9366 C6B6 67B1 9071 BD9E","1574234406891976","926.25","-47.5","5.8966221486324"
"3039 6061 C3C8 CD00 0005 72E8","1574234406930201","925.25","-59","0.423378697456437"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234406981112","925.25","-50","5.30143760293278"
"E200 9366 C6B6 6771 9071 BD9D","1574234406999559","925.25","-55","4.17242774304894"
"E200 9366 C6B6 8031 9071 BE00","1574234407013021","925.25","-60","1.16582539879309"
"3039 6061 C3C8 CD00 0005 72E8","1574234407027691","925.25","-59","0.527689391032661"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407044114","925.25","-48","6.2709134608765"
"E200 9366 C6B6 5D71 9071 BD75","1574234407059381","925.25","-45.5","0"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407081920","925.25","-48","6.25864161457342"
"E200 9366 C6B6 5D71 9071 BD75","1574234407095902","925.25","-45.5","6.27704938402804"
"3039 6061 C3C8 CD00 0005 72E8","1574234407122273","923.25","-59.5","1.4419419406125"
"E200 9366 C6B6 6771 9071 BD9D","1574234407137599","923.25","-54.5","4.77988413505166"
"E200 9366 C6B6 8031 9071 BE00","1574234407161471","923.25","-59.5","1.11673801358075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407175599","923.25","-50","6.03774838111788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407226725","923.25","-50","6.01320468851171"
"E200 9366 C6B6 5D71 9071 BD75","1574234407243791","923.25","-45.5","0.816077779155161"
"E200 9366 C6B6 8031 9071 BE00","1574234407258523","923.25","-60","4.35650543759522"
"E200 9366 C6B6 6771 9071 BD9D","1574234407274261","923.25","-54","4.76761228874857"
"3039 6061 C3C8 CD00 0005 72E8","1574234407288487","923.25","-59.5","4.54671905529304"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407325029","927.75","-47.5","5.43029198911517"
"E200 9366 C6B6 5D71 9071 BD75","1574234407343444","927.75","-45.5","5.35052498814512"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407363115","927.75","-51","1.24559239976314"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407378620","927.75","-47.5","2.30710710498"
"E200 9366 C6B6 8031 9071 BE00","1574234407393142","927.75","-60.5","0.730174855033565"
"3039 6061 C3C8 CD00 0005 72E8","1574234407406498","927.75","-59","2.48504887637474"
"E200 9366 C6B6 6771 9071 BD9D","1574234407420661","927.75","-55.5","0.294524311274043"
"E200 9366 C6B6 5D71 9071 BD75","1574234407470606","927.75","-45.5","5.32598129553895"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407488743","927.75","-51","1.30695163127857"
"E200 9366 C6B6 8031 9071 BE00","1574234407515123","927.25","-60.5","0.527689391032661"
"3039 6061 C3C8 CD00 0005 72E8","1574234407528662","927.25","-59","5.94570953384475"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407543675","927.25","-47.5","5.57141822160065"
"E200 9366 C6B6 6771 9071 BD9D","1574234407557653","927.25","-55","0.490873852123405"
"3039 6061 C3C8 CD00 0005 72E8","1574234407578911","927.25","-59","5.83526291711698"
"E200 9366 C6B6 6771 9071 BD9D","1574234407593285","927.25","-55.5","3.74904904559251"
"E200 9366 C6B6 8031 9071 BE00","1574234407609641","927.25","-60","0.71790300873048"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407626508","927.25","-47.5","5.58982599105528"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407640253","927.25","-51","1.44807786376405"
"E200 9366 C6B6 5D71 9071 BD75","1574234407654177","927.25","-45.5","5.54073860584294"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407731064","924.25","-50.5","5.64504929941916"
"3039 6061 C3C8 CD00 0005 72E8","1574234407745083","924.25","-59.5","4.04357335686655"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407762395","924.25","-48","0.312932080728671"
"E200 9366 C6B6 6771 9071 BD9D","1574234407777853","924.25","-54.5","4.51603943953533"
"E200 9366 C6B6 5D71 9071 BD75","1574234407793490","924.25","-45.5","0.411106851153352"
"E200 9366 C6B6 8031 9071 BE00","1574234407807554","924.25","-59.5","1.33149532388474"
"E200 9366 C6B6 6771 9071 BD9D","1574234407828225","924.25","-54.5","4.37491320704985"
"E200 9366 C6B6 8031 9071 BE00","1574234407844598","924.25","-60","1.12900985988383"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234407859633","924.25","-50.5","5.64504929941916"
"3039 6061 C3C8 CD00 0005 72E8","1574234407873694","924.25","-59.5","0.938796242186012"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407891075","924.25","-48","0.276116541819415"
"E200 9366 C6B6 5D71 9071 BD75","1574234407930399","924.75","-45.5","0.245436926061703"
"E200 9366 C6B6 6771 9071 BD9D","1574234407980124","924.75","-54.5","4.31968989868597"
"E200 9366 C6B6 67B1 9071 BD9E","1574234407996119","924.75","-48","0.128854386182394"
"E200 9366 C6B6 8031 9071 BE00","1574234408012884","924.75","-60","1.06765062836841"
"3039 6061 C3C8 CD00 0005 72E8","1574234408026241","924.75","-59","0.613592315154257"
"E200 9366 C6B6 5D71 9071 BD75","1574234408043497","924.75","-45.5","0.233165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234408058862","924.75","-50","5.63891337626762"
"E200 9366 C6B6 8031 9071 BE00","1574234408079016","924.75","-60","1.07378655151995"
"E200 9366 C6B6 7BF1 9071 BDEF","1574234408096803","924.75","-50.5","5.66959299202533"
"E200 9366 C6B6 5D71 9071 BD75","1574234408136102","926.75","-45.5","5.7370881466923"
"E200 9366 C6B6 67B1 9071 BD9E","1574234408150623","926.75","-48","6.11137945893639"
"3039 6061 C3C8 CD00 0005 72E8","1574234408164667","926.75","-59","6.03774838111788"
