"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107185616994","927.75","-54.5","1.58920409624952"
"E200 9366 C6B6 6771 9071 BD9D","1573107185633496","927.75","-52","1.39285455540016"
"E200 9366 C6B6 6771 9071 BD9D","1573107185669126","927.75","-52.5","1.3989904785517"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107185683930","927.75","-55","1.59534001940107"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107185735332","927.75","-54.5","1.55852448049181"
"E200 9366 C6B6 6771 9071 BD9D","1573107185753180","927.75","-51.5","1.40512640170325"
"E200 9366 C6B6 6771 9071 BD9D","1573107185811238","926.75","-52","1.730330328735"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107185824688","926.75","-54","1.88986433067511"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107185885403","926.75","-54","1.79782548340197"
"E200 9366 C6B6 6771 9071 BD9D","1573107185906477","926.75","-51.5","1.67510702037112"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107185932713","926.75","-54.5","1.90827210012974"
"E200 9366 C6B6 6771 9071 BD9D","1573107185949939","926.75","-52","1.71805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186025335","927.25","-54.5","1.8162332528566"
"E200 9366 C6B6 6771 9071 BD9D","1573107186041126","927.25","-51.5","1.54011671103718"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186072344","927.25","-54.5","1.73646625188655"
"E200 9366 C6B6 6771 9071 BD9D","1573107186088095","927.25","-52","1.58920409624952"
"E200 9366 C6B6 6771 9071 BD9D","1573107186148250","927.25","-51.5","1.5707963267949"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186163052","927.25","-55","1.76714586764426"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186185359","927.25","-54.5","1.69965071297729"
"E200 9366 C6B6 6771 9071 BD9D","1573107186230176","923.25","-51","2.83479649601267"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186291133","923.25","-53.5","6.09910761263331"
"E200 9366 C6B6 6771 9071 BD9D","1573107186307043","923.25","-51","6.00706876536017"
"E200 9366 C6B6 6771 9071 BD9D","1573107186339967","923.25","-51","5.97638914960246"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186354953","923.25","-54","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186442120","925.25","-53.5","2.22120418085841"
"E200 9366 C6B6 6771 9071 BD9D","1573107186457015","925.25","-51","2.16598087249453"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186483322","925.25","-54","2.31324302813155"
"E200 9366 C6B6 6771 9071 BD9D","1573107186505779","925.25","-51","2.17825271879761"
"E200 9366 C6B6 6771 9071 BD9D","1573107186561597","925.25","-51.5","2.12916533358527"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186585530","925.25","-53.5","2.23961195031304"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186605506","925.25","-54","5.4916512206306"
"E200 9366 C6B6 6771 9071 BD9D","1573107186637241","924.75","-51.5","2.36846633649543"
"E200 9366 C6B6 6771 9071 BD9D","1573107186695222","924.75","-51","2.36233041334389"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186712746","924.75","-54","2.45436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186743749","924.75","-54","5.62664152996453"
"E200 9366 C6B6 6771 9071 BD9D","1573107186759636","924.75","-51","2.36233041334389"
"E200 9366 C6B6 6771 9071 BD9D","1573107186848694","922.75","-51","3.02501011371048"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186864273","922.75","-54","0.0368155389092554"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186895477","922.75","-53.5","6.18501053675491"
"E200 9366 C6B6 6771 9071 BD9D","1573107186910471","922.75","-51","6.20955422936108"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107186976190","922.75","-53.5","6.27704938402804"
"E200 9366 C6B6 6771 9071 BD9D","1573107186994980","922.75","-51","6.16046684414874"
"E200 9366 C6B6 6771 9071 BD9D","1573107187017338","922.75","-51","6.11137945893639"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187045282","924.25","-53.5","5.77390368560155"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187110929","924.25","-54","2.57708772364788"
"E200 9366 C6B6 6771 9071 BD9D","1573107187128197","924.25","-51","2.53413626158708"
"E200 9366 C6B6 6771 9071 BD9D","1573107187152890","924.25","-51","2.51572849213245"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187172015","924.25","-53.5","2.62617510886022"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187236039","925.75","-53.5","2.15370902619144"
"E200 9366 C6B6 6771 9071 BD9D","1573107187262249","925.75","-51","2.03712648631213"
"E200 9366 C6B6 6771 9071 BD9D","1573107187287823","925.75","-52","2.06780610206984"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187307702","925.75","-53.5","5.25848614087198"
"E200 9366 C6B6 6771 9071 BD9D","1573107187367176","925.75","-51","2.03712648631213"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187381872","925.75","-54","2.15984494934298"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187411437","925.75","-54.5","2.1905245651007"
"E200 9366 C6B6 6771 9071 BD9D","1573107187443420","923.75","-51","2.6384469551633"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187496404","923.75","-53.5","5.8966221486324"
"E200 9366 C6B6 6771 9071 BD9D","1573107187515003","923.75","-51.5","2.66299064776947"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187547436","923.75","-53.5","5.90889399493549"
"E200 9366 C6B6 6771 9071 BD9D","1573107187563903","923.75","-51","5.80458330135927"
"E200 9366 C6B6 6771 9071 BD9D","1573107187652692","926.25","-51.5","1.88372840752357"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187667712","926.25","-54","2.0187187168575"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187698004","926.25","-54.5","2.03712648631213"
"E200 9366 C6B6 6771 9071 BD9D","1573107187715329","926.25","-51.5","1.87145656122048"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187771597","926.25","-54.5","2.00031094740288"
"E200 9366 C6B6 6771 9071 BD9D","1573107187789701","926.25","-51.5","1.93281579273591"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187815387","926.25","-54.5","2.0187187168575"
"E200 9366 C6B6 6771 9071 BD9D","1573107187864660","922.25","-50.5","0.042951462060798"
"E200 9366 C6B6 6771 9071 BD9D","1573107187918168","922.25","-51","0.0920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187941747","922.25","-53","0.202485464000905"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107187963923","922.25","-53.5","0.184077694546277"
"E200 9366 C6B6 6771 9071 BD9D","1573107187981525","922.25","-51","0.0368155389092554"
"E200 9366 C6B6 6771 9071 BD9D","1573107188072376","927.75","-51.5","1.42967009430942"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188088034","927.75","-54.5","1.58306817309798"
"E200 9366 C6B6 6771 9071 BD9D","1573107188124465","927.75","-52","1.43580601746096"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188138672","927.75","-54.5","1.52170894158256"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188195582","927.75","-55","1.50943709527947"
"E200 9366 C6B6 6771 9071 BD9D","1573107188214944","927.75","-52","1.4419419406125"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188240070","927.75","-54.5","1.58306817309798"
"E200 9366 C6B6 6771 9071 BD9D","1573107188283685","926.75","-51.5","1.74873809818963"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188343940","926.75","-54.5","1.84691286861431"
"E200 9366 C6B6 6771 9071 BD9D","1573107188358909","926.75","-51.5","1.7732817907958"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188392553","926.75","-54.5","1.8591847149174"
"E200 9366 C6B6 6771 9071 BD9D","1573107188408926","926.75","-51.5","1.70578663612883"
"E200 9366 C6B6 6771 9071 BD9D","1573107188494602","927.25","-51.5","1.58920409624952"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188508828","927.25","-54.5","1.66897109721958"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188534349","927.25","-54.5","1.69351478982575"
"E200 9366 C6B6 6771 9071 BD9D","1573107188551643","927.25","-51.5","1.58920409624952"
"E200 9366 C6B6 6771 9071 BD9D","1573107188605260","927.25","-52","1.60761186570415"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188628583","927.25","-54.5","1.730330328735"
"E200 9366 C6B6 6771 9071 BD9D","1573107188651059","927.25","-52","1.54011671103718"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188699977","923.25","-53.5","2.9697868053466"
"E200 9366 C6B6 6771 9071 BD9D","1573107188756800","923.25","-51","6.00093284220863"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188779938","923.25","-54","6.08683576633022"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188808550","923.25","-53","6.0684279968756"
"E200 9366 C6B6 6771 9071 BD9D","1573107188825437","923.25","-51","6.01934061166326"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188893294","925.25","-54","5.46097160487288"
"E200 9366 C6B6 6771 9071 BD9D","1573107188912015","925.25","-51","2.22734010400995"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107188942497","925.25","-53.5","2.27642748922229"
"E200 9366 C6B6 6771 9071 BD9D","1573107188958480","925.25","-51","2.17211679564607"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189017294","925.25","-54","2.31324302813155"
"E200 9366 C6B6 6771 9071 BD9D","1573107189034374","925.25","-51.5","2.14143717988836"
"E200 9366 C6B6 6771 9071 BD9D","1573107189062852","925.25","-51","2.20279641140378"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189090347","924.75","-53.5","5.61436968366145"
"E200 9366 C6B6 6771 9071 BD9D","1573107189152097","924.75","-51","2.36846633649543"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189171021","924.75","-53.5","5.66345706887379"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189200454","924.75","-53.5","2.46664110692011"
"E200 9366 C6B6 6771 9071 BD9D","1573107189213994","924.75","-51.5","2.37460225964697"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189292954","922.75","-53.5","0.0674951546669682"
"E200 9366 C6B6 6771 9071 BD9D","1573107189313291","922.75","-50.5","6.18501053675491"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189343535","922.75","-53.5","6.21569015251262"
"E200 9366 C6B6 6771 9071 BD9D","1573107189360230","922.75","-51","6.20341830620953"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189426142","922.75","-54","6.2709134608765"
"E200 9366 C6B6 6771 9071 BD9D","1573107189440317","922.75","-51","6.17887461360336"
"E200 9366 C6B6 6771 9071 BD9D","1573107189465645","922.75","-50.5","6.12978722839102"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189509397","924.25","-53.5","5.76163183929847"
"E200 9366 C6B6 6771 9071 BD9D","1573107189574648","924.25","-51","2.50345664582937"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189589536","924.25","-54","5.74322406984384"
"E200 9366 C6B6 6771 9071 BD9D","1573107189611909","924.25","-51.5","2.54027218473862"
"E200 9366 C6B6 7BF1 9071 BDEF","1573107189631431","924.25","-54","5.80458330135927"
