"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109435104872","925.25","-55","2.1475731030399"
"E200 9366 C6B6 8031 9071 BE00","1573109435146154","925.25","-52","0.355883542789469"
"E200 9366 C6B6 8031 9071 BE00","1573109435223868","925.25","-52","0.349747619637926"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109435283279","924.75","-54.5","2.1475731030399"
"E200 9366 C6B6 8031 9071 BE00","1573109435369112","924.75","-52","0.392699081698724"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109435404684","924.75","-55","2.17211679564607"
"E200 9366 C6B6 8031 9071 BE00","1573109435498142","922.75","-51.5","0.994019550549895"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109435537467","922.75","-53.5","5.88435030232932"
"E200 9366 C6B6 8031 9071 BE00","1573109435681238","924.25","-52","0.552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109435742877","924.25","-55","2.37460225964697"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109435801099","924.25","-54.5","2.36233041334389"
"E200 9366 C6B6 8031 9071 BE00","1573109435878847","925.75","-52","0.110446616727766"
"E200 9366 C6B6 8031 9071 BE00","1573109435975917","925.75","-51.5","0.171805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109436078786","923.75","-54.5","2.35619449019234"
"E200 9366 C6B6 8031 9071 BE00","1573109436124642","923.75","-51.5","0.619728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109436163782","923.75","-54","2.47277703007165"
"E200 9366 C6B6 8031 9071 BE00","1573109436313182","926.25","-51.5","6.19728238305799"
"3039 6061 C3C8 CD00 0005 72E8","1573109436351785","926.25","-59.5","5.6941366846315"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109436386574","926.25","-55","1.74873809818963"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109436512585","922.25","-52.5","0.0245436926061703"
"3039 6061 C3C8 CD00 0005 72E8","1573109436581539","922.25","-57.5","4.4546802080199"
"E200 9366 C6B6 8031 9071 BE00","1573109436618421","922.25","-51","1.1965050145508"
"E200 9366 C6B6 8031 9071 BE00","1573109436715921","927.75","-52","5.7800396087531"
"3039 6061 C3C8 CD00 0005 72E8","1573109436792095","927.75","-60.5","0.889708856973672"
"3008 33B2 DDD9 0140 0000 0000","1573109436832495","927.75","-60.5","0.926524395882927"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109436842473","927.75","-56","1.41739824800633"
"E200 9366 C6B6 6771 9071 BD9D","1573109436874618","927.75","-61","3.44225288801538"
"3008 33B2 DDD9 0140 0000 0000","1573109436923655","926.75","-60.5","1.19036909139926"
"E200 9366 C6B6 6771 9071 BD9D","1573109436940397","926.75","-59.5","5.52846675953985"
"E200 9366 C6B6 8031 9071 BE00","1573109436985117","926.75","-51.5","6.05615615057251"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109437024495","926.75","-56.5","1.72419440558346"
"3008 33B2 DDD9 0140 0000 0000","1573109437105011","926.75","-60","1.3989904785517"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109437132996","927.25","-56","1.50943709527947"
"E200 9366 C6B6 8031 9071 BE00","1573109437163599","927.25","-51.5","6.05002022742097"
"E200 9366 C6B6 6771 9071 BD9D","1573109437207361","927.25","-60","0.0674951546669682"
"3008 33B2 DDD9 0140 0000 0000","1573109437241058","927.25","-61","1.7732817907958"
"E200 9366 C6B6 8031 9071 BE00","1573109437334055","923.25","-51","0.994019550549895"
"E200 9366 C6B6 6771 9071 BD9D","1573109437375131","923.25","-58","5.74935999299538"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109437414293","923.25","-53.5","2.67526249407256"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109437543254","925.25","-54.5","2.01258279370596"
"E200 9366 C6B6 67B1 9071 BD9E","1573109437577451","925.25","-60","1.83464102231123"
"E200 9366 C6B6 6771 9071 BD9D","1573109437627903","925.25","-61","4.33809766814059"
"E200 9366 C6B6 8031 9071 BE00","1573109437663257","925.25","-51","0.251572849213245"
"E200 9366 C6B6 8031 9071 BE00","1573109437762566","924.75","-51.5","0.441786466911065"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109437817273","924.75","-55","2.46050518376857"
"3008 33B2 DDD9 0140 0000 0000","1573109437852636","924.75","-60","2.06780610206984"
"3008 33B2 DDD9 0140 0000 0000","1573109437981870","922.75","-59.5","5.88435030232932"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109437991867","922.75","-53.5","2.82252464970958"
"E200 9366 C6B6 8031 9071 BE00","1573109438030579","922.75","-51.5","0.877437010670587"
"E200 9366 C6B6 6771 9071 BD9D","1573109438090384","922.75","-57.5","5.21553467881118"
"E200 9366 C6B6 8031 9071 BE00","1573109438162797","924.25","-51.5","0.47860200582032"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109438205290","924.25","-54","2.46664110692011"
"E200 9366 C6B6 7BF1 9071 BDEF","1573109438284347","924.25","-54.5","2.34392264388926"
"E200 9366 C6B6 8031 9071 BE00","1573109438378350","925.75","-51.5","0.134990309333936"
