"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 8031 9071 BE00","1573029059797954","922.75","-50","0.638136007760427"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029059837043","922.75","-49.5","4.09266074207889"
"E200 9366 C6B6 67B1 9071 BD9E","1573029059870880","922.75","-52.5","6.00706876536017"
"E200 9366 C6B6 8031 9071 BE00","1573029059967172","923.75","-50","0.337475773334841"
"E200 9366 C6B6 67B1 9071 BD9E","1573029060004974","923.75","-52","5.55301045214602"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029060039233","923.75","-49.5","3.84108789286565"
"E200 9366 C6B6 67B1 9071 BD9E","1573029060116304","923.75","-51.5","5.77390368560155"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029060195915","922.25","-49.5","4.19697143565511"
"E200 9366 C6B6 8031 9071 BE00","1573029060228287","922.25","-50.5","1.01856324315607"
"E200 9366 C6B6 67B1 9071 BD9E","1573029060290717","922.25","-51.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029060379503","925.25","-50.5","0.251572849213245"
"E200 9366 C6B6 8031 9071 BE00","1573029060413553","925.25","-51.5","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029060488508","925.25","-50","0.355883542789469"
"E200 9366 C6B6 67B1 9071 BD9E","1573029060578284","926.25","-52.5","5.16644729359884"
"E200 9366 C6B6 8031 9071 BE00","1573029060612698","926.25","-51.5","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029060670200","926.25","-50.5","0.141126232485479"
"E200 9366 C6B6 67B1 9071 BD9E","1573029060714847","926.25","-52.5","5.08054436947724"
"E200 9366 C6B6 8031 9071 BE00","1573029060791068","925.75","-50.5","6.19728238305799"
"E200 9366 C6B6 8031 9071 BE00","1573029060883669","925.75","-50.5","6.24636976827033"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029060920818","925.75","-50","3.44838881116692"
"E200 9366 C6B6 67B1 9071 BD9E","1573029060995349","926.75","-53","4.89033075177942"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029061052737","926.75","-50.5","6.27704938402804"
"E200 9366 C6B6 8031 9071 BE00","1573029061093885","926.75","-51","5.91502991808703"
"E200 9366 C6B6 67B1 9071 BD9E","1573029061126132","926.75","-52.5","4.828971520264"
"E200 9366 C6B6 67B1 9071 BD9E","1573029061207554","924.75","-52","5.38734052705437"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029061255739","924.75","-50","0.484737928971863"
"E200 9366 C6B6 8031 9071 BE00","1573029061287757","924.75","-50.5","0.227029156607075"
"E200 9366 C6B6 8031 9071 BE00","1573029061328535","924.75","-50.5","0.245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1573029061418627","927.25","-50.5","2.90229165067963"
