1,1,1,1,1
-57,-58.5,-59.5,-61,-63
-57,-58.5,-59.5,-60.5,-63
-57,-57.5,-59.5,-60.5,-62.5
-56.5,-57.5,-59,-60,-62
-56.5,-57,-58.5,-60,-61.5
-57,-57,-58.5,-60,-61
-56.5,-57,-58.5,-59.5,-60.5
-56.5,-57,-58,-60,-60.5
-56.5,-57,-57.5,-59.5,-60
-56,-56.5,-57,-59,-60
-55.5,-56.5,-57,-58.5,-60
-55.5,-57,-57,-58.5,-59.5
-55.5,-56.5,-57,-58,-59.5
-55.5,-56.5,-57,-57.5,-59.5
-55,-56,-56.5,-57.5,-59
-55,-55.5,-56.5,-57,-58.5
-54.5,-55.5,-57,-57,-58.5
-54.5,-55.5,-56.5,-57,-58.5
-54.5,-55.5,-56.5,-57,-58
-54.5,-55.5,-56,-56.5,-57.5
-54.5,-55,-56,-56.5,-57
-54.5,-55,-55.5,-57,-57
-55,-54.5,-55.5,-56.5,-57
-55,-54.5,-55.5,-56.5,-57
-55.5,-54.5,-55.5,-56.5,-57
-55.5,-54.5,-55,-56,-56.5
-55.5,-54.5,-55,-55.5,-56.5
-55.5,-54.5,-54.5,-55.5,-57
-55.5,-55,-54.5,-55.5,-56.5
-55.5,-55,-54.5,-55.5,-56.5
-55.5,-55.5,-54.5,-55,-56
-55,-55.5,-54.5,-55,-56
-55,-55.5,-54.5,-54.5,-55.5
-55,-55.5,-55,-54.5,-55.5
-55,-55.5,-55,-54.5,-55.5
-55.5,-55.5,-55.5,-54.5,-55.5
-56,-55.5,-55.5,-54.5,-55
-56.5,-55,-55.5,-54.5,-55
-57.5,-55,-55.5,-54.5,-54.5
-58,-55,-55.5,-55,-54.5
-58,-55.5,-55.5,-55.5,-54.5
-58,-56,-55.5,-55.5,-54.5
-58,-56,-55,-55.5,-54.5
-57.5,-57,-55,-55.5,-54.5
-57.5,-58,-55,-55.5,-55
-57.5,-58,-55.5,-55.5,-55
-58,-58,-55.5,-55.5,-55.5
-59,-58,-56,-55.5,-55.5
-59.5,-57.5,-56.5,-55,-55.5
-60.5,-57.5,-57.5,-55,-55.5
-61,-57.5,-58,-55,-55.5
-61.5,-58,-58,-55.5,-55.5
-62,-58.5,-58,-56,-55.5
-62.5,-59.5,-58,-56.5,-55
-63,-60,-57.5,-57.5,-55
-63.5,-61,-57.5,-58,-55
-64,-61.5,-57.5,-58,-55.5
-64.5,-62,-58.5,-58,-56
-64,-62.5,-59,-58,-56
-64,-63,-60,-57.5,-57
-64,-63.5,-60.5,-57.5,-58
-64.5,-64,-61,-57.5,-58
-64,-64.5,-61.5,-58,-58
-63.5,-64.5,-62,-59,-58
-63.5,-64,-62.5,-59.5,-57.5
-63,-64,-63,-60.5,-57.5
-62.5,-64.5,-63.5,-61,-57.5
-62,-64.5,-64.5,-61.5,-58
-61.5,-64,-64.5,-62,-58.5
-61.5,-63.5,-64,-62.5,-59
-61.5,-63,-64,-63,-60
-61.5,-62.5,-64,-63.5,-60.5
-61,-62.5,-64.5,-64,-61
-60.5,-62,-64,-64.5,-61.5
-60.5,-61.5,-63.5,-64.5,-62
-60,-61.5,-63,-64,-62.5
-59.5,-61.5,-63,-64,-63
-59,-61,-62.5,-64.5,-64
-58.5,-60.5,-62,-64,-64.5
-58,-60.5,-61.5,-63.5,-64.5
-58,-60,-61.5,-63.5,-64
-58,-60,-61.5,-63,-64
-57,-59.5,-61.5,-62.5,-64
-57,-59,-61,-62,-64.5
-57,-58.5,-60.5,-62,-64
-57,-58,-60,-61.5,-63.5
-56.5,-58,-60,-61.5,-63
-56.5,-57.5,-59.5,-61.5,-62.5
-56.5,-57,-59,-61,-62.5
-56,-57,-58.5,-60.5,-62
-56.5,-57,-58,-60.5,-61.5
-56.5,-56.5,-58,-60,-61.5
-56,-56.5,-58,-60,-61.5
-56.5,-56.5,-57,-59.5,-61.5
-56,-56,-57,-59,-61
-56,-56,-57,-58.5,-60.5
-56,-56.5,-57,-58,-60
-56,-56.5,-56.5,-58,-60
-56,-56,-56.5,-57,-59.5
-55.5,-56.5,-56,-57,-59
-55,-56,-56,-57,-58.5
-55,-56,-56.5,-57,-58
-55,-56,-56.5,-56.5,-58
-54.5,-56,-56,-56.5,-57.5
-54,-55.5,-56.5,-56.5,-57
-54,-55,-56,-56,-57
-54,-55,-56,-56,-57
-53.5,-55,-56,-56.5,-56.5
-54,-55,-56,-56.5,-56.5
-53.5,-54.5,-56,-56.5,-56.5
-54,-54,-55.5,-56,-56
-54,-54,-55,-56,-56
-54,-54,-55,-56,-56.5
-54,-53.5,-55,-56,-56.5
-54,-54,-54.5,-56,-56
-54,-53.5,-54,-55.5,-56.5
-54.5,-54,-54,-55,-56
-54.5,-54,-54,-55,-56
-54,-54,-53.5,-55,-56
-54.5,-54,-54,-55,-56
-55,-54,-53.5,-54,-55.5
-55.5,-54.5,-54,-54,-55.5
-55.5,-54.5,-54,-54,-55
-55.5,-54,-54,-53.5,-55
-56,-54.5,-54,-53.5,-55
-56.5,-54.5,-54,-54,-54.5
-57,-55,-54.5,-53.5,-54
-57,-55.5,-54.5,-54,-54
-56.5,-55.5,-54.5,-54,-54
-56.5,-56,-54,-54,-53.5
-56.5,-56.5,-54.5,-54,-54
-57,-56.5,-55,-54,-53.5
-56.5,-57,-55.5,-54.5,-54
-57.5,-57,-55.5,-54.5,-54
-58.5,-56.5,-56,-54,-54
-58,-56.5,-56,-54.5,-54
-59,-57,-56.5,-55,-54
-59,-57,-57,-55,-54.5
-60,-57,-57,-55.5,-54.5
-60,-58,-56.5,-55.5,-54.5
-60.5,-58,-56.5,-56,-54
-61.5,-58.5,-56.5,-56.5,-54.5
-62,-59,-57,-57,-55
-63,-59.5,-56.5,-57,-55.5
-63.5,-60.5,-57.5,-56.5,-55.5
-63.5,-60.5,-58.5,-56.5,-56
-63.5,-61,-58,-56.5,-56
-64,-62,-59,-57,-56.5
-64,-62.5,-59.5,-56.5,-57
-64,-63,-60,-57,-57
