1,1,1,1,1
-48,-53,-52.5,-49.5,-52.5
-49,-52,-52.5,-50,-51
-50,-50.5,-52.5,-51,-50
-51,-49,-52.5,-52.5,-49
-52.5,-48.5,-53,-53.5,-48.5
-53,-48,-53.5,-53.5,-48.5
-53.5,-47.5,-54,-53,-49
-53,-48.5,-53,-52.5,-49.5
-52.5,-49,-51.5,-52.5,-50.5
-52.5,-50,-50,-52.5,-51.5
-52.5,-51.5,-49,-52.5,-53
-52.5,-52.5,-48.5,-53,-53.5
-53,-53,-48,-53.5,-53.5
-53.5,-53.5,-48,-53.5,-53
-54,-53,-48.5,-52.5,-52.5
-53.5,-52.5,-49.5,-51.5,-52.5
-52.5,-52.5,-50,-50,-52.5
-50.5,-52.5,-51.5,-49,-52.5
-49,-52.5,-52.5,-48,-53
-48,-53,-53,-48,-53.5
-47.5,-54,-53.5,-48,-53.5
-47.5,-54,-53,-49,-52.5
-48,-53.5,-52.5,-49.5,-51
-49,-52,-52.5,-50.5,-49.5
-50,-50.5,-52.5,-52,-48.5
-51.5,-48.5,-52.5,-53,-48
-52.5,-48,-53.5,-53,-47.5
-53.5,-47.5,-54,-53,-48
-53.5,-47.5,-53.5,-53,-49
-53,-48,-53,-52.5,-49.5
-52.5,-49,-51.5,-52.5,-51
-52.5,-50.5,-50,-52.5,-52
-53,-51.5,-48.5,-53,-53
-53.5,-53,-48,-53.5,-53.5
-54,-53.5,-47.5,-54,-53
-54,-53.5,-48,-53.5,-52.5
-52.5,-53,-48.5,-53,-52.5
-51.5,-52.5,-49.5,-51.5,-52.5
-50,-52.5,-50.5,-49.5,-52.5
-49,-53,-52,-48.5,-53
-48,-53.5,-53,-48,-53.5
-48,-54,-53.5,-47.5,-54
-48,-54,-53.5,-48,-53.5
-48.5,-52.5,-53,-48.5,-52.5
-49.5,-51,-52.5,-49.5,-51
-50.5,-49.5,-52.5,-51,-49
-52,-48.5,-53,-52,-48.5
-53,-48,-54,-53,-48
-53,-48,-54.5,-53.5,-47.5
-52.5,-48,-53.5,-53.5,-48
-52.5,-49,-52,-53,-49
-52,-49.5,-50.5,-52.5,-50
-52,-51,-49.5,-52.5,-51
-52.5,-52.5,-48.5,-53,-52.5
-53,-53,-48,-54,-53.5
-53.5,-53,-48,-54.5,-53.5
-54,-52.5,-48,-53,-53
-54,-52.5,-49,-52,-52.5
-52.5,-52,-50,-50.5,-52.5
-50.5,-52,-51,-49,-53
-49.5,-52.5,-52.5,-48.5,-53.5
-49,-53,-53,-48,-54
-48.5,-53.5,-53,-48,-54
-49,-54,-52.5,-48.5,-53
-49.5,-53.5,-52.5,-49,-51.5
-50.5,-52,-52,-50,-50
-51.5,-50.5,-52,-51.5,-49
-52.5,-49.5,-52.5,-53,-48
-53.5,-49,-53.5,-53,-48
-53.5,-48.5,-53.5,-53,-48
-53,-49,-54,-52.5,-48.5
-52.5,-49.5,-53,-52,-49.5
-52,-50.5,-51.5,-52,-50.5
-52,-51.5,-50,-52,-52
-52.5,-53,-49.5,-53,-53
-52.5,-53.5,-48.5,-53.5,-53
-53.5,-53,-48.5,-53.5,-52.5
-53.5,-53,-49,-54,-52.5
-52,-52.5,-50,-53,-52
-51,-52,-51,-51,-52
-50,-52,-52,-50,-52.5
-49,-52.5,-53,-49,-53
-49,-53,-53.5,-48.5,-53.5
-49,-53.5,-53,-49,-53.5
-49.5,-53,-53,-49,-54
