1,1,1,1,1
-50.5,-53.5,-57,-57.5,-58.5
-50,-52.5,-56.5,-57,-58.5
-50,-52,-56,-57.5,-58
-50,-51.5,-55.5,-57.5,-58
-49.5,-51,-54.5,-57.5,-57.5
-49.5,-51,-54,-57.5,-58
-49,-50.5,-53.5,-57,-57.5
-49,-50,-52.5,-56.5,-57
-48.5,-50,-52,-56,-57.5
-48.5,-50,-51.5,-55.5,-57.5
-49,-49.5,-51,-54.5,-57.5
-49,-49.5,-51,-54,-57.5
-49,-49,-50.5,-53.5,-57
-49.5,-49,-50,-52.5,-56.5
-49.5,-48.5,-50,-52,-56
-50,-48.5,-50,-51.5,-55.5
-50,-49,-49.5,-51,-54.5
-50,-49,-49.5,-51,-54
-50,-49,-49,-50.5,-53.5
-50,-49.5,-49,-50,-52.5
-50.5,-49.5,-48.5,-50,-52
-50.5,-50,-48.5,-50,-51.5
-50.5,-50,-49,-49.5,-51
-50.5,-50,-49,-49.5,-51
-50.5,-50,-49,-49,-50.5
-50.5,-50,-49.5,-49,-50
-50.5,-50.5,-49.5,-48.5,-50
-50,-50.5,-50,-48.5,-50
-50,-50.5,-50,-49,-49.5
-49.5,-50.5,-50,-49,-49.5
-49.5,-50.5,-50,-49,-49
-49,-50.5,-50,-49.5,-49
-49,-50.5,-50.5,-49.5,-48.5
-48.5,-50,-50.5,-50,-48.5
-48,-50,-50.5,-50,-49
-48,-49.5,-50.5,-50,-49
-48,-49.5,-50.5,-50,-49
-48,-49,-50.5,-50,-49.5
-48,-49,-50.5,-50.5,-49.5
-48,-48.5,-50,-50.5,-50
-48,-48,-50,-50.5,-50
-47.5,-48,-49.5,-50.5,-50
-47.5,-48,-49.5,-50.5,-50
-47,-48,-49,-50.5,-50
-47,-48,-49,-50.5,-50.5
-47,-48,-48.5,-50,-50.5
-46.5,-48,-48,-50,-50.5
-46,-47.5,-48,-49.5,-50.5
-45.5,-47.5,-48,-49.5,-50.5
-45,-47,-48,-49,-50.5
-44.5,-47,-48,-49,-50.5
-43.5,-47,-48,-48.5,-50
-43,-46.5,-48,-48,-50
-43,-46,-47.5,-48,-49.5
-42.5,-45.5,-47.5,-48,-49.5
-42,-45,-47,-48,-49
-41.5,-44.5,-47,-48,-49
-41,-43.5,-47,-48,-48.5
-41,-43,-46.5,-48,-48
-40.5,-43,-46,-47.5,-48
-40.5,-42.5,-45.5,-47.5,-48
-40.5,-42,-45,-47,-48
-41,-41.5,-44.5,-47,-48
-41,-41,-43.5,-47,-48
-41,-41,-43,-46.5,-48
-41.5,-40.5,-43,-46,-47.5
-42,-40.5,-42.5,-45.5,-47.5
-42.5,-40.5,-42,-45,-47
-42.5,-41,-41.5,-44.5,-47
-43,-41,-41,-43.5,-47
-43.5,-41,-41,-43,-46.5
-44.5,-41.5,-40.5,-43,-46
-45.5,-42,-40.5,-42.5,-45.5
-46.5,-42.5,-40.5,-42,-45
-48,-42.5,-41,-41.5,-44.5
-49,-43,-41,-41,-43.5
-50,-43.5,-41,-41,-43
-50.5,-44.5,-41.5,-40.5,-43
-51,-45.5,-42,-40.5,-42.5
-52,-46.5,-42.5,-40.5,-42
-52.5,-48,-42.5,-41,-41.5
-53,-49,-43,-41,-41
-53.5,-50,-43.5,-41,-41
-53.5,-50.5,-44.5,-41.5,-40.5
-53.5,-51,-45.5,-42,-40.5
-53.5,-52,-46.5,-42.5,-40.5
-53.5,-52.5,-48,-42.5,-41
-54,-53,-49,-43,-41
-54,-53.5,-50,-43.5,-41
-54,-53.5,-50.5,-44.5,-41.5
-54.5,-53.5,-51,-45.5,-42
-55.5,-53.5,-52,-46.5,-42.5
-56,-53.5,-52.5,-48,-42.5
-56.5,-54,-53,-49,-43
-57,-54,-53.5,-50,-43.5
-57,-54,-53.5,-50.5,-44.5
-57,-54.5,-53.5,-51,-45.5
-57,-55.5,-53.5,-52,-46.5
-57.5,-56,-53.5,-52.5,-48
-58,-56.5,-54,-53,-49
-58,-57,-54,-53.5,-50
-58,-57,-54,-53.5,-50.5
-58,-57,-54.5,-53.5,-51
-57.5,-57,-55.5,-53.5,-52
-56.5,-57.5,-56,-53.5,-52.5
-57,-58,-56.5,-54,-53
-56.5,-58,-57,-54,-53.5
-56.5,-58,-57,-54,-53.5
-56,-58,-57,-54.5,-53.5
-56,-57.5,-57,-55.5,-53.5
-55.5,-56.5,-57.5,-56,-53.5
-55.5,-57,-58,-56.5,-54
-54.5,-56.5,-58,-57,-54
-54,-56.5,-58,-57,-54
-53.5,-56,-58,-57,-54.5
-52.5,-56,-57.5,-57,-55.5
-51.5,-55.5,-56.5,-57.5,-56
-51,-55.5,-57,-58,-56.5
-50.5,-54.5,-56.5,-58,-57
-50.5,-54,-56.5,-58,-57
-50,-53.5,-56,-58,-57
-49.5,-52.5,-56,-57.5,-57
-49,-51.5,-55.5,-56.5,-57.5
-49,-51,-55.5,-57,-58
-49,-50.5,-54.5,-56.5,-58
-48.5,-50.5,-54,-56.5,-58
-48.5,-50,-53.5,-56,-58
-48.5,-49.5,-52.5,-56,-57.5
-48.5,-49,-51.5,-55.5,-56.5
-48.5,-49,-51,-55.5,-57
-49,-49,-50.5,-54.5,-56.5
-49,-48.5,-50.5,-54,-56.5
-49,-48.5,-50,-53.5,-56
-49.5,-48.5,-49.5,-52.5,-56
-49.5,-48.5,-49,-51.5,-55.5
-49.5,-48.5,-49,-51,-55.5
-49.5,-49,-49,-50.5,-54.5
-49.5,-49,-48.5,-50.5,-54
-50,-49,-48.5,-50,-53.5
-50,-49.5,-48.5,-49.5,-52.5
-50,-49.5,-48.5,-49,-51.5
-50,-49.5,-48.5,-49,-51
-50,-49.5,-49,-49,-50.5
-50,-49.5,-49,-48.5,-50.5
-49.5,-50,-49,-48.5,-50
-49.5,-50,-49.5,-48.5,-49.5
-49,-50,-49.5,-48.5,-49
-49,-50,-49.5,-48.5,-49
-48.5,-50,-49.5,-49,-49
-48,-50,-49.5,-49,-48.5
