1,1,1
-30.5,-38.5,-42
-31,-35,-42.5
-32,-32.5,-42.5
-34,-31,-42
-37,-30.5,-38.5
-40,-31,-35
-41,-32,-32.5
-42,-34,-31
-42,-37,-30.5
-42,-40,-31
-42,-41,-32
-43,-42,-34
-43,-42,-37
-43.5,-42,-40
-43.5,-42,-41
-42.5,-43,-42
-42,-43,-42
-42,-43.5,-42
-42.5,-43.5,-42
-42,-42.5,-43
-40.5,-42,-43
-38,-42,-43.5
-34.5,-42.5,-43.5
-32,-42,-42.5
-31,-40.5,-42
-30.5,-38,-42
-31,-34.5,-42.5
-32,-32,-42
-34.5,-31,-40.5
-37,-30.5,-38
-39.5,-31,-34.5
-41.5,-32,-32
-43,-34.5,-31
-42.5,-37,-30.5
-42.5,-39.5,-31
-43.5,-41.5,-32
-43.5,-43,-34.5
-44,-42.5,-37
-44,-42.5,-39.5
-44,-43.5,-41.5
-43.5,-43.5,-43
-43,-44,-42.5
-42.5,-44,-42.5
-42.5,-44,-43.5
-42.5,-43.5,-43.5
-43,-43,-44
-41,-42.5,-44
-37,-42.5,-44
-34,-42.5,-43.5
-31.5,-43,-43
-31,-41,-42.5
-31.5,-37,-42.5
-32,-34,-42.5
-34,-31.5,-43
-36.5,-31,-41
-39,-31.5,-37
-41,-32,-34
-43,-34,-31.5
-43,-36.5,-31
-42.5,-39,-31.5
-43,-41,-32
-44,-43,-34
-45,-43,-36.5
-45.5,-42.5,-39
-44,-43,-41
-44,-44,-43
-44,-45,-43
-43.5,-45.5,-42.5
-43,-44,-43
-42.5,-44,-44
-42.5,-44,-45
-42.5,-43.5,-45.5
-42.5,-43,-44
-41,-42.5,-44
-38.5,-42.5,-44
-35,-42.5,-43.5
-33,-42.5,-43
-32,-41,-42.5
-32,-38.5,-42.5
-32.5,-35,-42.5
-34.5,-33,-42.5
-37,-32,-41
-39,-32,-38.5
-41,-32.5,-35
-42.5,-34.5,-33
-42.5,-37,-32
-42,-39,-32
-42,-41,-32.5
-42.5,-42.5,-34.5
-43,-42.5,-37
-43.5,-42,-39
-44,-42,-41
-43.5,-42.5,-42.5
-43,-43,-42.5
-42.5,-43.5,-42
-42,-44,-42
-42,-43.5,-42.5
-42.5,-43,-43
-42,-42.5,-43.5
-39.5,-42,-44
-36.5,-42,-43.5
-34,-42.5,-43
-32,-42,-42.5
-31.5,-39.5,-42
-31,-36.5,-42
-31.5,-34,-42.5
-33,-32,-42
-35,-31.5,-39.5
-37.5,-31,-36.5
-40.5,-31.5,-34
-42,-33,-32
-42.5,-35,-31.5
-42,-37.5,-31
-42,-40.5,-31.5
-42.5,-42,-33
-43,-42.5,-35
-43.5,-42,-37.5
-43.5,-42,-40.5
-43.5,-42.5,-42
-43,-43,-42.5
-42.5,-43.5,-42
-42,-43.5,-42
-42,-43.5,-42.5
-42.5,-43,-43
-42,-42.5,-43.5
-40,-42,-43.5
-37,-42,-43.5
-34,-42.5,-43
-31.5,-42,-42.5
-30.5,-40,-42
-31,-37,-42
-31.5,-34,-42.5
-34,-31.5,-42
-36,-30.5,-40
-39,-31,-37
-41.5,-31.5,-34
-42.5,-34,-31.5
-42.5,-36,-30.5
-42.5,-39,-31
-43,-41.5,-31.5
-43.5,-42.5,-34
-44,-42.5,-36
-43.5,-42.5,-39
-43,-43,-41.5
-42.5,-43.5,-42.5
-42.5,-44,-42.5
-42,-43.5,-42.5
-43,-43,-43
-42.5,-42.5,-43.5
-42,-42.5,-44
