1,1,1,1,1
-43.5,-43.5,-43.5,-39.5,-32
-42,-43,-43.5,-42.5,-32
-39,-43,-44,-43.5,-32.5
-36,-43,-44.5,-44,-33.5
-34,-43.5,-44,-44,-36
-33,-44,-43.5,-43.5,-38.5
-32.5,-43,-43.5,-43.5,-41
-32.5,-40.5,-43,-44,-43.5
-33.5,-37,-43,-44.5,-43.5
-36,-35,-43.5,-44,-44
-38.5,-33.5,-44,-44,-43.5
-40.5,-32.5,-43.5,-43.5,-43.5
-43,-32.5,-42,-43,-43.5
-43.5,-33,-39,-43,-44
-44,-35,-36,-43,-44.5
-44,-37,-34,-43.5,-44
-44,-39.5,-33,-44,-43.5
-44,-41.5,-32.5,-43,-43.5
-44,-43.5,-32.5,-40.5,-43
-44.5,-44,-33.5,-37,-43
-44.5,-44,-36,-35,-43.5
-44.5,-44,-38.5,-33.5,-44
-44.5,-44,-40.5,-32.5,-43.5
-44,-44,-43,-32.5,-42
-43.5,-44.5,-43.5,-33,-39
-43.5,-44.5,-44,-35,-36
-44,-44.5,-44,-37,-34
-44.5,-44.5,-44,-39.5,-33
-42.5,-44,-44,-41.5,-32.5
-40,-43.5,-44,-43.5,-32.5
-37.5,-43.5,-44.5,-44,-33.5
-34.5,-44,-44.5,-44,-36
-33,-44.5,-44.5,-44,-38.5
-32.5,-44,-44.5,-44,-40.5
-33,-41,-44,-44,-43
-34,-38.5,-43.5,-44.5,-43.5
-35,-36,-43.5,-44.5,-44
-38.5,-33.5,-44,-44.5,-44
-41.5,-32.5,-44.5,-44.5,-44
-43.5,-32.5,-42.5,-44,-44
-44,-33.5,-40,-43.5,-44
-44,-34.5,-37.5,-43.5,-44.5
-43.5,-36.5,-34.5,-44,-44.5
-43.5,-40,-33,-44.5,-44.5
-44,-43,-32.5,-44,-44.5
-44.5,-43.5,-33,-41,-44
-45.5,-44,-34,-38.5,-43.5
-45.5,-43.5,-35,-36,-43.5
-46,-43.5,-38.5,-33.5,-44
-45.5,-43.5,-41.5,-32.5,-44.5
-44.5,-44,-43.5,-32.5,-42.5
-44,-45,-44,-33.5,-40
-44,-45.5,-44,-34.5,-37.5
-44.5,-45.5,-43.5,-36.5,-34.5
-45,-46,-43.5,-40,-33
-44.5,-45,-44,-43,-32.5
-43,-44,-44.5,-43.5,-33
-40.5,-44,-45.5,-44,-34
-37,-44.5,-45.5,-43.5,-35
-34,-45,-46,-43.5,-38.5
-32.5,-45,-45.5,-43.5,-41.5
-31.5,-43.5,-44.5,-44,-43.5
-32,-42,-44,-45,-44
-33,-38.5,-44,-45.5,-44
-34.5,-35.5,-44.5,-45.5,-43.5
-37.5,-33,-45,-46,-43.5
-40.5,-32,-44.5,-45,-44
-42.5,-31.5,-43,-44,-44.5
-44,-32.5,-40.5,-44,-45.5
-44.5,-33.5,-37,-44.5,-45.5
-43.5,-36,-34,-45,-46
-43,-39,-32.5,-45,-45.5
-43.5,-41.5,-31.5,-43.5,-44.5
-43.5,-43,-32,-42,-44
-44,-44.5,-33,-38.5,-44
-45,-44,-34.5,-35.5,-44.5
-44.5,-43.5,-37.5,-33,-45
-44.5,-43,-40.5,-32,-44.5
