1,1,1,1,1
-64,-63.5,-63,-62.5,-62.5
-64,-63.5,-63,-63,-63
-64,-63.5,-63,-63,-62.5
-64,-64,-63,-63.5,-63
-63.5,-64.5,-63.5,-63,-63
-64,-64,-63.5,-62.5,-63.5
-64.5,-63.5,-63,-62.5,-63
-64,-64,-63.5,-63,-62.5
-64,-64,-63.5,-62.5,-63
-63.5,-63.5,-63.5,-63,-62.5
-64,-64,-64,-63,-63.5
-64.5,-63.5,-64.5,-63.5,-63
-64,-64,-64,-63.5,-62.5
-64,-64.5,-63.5,-63.5,-62.5
-64.5,-64,-64,-63.5,-63
-64.5,-63.5,-64,-63.5,-62.5
-64.5,-64,-63.5,-63.5,-63
-64.5,-63.5,-64,-64,-63
-64,-64.5,-64,-64.5,-63.5
-65,-64,-64,-64,-63.5
-64.5,-64,-64.5,-64,-63.5
-65,-64.5,-64,-64,-63.5
-64.5,-64.5,-63.5,-64,-63.5
-63.5,-64.5,-64,-63.5,-63.5
-64,-64.5,-63.5,-64,-63.5
-65.5,-64,-64.5,-64,-64
-65,-65,-64,-63.5,-64
-64.5,-64.5,-64,-64.5,-64
-65,-65,-64.5,-64,-64
-64.5,-64.5,-64,-63.5,-64
-64.5,-63.5,-64.5,-64,-63.5
-65,-64,-64.5,-63.5,-64
-65,-65.5,-64,-64,-64
-65,-65,-65,-64,-63.5
-65,-64.5,-64.5,-64,-64
-65,-64.5,-65,-64.5,-64.5
-64.5,-64.5,-64.5,-64,-64
-65,-64.5,-64,-64.5,-64
-65.5,-65,-64,-64.5,-63.5
-65.5,-65.5,-65,-64.5,-64
-65.5,-65,-65,-64.5,-64.5
-65.5,-65,-64.5,-64.5,-64
-65.5,-65,-64.5,-64.5,-64.5
-65,-64.5,-65,-65,-64
-65.5,-65,-64.5,-64,-64.5
-65.5,-65.5,-64.5,-64,-64.5
-65,-65.5,-65.5,-65,-64.5
-65,-65.5,-65,-65,-64.5
-65,-65.5,-65,-64.5,-65
-65.5,-65.5,-65,-64.5,-64.5
-65.5,-65,-64.5,-65,-65
-66.5,-65.5,-65,-64.5,-64
-66,-65.5,-65,-64.5,-63.5
-65.5,-65,-65.5,-65.5,-64.5
-65.5,-65,-65.5,-65,-65
-65.5,-65,-65.5,-65,-64.5
-65.5,-65.5,-65.5,-65,-64.5
-65,-65.5,-65,-64.5,-65
-64.5,-66.5,-65.5,-64.5,-64.5
-65,-66,-65.5,-65,-64.5
-65.5,-65.5,-65,-65.5,-65.5
-65,-65.5,-65,-65.5,-65
-65,-65.5,-65,-66,-65
-64.5,-65.5,-65,-65.5,-65
-64.5,-65,-65.5,-65,-64.5
-64.5,-65,-66.5,-65.5,-64.5
-64,-64.5,-66,-65.5,-65
-64,-65.5,-65.5,-65,-65.5
-64,-65,-65.5,-65,-65.5
-64.5,-64.5,-65.5,-65,-66
-64.5,-64.5,-65.5,-65,-65.5
-64,-64.5,-65,-65.5,-65.5
-64,-64.5,-65,-66,-65.5
-63.5,-64,-64.5,-66,-65.5
-64,-64,-65,-65.5,-65
-63.5,-64,-65,-65.5,-65
-64,-64.5,-64.5,-65.5,-65
-63.5,-64.5,-64.5,-65.5,-65
-63.5,-64,-64,-65,-65.5
-64.5,-64,-64.5,-65,-66
-64.5,-63.5,-64,-64.5,-66
-64,-64,-64,-65,-65.5
-63.5,-63.5,-64,-65.5,-65.5
-64,-64,-64.5,-64.5,-65.5
-63.5,-64,-64.5,-65,-65.5
-64,-63.5,-64,-64,-65
-64,-64.5,-64,-64.5,-65
-64,-64.5,-63.5,-64,-64.5
-64,-64,-64,-64,-65
-63.5,-63.5,-63.5,-64,-65.5
-64,-64,-64,-64.5,-64.5
-63.5,-64,-64,-64.5,-65
-63.5,-64,-63.5,-64,-64
-64,-64,-64,-64,-64.5
-64,-64,-64.5,-63.5,-64
-63.5,-64,-64,-64,-64
-64,-63.5,-63.5,-63.5,-64
-64,-64,-64,-64,-64
-64,-64,-64,-64,-64.5
-64,-63.5,-64,-63.5,-64.5
-65,-64,-64,-64,-64
-65,-64,-64,-64.5,-63.5
-65,-63.5,-64,-64,-64
-65,-64,-64,-63.5,-63.5
-64.5,-64,-64,-64,-64
-65,-64,-64,-64,-64
-65,-64,-63.5,-63.5,-63.5
-64.5,-64.5,-64,-64,-64
-65,-65,-64,-64,-64.5
-65.5,-65,-63.5,-64,-64
-65.5,-65,-64,-64,-63.5
-66,-64.5,-64,-64,-64
-66,-65,-64,-64,-64
-66,-65,-64,-63.5,-63.5
-66,-64.5,-64.5,-63.5,-64
-65.5,-65,-65,-64,-64
-66,-65,-64.5,-63.5,-64
-66.5,-65.5,-65,-63.5,-64
-66.5,-66,-65,-64,-63.5
-66.5,-66,-65,-64,-64
-66,-66,-65,-64,-63.5
-66,-66,-64.5,-64.5,-63.5
-66.5,-65.5,-65,-65,-64
-67,-66,-65,-64.5,-63.5
-67,-66.5,-65.5,-65,-63.5
-67.5,-66.5,-66,-65,-64
-66,-66.5,-66,-64.5,-64
-66.5,-66,-66,-65,-64
-66.5,-66,-66,-64.5,-64.5
-66.5,-66,-65.5,-65,-65
-66.5,-67,-66,-65,-65
-66.5,-67,-66,-65.5,-65
-67,-67.5,-66.5,-65.5,-65
-67,-66.5,-66.5,-66,-64.5
-67,-66.5,-66,-66,-65
-67.5,-66.5,-66,-66,-64.5
-67.5,-66.5,-66,-65.5,-65
-67.5,-66.5,-67,-66,-65
-67.5,-66.5,-67,-66,-65.5
-68,-67,-67.5,-66.5,-65.5
-67,-67,-66.5,-66.5,-66
-67,-67,-66.5,-66.5,-66
-67.5,-67.5,-66.5,-66,-66
-67.5,-67.5,-66.5,-66,-66
-67,-67.5,-66.5,-67,-65.5
-67,-67.5,-66.5,-67,-66
-67.5,-68,-67,-67.5,-66.5
-67.5,-67,-67,-66.5,-66.5
-67,-67,-67,-66,-66.5
-67.5,-67.5,-67.5,-66.5,-66
