"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929598614924","922.75","-51.5","3.675417967774"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929598664596","922.75","-51","3.68768981407708"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929598778148","927.75","-51.5","2.1046216409791"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929598855332","927.75","-51.5","2.12916533358527"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599011954","926.75","-51.5","5.54687452899448"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599065067","926.75","-51.5","2.41755372170777"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599200781","924.25","-51.5","0.171805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599271611","924.25","-51.5","0.098174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599394699","925.75","-51.5","5.95184545699629"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599444193","925.75","-51.5","5.982525072754"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599574551","924.75","-51.5","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599634844","924.75","-52","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599725943","924.75","-51.5","6.11137945893639"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599837645","925.25","-51.5","2.92069942013426"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929599988694","927.25","-51.5","2.35619449019234"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600054115","927.25","-51","2.41755372170777"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600206057","923.25","-51.5","3.66928204462245"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600252028","923.25","-52","3.675417967774"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600420604","923.75","-52","3.41157327225767"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600464847","923.75","-52","0.251572849213245"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600582789","923.75","-52","0.208621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600664503","922.25","-52","3.82881604656256"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600826722","926.25","-52","2.62003918570868"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929600867314","926.25","-52","2.66299064776947"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601031873","922.75","-52","3.73064127613788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601106109","922.75","-52","0.601320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601257265","927.75","-52","2.27029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601328120","927.75","-52.5","2.17825271879761"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601455870","926.75","-53","2.23961195031304"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601530240","926.75","-53.5","2.08007794837293"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601673725","924.25","-54","2.52800033843554"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601751512","924.25","-54.5","2.37460225964697"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601903026","925.75","-56.5","1.4848934026733"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929601961521","925.75","-57","1.34990309333936"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602120052","924.75","-58.5","1.24559239976314"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602174691","924.75","-59","1.31308755443011"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602269526","924.75","-61","1.34990309333936"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602368862","925.25","-64","1.02469916630761"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602654112","927.25","-64.5","6.19728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602730242","923.25","-61.5","0.515417544729575"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602823520","923.25","-61","0.220893233455532"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929602928354","923.75","-61","5.9395736106932"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603020619","923.75","-60","5.56528229844911"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603129340","922.25","-60.5","5.86594253287469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603250686","922.25","-59","5.81685514766235"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603328774","926.25","-58.5","4.64489382571772"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603430700","926.25","-57","5.12349583153804"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603514250","922.75","-56","0.122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929603621218","922.75","-55","0.484737928971863"
