"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"3039 6061 C3C8 CD00 0005 72E8","1574320654781708","922.75","-49.5","5.08054436947724"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320654800700","922.75","-56.5","4.31355397553442"
"E200 9366 C6B6 67B1 9071 BD9E","1574320654819596","922.75","-59.5","0.93266031903447"
"E200 9366 C6B6 67B1 9071 BD9E","1574320654847510","922.75","-60","0.859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320654863709","922.75","-56.5","1.25786424606623"
"3039 6061 C3C8 CD00 0005 72E8","1574320654879568","922.75","-49.5","5.14190360099267"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320654929518","922.75","-56.5","4.30741805238288"
"3039 6061 C3C8 CD00 0005 72E8","1574320654954421","922.75","-49.5","5.1173599083865"
"E200 9366 C6B6 67B1 9071 BD9E","1574320654980534","925.75","-61","0.0674951546669682"
"3039 6061 C3C8 CD00 0005 72E8","1574320655011782","925.75","-49","0.466330159517235"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655026971","925.75","-57.5","0.441786466911065"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655041221","925.75","-60.5","0.110446616727766"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655094413","925.75","-57.5","0.460194236365692"
"3039 6061 C3C8 CD00 0005 72E8","1574320655113686","925.75","-49","0.460194236365692"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655130528","925.75","-61","0.098174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655151394","925.75","-57.5","0.490873852123405"
"3039 6061 C3C8 CD00 0005 72E8","1574320655178886","923.25","-49.5","4.85965113602171"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655199211","923.25","-60","0.730174855033565"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655249033","923.25","-60","0.711767085578938"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655273730","923.25","-56.5","4.17856366620049"
"3039 6061 C3C8 CD00 0005 72E8","1574320655287230","923.25","-49.5","4.8719229823248"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655315008","923.25","-56.5","4.10493258838198"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655332248","923.25","-60","0.681087469821225"
"3039 6061 C3C8 CD00 0005 72E8","1574320655370657","924.75","-49","0.975611781095268"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655424067","924.75","-60.5","0.300660234425586"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655443547","924.75","-57.5","3.81654420025948"
"3039 6061 C3C8 CD00 0005 72E8","1574320655459936","924.75","-49","0.95720401164064"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655487728","924.75","-57.5","0.595184545699629"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655504748","924.75","-61","0.325203927031756"
"3039 6061 C3C8 CD00 0005 72E8","1574320655521613","924.75","-49","0.963339934792183"
"3039 6061 C3C8 CD00 0005 72E8","1574320655588872","925.25","-49","0.66881562351814"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655605679","925.25","-60.5","0.171805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655620655","925.25","-57.5","0.546097160487288"
"3039 6061 C3C8 CD00 0005 72E8","1574320655645326","925.25","-49","0.66881562351814"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655661257","925.25","-57.5","0.582912699396544"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655677020","925.25","-61","0.227029156607075"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655737027","925.25","-61","0.202485464000905"
"3039 6061 C3C8 CD00 0005 72E8","1574320655775620","926.25","-49","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655792521","926.25","-58","0.325203927031756"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655823460","926.25","-57.5","0.294524311274043"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655839767","926.25","-61","6.23409792196725"
"3039 6061 C3C8 CD00 0005 72E8","1574320655853887","926.25","-49","3.27658296292373"
"3039 6061 C3C8 CD00 0005 72E8","1574320655914401","926.25","-49","0.147262155637022"
"E200 9366 C6B6 67B1 9071 BD9E","1574320655931362","926.25","-61","6.2279619988157"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655947294","926.25","-58.5","0.251572849213245"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320655985409","922.25","-57","1.14128170618692"
"3039 6061 C3C8 CD00 0005 72E8","1574320656002218","922.25","-49.5","5.35052498814512"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656017990","922.25","-60","0.834485548609789"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656073581","922.25","-57","1.08605839782303"
"3039 6061 C3C8 CD00 0005 72E8","1574320656088586","922.25","-49.5","5.35052498814512"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656105965","922.25","-60","0.650407854063512"
"3039 6061 C3C8 CD00 0005 72E8","1574320656129189","922.25","-49.5","5.35666091129666"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656175498","927.75","-58.5","6.08683576633022"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656192125","927.75","-61.5","5.64504929941916"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656247689","927.75","-61.5","5.52846675953985"
"3039 6061 C3C8 CD00 0005 72E8","1574320656261607","927.75","-48.5","5.72481630038921"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656278404","927.75","-59","6.0254765348148"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656305284","927.75","-61.5","5.57755414475219"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656326004","927.75","-58.5","5.93343768754166"
"3039 6061 C3C8 CD00 0005 72E8","1574320656341095","927.75","-48.5","5.70640853093458"
"3039 6061 C3C8 CD00 0005 72E8","1574320656403068","927.25","-48.5","5.95798138014783"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656419899","927.25","-61","5.70027260778304"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656437668","927.25","-58","6.13592315154256"
"3039 6061 C3C8 CD00 0005 72E8","1574320656470519","927.25","-48.5","5.95184545699629"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656486379","927.25","-58","6.20341830620953"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656502236","927.25","-61.5","5.74322406984384"
"3039 6061 C3C8 CD00 0005 72E8","1574320656573646","924.25","-49","1.20264093770234"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656588425","924.25","-60.5","0.257708772364788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656604828","924.25","-57.5","0.613592315154257"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656624833","924.25","-57.5","0.662679700366597"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656648796","924.25","-60.5","0.116582539879309"
"3039 6061 C3C8 CD00 0005 72E8","1574320656662862","924.25","-49","4.35036951444368"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656716635","924.25","-57.5","0.613592315154257"
"3039 6061 C3C8 CD00 0005 72E8","1574320656732475","924.25","-49","1.20264093770234"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656778375","923.75","-60.5","0.306796157577128"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656803003","923.75","-60","0.349747619637926"
"3039 6061 C3C8 CD00 0005 72E8","1574320656820883","923.75","-49","4.62035013311155"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656836758","923.75","-57.5","0.754718547639735"
"3039 6061 C3C8 CD00 0005 72E8","1574320656890127","923.75","-49","4.60807828680847"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320656908253","923.75","-57.5","0.681087469821225"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656923667","923.75","-60.5","0.184077694546277"
"E200 9366 C6B6 67B1 9071 BD9E","1574320656946989","923.75","-60.5","0.196349540849362"
"3039 6061 C3C8 CD00 0005 72E8","1574320656987934","926.75","-48.5","6.17273869045182"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320657001566","926.75","-58","6.27704938402804"
"3039 6061 C3C8 CD00 0005 72E8","1574320657068363","926.75","-48.5","6.17273869045182"
