"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553325385","926.75","-48.5","0.889708856973672"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553392382","926.75","-48.5","0.969475857943725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553428707","926.75","-48.5","0.994019550549895"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553492032","922.25","-48","2.09848571782756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553539884","922.25","-48","2.12302941043373"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553595805","922.25","-48","2.22120418085841"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553639798","922.25","-48","2.11075756413064"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553696507","925.25","-48","1.39285455540016"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553727496","925.25","-48.5","1.38058270909708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553803448","925.25","-48.5","1.37444678594553"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553836446","925.25","-48.5","1.41126232485479"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553899019","927.25","-49","0.785398163397448"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394553934459","927.25","-48.5","0.816077779155161"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554007417","927.25","-48.5","0.895844780125214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554042617","927.25","-48.5","0.871301087519044"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554111741","925.75","-48.5","1.23332055346006"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554146762","925.75","-48.5","1.22718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554205995","925.75","-48.5","1.22104870715697"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554231254","925.75","-48.5","1.17809724509617"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554307145","923.75","-48","1.76100994449272"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554347983","923.75","-48","1.8162332528566"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554412438","923.75","-48","1.72419440558346"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554438308","923.75","-48","1.81009732970506"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554510539","926.25","-48.5","1.18423316824771"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554543048","926.25","-48.5","1.20264093770234"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554606804","926.25","-48.5","1.20877686085389"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554654199","926.25","-48.5","1.1106020904292"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554713386","924.25","-48.5","1.65669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554738946","924.25","-48","1.66897109721958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578394554813757","924.25","-48.5","1.62601963515878"
