"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502131871621","927.75","-57","5.46097160487288"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502131898406","927.75","-57","5.405748296509"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502131967581","927.75","-57.5","5.46097160487288"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502131992558","927.75","-57.5","5.34438906499357"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132076236","925.25","-57.5","6.20955422936108"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132098297","925.25","-57","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132176800","925.25","-57.5","0.0368155389092554"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132203976","925.25","-57.5","0.098174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132273784","922.75","-57","0.846757394912874"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132309669","922.75","-57.5","0.926524395882927"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132375191","922.75","-57.5","0.895844780125214"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132405757","922.75","-58","0.803805932852076"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132485155","922.25","-58","0.852893318064416"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132516056","922.25","-58.5","0.797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132575775","922.25","-59","0.521553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132616633","922.25","-59.5","0.386563158547182"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132689612","924.75","-60","5.4916512206306"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132720299","924.75","-60.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132775719","924.75","-60","4.95168998329485"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502132814244","924.75","-60","4.52217536268687"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133098691","925.75","-61","1.84077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133129485","925.75","-60.5","1.52170894158256"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133199767","925.75","-61","0.828349625458246"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133217981","925.75","-60.5","0.975611781095268"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133422318","924.25","-61","5.6082337605099"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133455190","924.25","-61","5.19099098620501"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133515862","926.75","-61","4.14788405044277"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133540844","926.75","-61.5","4.1662918198974"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133614015","926.75","-60.5","0.546097160487288"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502133638344","926.75","-61","0.472466082668777"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134116990","926.25","-61","0.0797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134169199","926.25","-59.5","0.177941771394734"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134251508","926.25","-60","0.343611696486384"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134278317","926.25","-60","0.294524311274043"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134348647","927.75","-61.5","0.104310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134379227","927.75","-61.5","0.177941771394734"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134444548","927.75","-60.5","0.466330159517235"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134472783","927.75","-60.5","0.816077779155161"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134547819","925.25","-61","4.94555406014331"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134581413","925.25","-61","5.12963175468958"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134736465","922.75","-59","0.859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134797083","922.75","-60","1.27013609236931"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134859520","922.75","-59.5","4.89646667493097"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134890342","922.75","-59","5.09895213893187"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134955831","922.25","-59.5","5.74935999299538"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502134995421","922.25","-59","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135051233","922.25","-58.5","6.18501053675491"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135091904","922.25","-58.5","3.39930142595458"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135156609","924.75","-58","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135195987","924.75","-58.5","0.269980618667873"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135262254","924.75","-57.5","3.88403935492644"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135292116","924.75","-57","4.04357335686655"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135366878","927.25","-57.5","3.84108789286565"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135398663","927.25","-57","3.98221412535112"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135456494","927.25","-56.5","4.43013651541373"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135492346","927.25","-56","4.60194236365692"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135568327","925.75","-56.5","5.61436968366145"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135592697","925.75","-56","5.70027260778304"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135667550","925.75","-56.5","6.20955422936108"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135694399","925.75","-56.5","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135766484","924.25","-57","0.889708856973672"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135807243","924.25","-57","0.975611781095268"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135859696","924.25","-57","1.12287393673229"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135904876","924.25","-57.5","1.22718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502135975407","926.75","-58.5","0.515417544729575"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136002856","926.75","-58.5","0.521553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136064525","926.75","-58.5","0.601320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136099832","926.75","-58.5","0.570640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136170426","923.25","-59","1.3989904785517"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136199634","923.25","-59","1.28854386182394"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136265798","923.25","-59","1.09833024412612"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136301786","923.25","-59","0.822213702306704"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136366972","923.75","-60","0.196349540849362"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136393882","923.75","-60","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136464392","923.75","-60.5","5.76776776245001"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136491353","923.75","-60.5","5.76776776245001"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136574052","926.25","-60.5","0.95720401164064"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136822236","927.75","-60","0.901980703276757"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136873124","927.75","-60.5","0.582912699396544"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502136915678","927.75","-60","0.251572849213245"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137137358","925.25","-60","5.28916575662969"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137176402","922.75","-61","5.98866099590554"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137242388","922.75","-60.5","5.37506868075129"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137445424","922.25","-60","4.90260259808251"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137542408","922.25","-60","4.75534044244549"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137628704","924.75","-59","0.834485548609789"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137685595","924.75","-60","3.84108789286565"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137720176","924.75","-60.5","0.938796242186012"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137775443","927.25","-60","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137820791","927.25","-60.5","0.141126232485479"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137884197","927.25","-61","0.269980618667873"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137912470","927.25","-60.5","0.509281621578033"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502137988612","925.75","-60.5","4.25833066717054"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502138023840","925.75","-59.5","4.44854428486836"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502138086270","925.75","-59.5","4.7430685961424"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502138120222","925.75","-59","4.93328221384022"
"E200 9366 C6B6 7BF1 9071 BDEF","1581502138206611","924.25","-59.5","5.95184545699629"
