"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392448231","926.25","-58","4.35650543759522"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392485718","926.25","-58","4.43627243856527"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392544339","926.25","-58","4.35650543759522"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392585865","926.25","-58","4.39332097650448"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392653964","924.25","-58","4.80442782765783"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392679283","924.25","-57.5","4.91487444438559"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392749078","924.25","-57.5","4.98236959905256"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392775978","924.25","-58","4.84737928971863"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392855187","925.25","-58","4.62648605626309"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392876189","925.25","-58","4.63875790256618"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392946290","925.25","-58","4.52831128583841"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986392975221","925.25","-58","4.50990351638379"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393046565","923.25","-58","5.22167060196272"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393085933","923.25","-57.5","5.25235021772044"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393153996","923.25","-58","5.21553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393176796","923.25","-57.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393252745","922.25","-57.5","5.59596191420682"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393280195","922.25","-57.5","5.51005899008522"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986393355462","922.25","-58","5.46710752802443"
