"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157474589","924.75","-48","1.83464102231123"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157499083","924.75","-48","1.84691286861431"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157576079","924.75","-48.5","1.9021361769782"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157612730","924.75","-48.5","1.8591847149174"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157669782","923.25","-48.5","2.26415564291921"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157704518","923.25","-48.5","2.31324302813155"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157779699","923.25","-48.5","2.18438864194915"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157803802","923.25","-48.5","2.25801971976766"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157867146","922.75","-48.5","2.39914595225314"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157902970","922.75","-48.5","2.36846633649543"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383157974955","922.75","-48.5","2.40528187540469"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158008126","922.75","-48.5","2.41141779855623"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158083986","927.75","-49","1.01856324315607"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158114967","927.75","-48.5","1.10446616727766"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158170031","927.75","-48.5","1.07378655151995"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158214620","927.75","-49","1.03697101261069"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158279596","926.75","-48.5","1.36217493964245"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158309035","926.75","-48.5","1.34376717018782"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158373791","926.75","-48.5","1.37444678594553"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158403913","926.75","-48.5","1.41739824800633"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158487117","922.25","-48","5.70640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158515403","922.25","-48","2.57095180049633"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158580604","922.25","-48.5","2.60776733940559"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158611862","922.25","-48.5","2.58935956995096"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158684911","925.25","-48.5","1.88986433067511"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158713700","925.25","-48.5","1.84691286861431"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158774610","925.25","-48.5","1.88986433067511"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158816115","925.25","-48.5","1.85304879176585"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158885382","927.25","-49","1.39285455540016"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158916258","927.25","-49","1.38058270909708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383158973523","927.25","-49","1.42967009430942"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159016020","927.25","-49","1.37444678594553"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159079268","925.75","-49","1.76714586764426"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159117697","925.75","-49","1.77941771394734"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159190103","925.75","-49","1.81009732970506"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159224488","925.75","-49","1.76714586764426"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159287140","923.75","-49","2.28869933552538"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159311312","923.75","-49","2.25188379661612"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159386059","923.75","-49","2.28869933552538"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159422038","923.75","-49","2.28869933552538"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159482148","926.25","-49","1.69351478982575"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159522628","926.25","-49","1.71805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159588839","926.25","-49","1.70578663612883"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159618416","926.25","-49","1.69965071297729"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159684394","924.25","-49","2.15370902619144"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159726904","924.25","-49","2.1046216409791"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159793078","924.25","-49","2.07394202522139"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159820942","924.25","-49","2.03099056316059"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159893240","924.75","-49","1.85304879176585"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159924475","924.75","-49","1.83464102231123"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383159992413","924.75","-49","1.69351478982575"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160024868","924.75","-49","1.66283517406803"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160097629","923.25","-49","1.9021361769782"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160131012","923.25","-49","1.84077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160191625","923.25","-49","1.72419440558346"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160230784","923.25","-49","1.66897109721958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160312547","922.75","-49","1.73646625188655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160335685","922.75","-49","1.69351478982575"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160403073","922.75","-49","1.65056332776495"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160440086","922.75","-49","1.55852448049181"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160508094","927.75","-50","0.269980618667873"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160548130","927.75","-50","0.220893233455532"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160608259","927.75","-50","0.153398078788564"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160643092","927.75","-50","0.0920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160712276","926.75","-50","0.245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160751062","926.75","-50","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160815479","926.75","-50","0.0797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160850824","926.75","-50","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160916614","922.25","-49.5","1.01856324315607"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383160949024","922.25","-49.5","0.98174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161017739","922.25","-49.5","0.895844780125214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161042855","922.25","-49.5","0.828349625458246"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161123923","925.25","-50.5","6.19114645990645"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161161680","925.25","-50.5","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161223189","925.25","-50.5","6.13592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161250246","925.25","-50.5","6.09297168948177"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161322744","927.25","-50.5","5.42415606596363"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161362295","927.25","-51","5.42415606596363"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161420267","927.25","-51","5.29530167978123"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161461518","927.25","-50.5","5.26462206402352"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161530212","925.75","-51","5.47324345117597"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161565430","925.75","-51","5.4486997585698"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161631601","925.75","-51","5.34438906499357"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161663240","925.75","-51","5.26462206402352"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161737546","923.75","-51","5.60209783735836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161766241","923.75","-51","5.52846675953985"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161833817","923.75","-51.5","5.38734052705437"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161863391","923.75","-51.5","5.30143760293278"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161931347","926.25","-52","4.50990351638379"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383161963456","926.25","-52","4.46081613117144"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162033225","926.25","-52","4.22765105141283"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162075773","926.25","-52","4.1233403578366"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162135414","924.25","-52","4.47308797747453"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162168685","924.25","-52","4.38718505335293"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162241981","924.25","-52","4.19697143565511"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162266766","924.25","-52","4.16015589674586"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162341586","924.75","-52.5","3.77972866135022"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162374766","924.75","-52.5","3.71223350668325"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162444068","924.75","-52.5","3.49134027322772"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162477957","924.75","-52.5","3.36862181019687"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162550855","923.25","-52.5","3.62019465941011"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162574513","923.25","-52","3.66314612147091"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162651172","923.25","-52.5","3.43611696486384"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162672475","923.25","-52.5","3.47293250377309"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162750179","922.75","-52.5","0.306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162788000","922.75","-52.5","0.257708772364788"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162850409","922.75","-52","0.141126232485479"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162881770","922.75","-52","0.0245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162953293","927.75","-52.5","1.66897109721958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383162986140","927.75","-52.5","1.54011671103718"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163055086","927.75","-53","1.36831086279399"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163087001","927.75","-53","1.25786424606623"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163149627","926.75","-53","1.36831086279399"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163188801","926.75","-53","1.27013609236931"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163259115","926.75","-53","1.03697101261069"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163291422","926.75","-53","0.994019550549895"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163348889","922.25","-52","1.98190317794825"
"E200 9366 C6B6 7BF1 9071 BDEF","1578383163384616","922.25","-52","1.84691286861431"
