"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326564991","926.75","-49","2.36846633649543"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326628125","926.75","-49","2.46050518376857"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326666163","926.75","-49","2.45436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326731078","922.25","-49","3.6324665057132"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326774368","922.25","-49","0.582912699396544"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326839005","922.25","-49","3.66314612147091"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326866788","922.25","-49","3.60792281310703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326938063","925.25","-49","2.93910718958889"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384326984239","925.25","-49","2.98205865164969"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327038451","925.25","-49","2.88388388122501"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327077729","925.25","-49","2.95137903589197"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327149504","927.25","-49.5","2.42368964485931"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327174617","927.25","-49.5","2.41141779855623"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327248170","927.25","-49.5","2.46050518376857"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327283421","927.25","-49.5","2.42982556801086"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327354926","925.75","-50","2.87774795807346"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327392953","925.75","-49.5","2.84706834231575"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327455102","925.75","-50","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327481887","925.75","-50","2.82866057286112"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327560302","923.75","-50","3.3440781175907"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327589128","923.75","-50","3.3870295796515"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327656464","923.75","-50","0.190213617697819"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327685272","923.75","-50","3.38089365649995"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327755265","926.25","-50.5","2.84093241916421"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327796135","926.25","-50.5","2.79798095710341"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327855073","926.25","-51","2.80411688025495"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327893502","926.25","-51.5","2.77343726449724"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327955362","924.25","-51.5","0.159534001940107"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384327991650","924.25","-52.5","0.122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328053546","924.25","-53.5","0.098174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328093736","924.25","-54","0.0306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328171709","924.75","-56","6.13592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328201486","924.75","-56.5","6.0684279968756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328260176","924.75","-57","6.13592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328298710","924.75","-56.5","6.03161245796634"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328370103","923.25","-55","0.233165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328399536","923.25","-54","3.25203927031756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328465520","923.25","-52.5","0.128854386182394"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328507709","923.25","-51.5","3.24590334716602"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328566386","922.75","-50","0.23930100291016"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328604440","922.75","-49.5","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328672491","922.75","-48.5","6.2279619988157"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328704493","922.75","-48","6.15433092099719"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328777093","927.75","-47.5","1.43580601746096"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328805149","927.75","-47.5","1.36217493964245"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328874222","927.75","-47.5","1.23332055346006"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328914534","927.75","-47.5","1.15968947564154"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384328980157","926.75","-47.5","1.43580601746096"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329020274","926.75","-47.5","1.45421378691559"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329084160","926.75","-47.5","1.61374778885569"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329120537","926.75","-47.5","1.730330328735"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329191188","922.25","-47.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329223631","922.25","-48","0.202485464000905"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329286076","922.25","-48","0.460194236365692"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329323485","922.25","-48.5","3.69382573722862"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329394873","925.25","-49.5","6.08069984317868"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329430048","925.25","-50.5","6.06229207372405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329487160","925.25","-52","2.84093241916421"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329523787","925.25","-52.5","5.92730176439012"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329593812","927.25","-55.5","2.19666048825224"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329629543","927.25","-57","2.12302941043373"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329695935","927.25","-58","5.13576767784113"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329730312","927.25","-58.5","2.04326240946367"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329797043","925.75","-57.5","5.60209783735836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329830679","925.75","-57","2.42368964485931"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329897560","925.75","-55","5.56528229844911"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384329924603","925.75","-54","5.60209783735836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384330004018","923.75","-51.5","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1578384330035864","923.75","-50.5","6.21569015251262"
