"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408399777569","925.75","-58.5","5.70640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408399810452","925.75","-59","5.87821437917778"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408399878294","925.75","-58.5","0.619728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408399915467","925.75","-58","4.57739867105075"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408399980831","926.25","-58","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400018439","926.25","-59","0.920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400082921","926.25","-58.5","1.8591847149174"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400108019","926.25","-59","2.00031094740288"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400189030","922.75","-58","2.27029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400208901","922.75","-57.5","1.76714586764426"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400277046","922.75","-58","0.0245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400311582","922.75","-58","5.62050560681299"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400392639","927.25","-58.5","6.00093284220863"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400413004","927.25","-58.5","5.84139884026852"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400483871","927.25","-59","2.54027218473862"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400517456","927.25","-59.5","6.08069984317868"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400593105","923.25","-57.5","5.52233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400620449","923.25","-57.5","0.0122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400681971","923.25","-58","1.55852448049181"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400714508","923.25","-58","5.52233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1581408400792465","927.75","-59","1.63829148146186"
