"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575073996","923.75","-51.5","2.65685472461793"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575108072","923.75","-51","2.70594210983027"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575166589","923.75","-51","5.84753476342006"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575202733","923.75","-51","2.69367026352719"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575273621","926.75","-51.5","1.84691286861431"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575298681","926.75","-51.5","1.84077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575373104","926.75","-51.5","1.83464102231123"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575395481","926.75","-51.5","1.84691286861431"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575478215","922.25","-51","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575514806","922.25","-51","6.27704938402804"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575570106","922.25","-51","6.2709134608765"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575608374","922.25","-51","6.25864161457342"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575682523","927.25","-51.5","1.68124294352266"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575716472","927.25","-51.5","1.64442740461341"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575776590","927.25","-51.5","1.63829148146186"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575812091","927.25","-51.5","1.64442740461341"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575880705","925.75","-51","2.09848571782756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575918631","925.75","-51","2.13530125673681"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566575983027","925.75","-51","2.1475731030399"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576010855","925.75","-51","2.15984494934298"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576092042","922.75","-51","6.22182607566416"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576121066","922.75","-51","6.20955422936108"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576186257","922.75","-51","6.19728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576221410","922.75","-51","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576286803","926.25","-51","2.0616701789183"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576314343","926.25","-51","2.07394202522139"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576381215","926.25","-51","2.15370902619144"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576413480","926.25","-51.5","2.1905245651007"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576495101","927.75","-52","1.72419440558346"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576524756","927.75","-52","1.69351478982575"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576589603","927.75","-52","1.61988371200724"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576614616","927.75","-52","1.58306817309798"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576695254","924.75","-51.5","2.3930100291016"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576721095","924.75","-51.5","2.34392264388926"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576787931","924.75","-51.5","2.31324302813155"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576827582","924.75","-51.5","2.30710710498"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576893428","925.25","-51.5","2.1475731030399"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576929510","925.25","-51.5","2.13530125673681"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566576999970","925.25","-51.5","2.17211679564607"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577024996","925.25","-51.5","2.21506825770687"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577098432","923.25","-51.5","2.75502949504261"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577135991","923.25","-51.5","2.78570911080032"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577198676","923.25","-51.5","2.82252464970958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577223350","923.25","-51.5","5.94570953384475"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577301393","924.25","-51.5","2.50345664582937"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577332788","924.25","-51.5","2.56481587734479"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577402696","924.25","-51.5","2.52186441528399"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577437756","924.25","-51.5","2.47277703007165"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577512884","923.75","-51.5","2.65685472461793"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577542680","923.75","-52","2.61390326255713"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577602507","923.75","-52","5.81071922451081"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577634459","923.75","-52.5","2.54640810789016"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577704973","926.75","-54","1.50330117212793"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577746526","926.75","-55","1.28854386182394"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577800316","926.75","-56.5","0.969475857943725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577832812","926.75","-57.5","0.809941856003619"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577910626","922.25","-59","1.32535940073319"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566577935212","922.25","-60","1.07992247467149"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578010035","922.25","-63.5","0.202485464000905"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578037511","922.25","-64","0.0245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578115314","927.25","-68","1.55852448049181"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578596869","922.75","-65.5","1.42353417115788"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578655721","922.75","-65","1.10446616727766"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578715136","926.25","-64","5.54687452899448"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578778041","926.25","-63.5","1.84691286861431"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578811300","926.25","-62.5","1.41739824800633"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578873408","926.25","-62","0.417242774304894"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578918209","927.75","-62.5","5.54073860584294"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566578988022","927.75","-64.5","1.42353417115788"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579021514","927.75","-65","0.779262240245906"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579086693","927.75","-65.5","5.76776776245001"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579128822","924.75","-64","5.71868037723767"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579194630","924.75","-62.5","4.88419482862788"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579231387","924.75","-60.5","1.38058270909708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579282151","924.75","-59.5","0.975611781095268"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579333626","925.25","-59.5","0.392699081698724"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579397546","925.25","-59","6.06229207372405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578566579426219","925.25","-59.5","5.86594253287469"
