"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478431869","923.75","-55.5","5.96411730329937"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478462088","923.75","-55","5.92116584123858"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478535600","923.75","-55.5","2.89001980437655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478559122","923.75","-55.5","6.0254765348148"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478631801","926.75","-55","1.90827210012974"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478656992","926.75","-55.5","2.0616701789183"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478726724","926.75","-55.5","2.04939833261522"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478770288","926.75","-55.5","2.00644687055442"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478840216","922.25","-55.5","0.269980618667873"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478867799","922.25","-55","0.141126232485479"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478935179","922.25","-55.5","0.220893233455532"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562478962846","922.25","-55.5","0.227029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479033390","927.25","-55.5","1.86532063806894"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479080036","927.25","-56","1.89600025382665"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479136926","927.25","-55.5","1.87759248437202"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479179467","927.25","-55.5","1.7732817907958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479243293","925.75","-55.5","5.39961237335746"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479280694","925.75","-55.5","2.38687410595006"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479344198","925.75","-55","2.27642748922229"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479380180","925.75","-55","5.45483568172134"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479445417","922.75","-55","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479483527","922.75","-55.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479556611","922.75","-55","3.24590334716602"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479587810","922.75","-55","0.098174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479641355","926.25","-55","2.09234979467601"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479689515","926.25","-55","2.09848571782756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479753669","926.25","-55","2.12302941043373"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479789195","926.25","-55","2.11075756413064"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479849491","927.75","-55","1.61374778885569"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479875663","927.75","-55.5","1.71805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479945753","927.75","-55","1.80396140655351"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562479983876","927.75","-55","1.71192255928038"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480053683","924.75","-55","5.7800396087531"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480089072","924.75","-55","2.63231103201176"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480157883","924.75","-55","5.70027260778304"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480186065","924.75","-55","5.7370881466923"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480255153","925.25","-55","2.4359614911624"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480286055","925.25","-55","5.6511852225707"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480342506","925.25","-55","5.53460268269139"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480376979","925.25","-55","5.67572891517687"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480460081","923.25","-55","6.26477753772496"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480490320","923.25","-55","0.0184077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480551835","923.25","-55","0"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480582775","923.25","-55","0.0306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480662064","924.25","-54.5","2.85320426546729"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480693693","924.25","-55","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480762692","924.25","-54.5","5.97638914960246"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480797122","924.25","-54.5","5.97638914960246"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480856171","923.75","-54","6.0684279968756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480898663","923.75","-54","6.05615615057251"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480964827","923.75","-53.5","5.95184545699629"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562480999714","923.75","-53.5","2.71821395613336"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481056271","926.75","-53.5","1.76714586764426"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481101462","926.75","-53","1.50943709527947"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481160565","926.75","-53.5","1.20877686085389"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481198390","926.75","-53.5","0.920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481259612","922.25","-53.5","1.69965071297729"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481292099","922.25","-54","1.36217493964245"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481367870","922.25","-54","0.785398163397448"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481394758","922.25","-54.5","0.632000084608884"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481468434","927.25","-55.5","4.76147636559703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481500138","927.25","-56","4.44854428486836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481570173","927.25","-57","0.914252549579842"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481596517","927.25","-57.5","0.71790300873048"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481667929","925.75","-58","0.724038931882023"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481706335","925.75","-58","0.619728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481768983","925.75","-58.5","0.300660234425586"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481823795","925.75","-58.5","0.349747619637926"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481882131","922.75","-58","1.10446616727766"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481913121","922.75","-58","0.926524395882927"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562481982790","922.75","-57.5","4.03130151056347"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482023279","922.75","-57.5","4.11720443468506"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482087643","926.25","-58","0.0859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482124603","926.25","-57.5","0.104310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482192601","926.25","-58","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482227718","926.25","-58","6.20955422936108"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482299442","927.75","-58.5","5.84139884026852"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482334749","927.75","-57.5","5.88435030232932"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482391570","927.75","-57.5","5.81071922451081"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482423353","927.75","-58","5.84753476342006"
"E200 9366 C6B6 7BF1 9071 BDEF","1578562482513185","924.75","-57","0.196349540849362"
