"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915437241","923.25","-52","0.846757394912874"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915506893","923.25","-52","0.920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915538627","923.25","-52","0.877437010670587"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915621500","922.75","-51.5","1.01242732000452"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915647443","922.75","-51.5","1.00015547370144"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915720104","922.75","-52","1.02469916630761"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915756029","922.75","-52","1.01856324315607"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915820326","927.75","-53","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915862528","927.75","-52.5","5.982525072754"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915926570","927.75","-52.5","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379915950434","927.75","-53","5.99479691905709"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916023256","926.75","-52.5","6.15433092099719"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916063283","926.75","-53","6.18501053675491"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916132899","926.75","-52.5","0.0859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916162516","926.75","-52.5","6.14819499784565"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916236594","922.25","-52","1.1965050145508"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916265907","922.25","-52","1.18423316824771"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916334627","922.25","-52","1.15968947564154"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916360718","922.25","-51.5","1.16582539879309"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916426096","925.25","-52","0.306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916475395","925.25","-52.5","0.349747619637926"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916526210","925.25","-52.5","0.312932080728671"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916564792","925.25","-52.5","0.337475773334841"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916634006","927.25","-53","6.0684279968756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916666345","927.25","-52.5","6.11137945893639"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916737157","927.25","-52.5","6.03161245796634"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916763842","927.25","-52.5","6.11137945893639"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916848638","925.75","-52.5","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916883294","925.75","-52.5","0.251572849213245"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916937517","925.75","-52.5","0.171805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379916980382","925.75","-52.5","0.196349540849362"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917050886","923.75","-52","0.766990393942821"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917089470","923.75","-52","0.650407854063512"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917146287","923.75","-52","0.730174855033565"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917181566","923.75","-52","0.754718547639735"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917257218","926.25","-52.5","0.042951462060798"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917277158","926.25","-52.5","0.0613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917347260","926.25","-52.5","0.0245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917385250","926.25","-52.5","0.0490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917448972","924.25","-52","0.613592315154257"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917487253","924.25","-52","0.595184545699629"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917551930","924.25","-52","0.625864161457342"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917584616","924.25","-52.5","0.613592315154257"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917646266","924.75","-52.5","0.484737928971863"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917684593","924.75","-52.5","0.472466082668777"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917744894","924.75","-52.5","0.47860200582032"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917782017","924.75","-52.5","0.50314569842649"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917852448","923.25","-52","0.889708856973672"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917885895","923.25","-52","0.9081166264283"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917950444","923.25","-52","0.920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379917979123","923.25","-52","0.901980703276757"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918060084","922.75","-52","1.00629139685298"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918087891","922.75","-52","1.04310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918164860","922.75","-52","1.04924285891378"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918192292","922.75","-52","0.93266031903447"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918269154","927.75","-52.5","5.86594253287469"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918289866","927.75","-53","5.85367068657161"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918362011","927.75","-53","6.01934061166326"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918388476","927.75","-53","5.85980660972315"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918462290","926.75","-52.5","6.16660276730028"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918493800","926.75","-53","0.0184077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918565240","926.75","-52.5","6.08069984317868"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918596761","926.75","-52.5","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918656012","922.25","-52","1.10446616727766"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918688905","922.25","-52","1.16582539879309"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918758607","922.25","-52","1.20264093770234"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918793012","922.25","-52","1.17809724509617"
"E200 9366 C6B6 7BF1 9071 BDEF","1578379918865863","925.25","-52.5","0.374291312244096"
