"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069176800","926.75","-49","4.5835345942023"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069238704","926.75","-49.5","4.58967051735384"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069268826","926.75","-49","4.57126274789921"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069344391","923.25","-49","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069373599","923.25","-49","5.46710752802443"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069444374","923.25","-49","5.52233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069479095","923.25","-49","5.53460268269139"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069554658","923.75","-49","5.4486997585698"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069585382","923.75","-49","5.56528229844911"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069644766","923.75","-49","5.6511852225707"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069686145","923.75","-49","5.74322406984384"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069757017","926.25","-48.5","5.24007837141735"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069787181","926.25","-48.5","5.31370944923586"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069854438","926.25","-48.5","5.38734052705437"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069877389","926.25","-48.5","5.38734052705437"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069959210","927.75","-49","5.05600067687107"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501069996371","927.75","-49","5.01304921481028"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070060863","927.75","-50","4.92714629068868"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070093676","927.75","-50.5","4.83510744341554"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070165881","925.25","-51.5","5.20939875565964"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070200631","925.25","-52","5.08668029262879"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070255200","925.25","-53.5","4.7430685961424"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070291025","925.25","-54.5","4.52831128583841"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070365100","922.75","-56","4.71238898038469"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070394193","922.75","-56.5","4.56512682474767"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070452885","922.75","-57.5","4.21537920510974"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070499588","922.75","-58","3.88403935492644"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070570522","922.25","-58","0.411106851153352"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070592684","922.25","-58","0.0859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070670329","922.25","-57.5","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070699341","922.25","-57.5","2.25188379661612"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070764269","924.75","-58","0.859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1581501070800011","924.75","-58","0.374291312244096"
