"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343343341","922.25","-57.5","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343364674","922.25","-57","5.87207845602623"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343441257","922.25","-57.5","5.81071922451081"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343470265","922.25","-57","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343544224","926.75","-57.5","4.73693267299086"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343572075","926.75","-57.5","4.67557344147543"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343639837","926.75","-57.5","4.73693267299086"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343665567","926.75","-57.5","4.67557344147543"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343748734","927.25","-57.5","4.65716567202081"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343776922","927.25","-57","4.62035013311155"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343843004","927.25","-57.5","4.67557344147543"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343868009","927.25","-57","4.62648605626309"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343945789","923.75","-57","5.59596191420682"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986343975421","923.75","-57","5.65732114572224"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344041325","923.75","-57","5.54687452899448"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344081821","923.75","-57","5.59596191420682"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344148530","924.75","-57","5.41188421966054"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344178878","924.75","-56.5","5.3627968344482"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344240565","924.75","-56.5","5.38734052705437"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344279449","924.75","-56.5","5.39961237335746"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344355365","927.75","-56.5","4.4976316700807"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344389655","927.75","-56.5","4.60807828680847"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344452850","927.75","-56.5","4.5405831321415"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344485816","927.75","-56.5","4.56512682474767"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344559050","922.75","-56.5","5.94570953384475"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344588718","922.75","-56","5.89048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344650046","922.75","-56.5","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344685109","922.75","-56","5.97025322645092"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344757571","925.75","-56.5","5.13576767784113"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344797396","925.75","-56","5.13576767784113"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344857934","925.75","-56","5.17871913990192"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344886350","925.75","-56","5.15417544729575"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344969538","926.25","-56","5.05600067687107"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986344993880","926.25","-56.5","4.97009775274948"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345061315","926.25","-56.5","4.9885055222041"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345095965","926.25","-56","4.98236959905256"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345170051","924.25","-56","5.56528229844911"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345200651","924.25","-56","5.58369006790373"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345263320","924.25","-56","5.56528229844911"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345291168","924.25","-56","5.51005899008522"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345369299","925.25","-56","5.21553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345404601","925.25","-56","5.24007837141735"
"E200 9366 C6B6 7BF1 9071 BDEF","1580986345471872","925.25","-56","5.2032628325081"
