"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505635018","926.75","-54","4.91487444438559"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505659088","926.75","-54","5.02532106111336"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505729316","926.75","-53.5","5.01918513796182"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505761252","926.75","-53.5","4.89646667493097"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505837282","922.25","-53","6.18501053675491"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505870169","922.25","-53","6.24023384511879"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505927656","922.25","-53","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387505971442","922.25","-53.5","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506040068","925.25","-53.5","5.405748296509"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506067895","925.25","-53.5","5.3627968344482"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506135665","925.25","-53.5","5.405748296509"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506173973","925.25","-53.5","5.31370944923586"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506238585","927.25","-54","4.81056375080937"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506276344","927.25","-53.5","4.86578705917325"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506336896","927.25","-54","4.87805890547634"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506373247","927.25","-54","4.90260259808251"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506435684","925.75","-54","5.27689391032661"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506480341","925.75","-54","5.2032628325081"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506545679","925.75","-54","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506580697","925.75","-54","5.17258321675038"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506635937","923.75","-54","5.85367068657161"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506678785","923.75","-54","5.85980660972315"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506738682","923.75","-54","5.75549591614693"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506770137","923.75","-54","5.66345706887379"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506838573","926.25","-54.5","4.89033075177942"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506868697","926.25","-54.5","4.92714629068868"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506928647","926.25","-55","4.87805890547634"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387506960988","926.25","-54.5","4.97623367590102"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507041807","924.25","-54.5","5.49778714378214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507067585","924.25","-54.5","5.46710752802443"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507134641","924.25","-55","5.42415606596363"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507174729","924.25","-55.5","5.41802014281208"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507244813","924.75","-56","5.28302983347815"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507282222","924.75","-56","5.16644729359884"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507340575","924.75","-56.5","4.9885055222041"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507376609","924.75","-56.5","4.98236959905256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507450963","923.25","-56","5.43642791226671"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507479291","923.25","-56.5","5.3627968344482"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507554302","923.25","-56","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507585085","923.25","-56","5.405748296509"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507645125","922.75","-55.5","5.98866099590554"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507678987","922.75","-54.5","5.982525072754"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507744588","922.75","-52.5","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507777663","922.75","-51.5","6.03161245796634"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507854849","927.75","-51","4.51603943953533"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507880679","927.75","-51","4.48535982377761"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507954592","927.75","-51","4.44240836171682"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387507988340","927.75","-51","4.46081613117144"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508054831","926.75","-51","4.90260259808251"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508090224","926.75","-52","4.93941813699176"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508157225","926.75","-54","4.84124336656708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508180249","926.75","-55","4.87805890547634"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508258304","922.25","-55.5","6.05002022742097"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508296648","922.25","-55.5","5.95798138014783"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508356598","922.25","-56.5","5.84139884026852"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508391239","922.25","-57","5.68186483832841"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508458676","925.25","-57","4.77374821190012"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508489549","925.25","-57","4.93941813699176"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508561500","925.25","-56","5.17871913990192"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508587007","925.25","-56.5","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508654098","927.25","-56","4.93941813699176"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508686736","927.25","-54.5","5.00077736850719"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508756708","927.25","-52","4.97623367590102"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508795891","927.25","-51.5","4.92714629068868"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508869556","925.75","-50.5","5.13576767784113"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508896952","925.75","-51","5.09281621578033"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387508962161","925.75","-50.5","5.15417544729575"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509002476","925.75","-50.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509068256","923.75","-51","5.92730176439012"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509107522","923.75","-52","5.98866099590554"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509163869","923.75","-53.5","6.05002022742097"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509199690","923.75","-55","6.05615615057251"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509264818","926.25","-56","5.30757352608432"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509300812","926.25","-56","5.2032628325081"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509376375","926.25","-56","4.94555406014331"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509400305","926.25","-56","5.00691329165873"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509484363","924.25","-56","5.65732114572224"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509509860","924.25","-56.5","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509583115","924.25","-56","5.83526291711698"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509617076","924.25","-55.5","5.95184545699629"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509673605","924.75","-54.5","6.00093284220863"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509712384","924.75","-53","5.85980660972315"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509765626","924.75","-51.5","5.7800396087531"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509810880","924.75","-50.5","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509872385","923.25","-50.5","5.99479691905709"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509912002","923.25","-50.5","5.91502991808703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387509976875","923.25","-50.5","5.91502991808703"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510012323","923.25","-50.5","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510076519","922.75","-50.5","6.26477753772496"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510118570","922.75","-51.5","0.128854386182394"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510168611","922.75","-52.5","0.208621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510215015","922.75","-54","0.325203927031756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510276547","927.75","-56","5.33211721869049"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510319172","927.75","-56.5","5.19099098620501"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510373193","927.75","-56.5","4.93328221384022"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510406518","927.75","-56","4.68784528777852"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510482065","926.75","-56.5","5.04372883056799"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510524527","926.75","-56","5.18485506305347"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510586452","926.75","-56.5","5.44256383541826"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510616814","926.75","-56.5","5.41802014281208"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510691865","922.25","-54","0.227029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510726067","922.25","-52.5","0.147262155637022"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510784436","922.25","-51","0.0613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510822047","922.25","-50.5","6.24636976827033"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510893764","925.25","-50.5","5.27689391032661"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510929047","925.25","-50.5","5.28302983347815"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387510996355","925.25","-50.5","5.24007837141735"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511020595","925.25","-50.5","5.3198453723874"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511082566","927.25","-51","5.05600067687107"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511126560","927.25","-51.5","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511186758","927.25","-53","5.37506868075129"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511227068","927.25","-54.5","5.45483568172134"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511300365","925.75","-55.5","5.7800396087531"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511320067","925.75","-56","5.74935999299538"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511387720","925.75","-56","5.62664152996453"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511431120","925.75","-56","5.54073860584294"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511491625","923.75","-55.5","6.15433092099719"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511540062","923.75","-56","6.21569015251262"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511591409","923.75","-55.5","6.16660276730028"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511629771","923.75","-56","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511704352","926.25","-55","5.49778714378214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511733591","926.25","-54","5.44256383541826"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511794126","926.25","-52","5.39347645020591"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511840707","926.25","-51","5.38120460390283"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511908764","924.25","-50.5","5.8966221486324"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387511943657","924.25","-50.5","5.85980660972315"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512012996","924.25","-50.5","5.77390368560155"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512043469","924.25","-50.5","5.76776776245001"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512117420","924.75","-51","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512137166","924.75","-51","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512201940","924.75","-52.5","5.65732114572224"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512238240","924.75","-54","5.71868037723767"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512308655","923.25","-55","6.24023384511879"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512347246","923.25","-55.5","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1578387512414347","923.25","-55.5","6.12978722839102"
