"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568573785541","923.75","-51.5","5.8966221486324"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568573810412","923.75","-51.5","5.90275807178395"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568573877452","923.75","-51.5","2.76116541819415"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568573914749","923.75","-51.5","2.74275764873953"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568573980710","926.75","-51.5","1.93281579273591"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574018335","926.75","-52","1.93281579273591"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574085486","926.75","-52","1.89600025382665"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574119594","926.75","-51.5","1.92667986958437"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574180081","922.25","-51.5","0.0490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574221895","922.25","-51.5","0.0490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574283308","922.25","-51.5","0.0797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574310436","922.25","-51.5","0.0797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574378144","927.25","-52","1.76100994449272"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574418869","927.25","-52","1.73646625188655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574482280","927.25","-51.5","1.74873809818963"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574512666","927.25","-52","1.72419440558346"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574584927","925.75","-51.5","2.13530125673681"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574612604","925.75","-51.5","2.14143717988836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574684854","925.75","-51.5","2.11075756413064"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574718844","925.75","-51","2.11075756413064"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574782923","922.75","-51.5","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574813778","922.75","-51","6.14819499784565"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574879736","922.75","-51","6.17273869045182"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574920369","922.75","-51","6.19728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568574982112","926.25","-51.5","2.08007794837293"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575024917","926.25","-51.5","2.08621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575087472","926.25","-51.5","2.1046216409791"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575121366","926.25","-51.5","2.11075756413064"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575191100","927.75","-52","1.76100994449272"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575221567","927.75","-52","1.76100994449272"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575285279","927.75","-52","1.75487402134117"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575321128","927.75","-52.5","1.69965071297729"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575392095","924.75","-52","2.47277703007165"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575425949","924.75","-52","2.46664110692011"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575493322","924.75","-52","2.4359614911624"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575514130","924.75","-52","2.42368964485931"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575593994","925.25","-52","2.16598087249453"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575628440","925.25","-52","2.20279641140378"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575692177","925.25","-51.5","2.23961195031304"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575723161","925.25","-51.5","2.23961195031304"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575788761","923.25","-51.5","5.9395736106932"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575818503","923.25","-51.5","2.82252464970958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575882973","923.25","-51.5","5.97025322645092"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575916497","923.25","-51.5","2.81638872655804"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568575993029","924.25","-51.5","2.53413626158708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576026943","924.25","-51.5","2.52186441528399"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576091739","924.25","-51.5","2.55867995419325"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576127832","924.25","-51.5","2.58322364679942"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576199261","923.75","-51.5","2.74275764873953"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576235438","923.75","-51.5","2.7673013413457"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576292219","923.75","-51.5","2.74889357189107"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576321061","923.75","-51.5","5.89048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576391467","926.75","-52","1.98190317794825"
"E200 9366 C6B6 7BF1 9071 BDEF","1578568576436768","926.75","-51.5","1.92054394643282"
