"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658057723","927.25","-59","4.65102974886926"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658128062","927.25","-59.5","1.5278448647341"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658153013","927.25","-60","1.58920409624952"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658235030","923.75","-60.5","6.00706876536017"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658268664","923.75","-60.5","5.89048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658330350","923.75","-60.5","5.75549591614693"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658362865","923.75","-60","5.75549591614693"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658440070","926.25","-59","1.82236917600814"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658470693","926.25","-59","1.82236917600814"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658534509","926.25","-59.5","1.79168956025043"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658572329","926.25","-59.5","4.95782590644639"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658643964","925.75","-59.5","1.93281579273591"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658676355","925.75","-59","5.05600067687107"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658732117","925.75","-59","5.14803952414421"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658774191","925.75","-58.5","1.89600025382665"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658841498","924.75","-58.5","2.33165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658882706","924.75","-58.5","2.15370902619144"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658941467","924.75","-59.5","2.1046216409791"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962658972672","924.75","-59.5","5.29530167978123"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659050236","923.25","-59.5","5.94570953384475"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659078878","923.25","-60","5.86594253287469"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659143696","923.25","-60.5","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659178549","923.25","-60","5.94570953384475"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659247587","922.25","-60","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659285705","922.25","-59.5","6.24023384511879"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659351969","922.25","-61","6.27704938402804"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659382309","922.25","-61","0.0859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659455097","925.25","-59","5.37506868075129"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659486290","925.25","-59","1.98803910109979"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659551903","925.25","-60.5","5.12349583153804"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659584776","925.25","-60.5","5.18485506305347"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659655328","924.25","-61","5.91502991808703"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659682347","924.25","-60.5","5.89048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659745366","924.25","-60","5.6941366846315"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659792628","924.25","-59.5","5.67572891517687"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659855830","922.75","-60.5","6.20955422936108"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659883651","922.75","-60.5","0.042951462060798"
"E200 9366 C6B6 7BF1 9071 BDEF","1577962659958615","922.75","-60","6.08069984317868"
