"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5A31 9071 BD68","1584861296545905","925.25","-62","1.1750292835204"
"E200 9366 C6B6 5771 9071 BD5D","1584861296549103","925.25","-56","1.36831086279399"
"E200 9366 C6B6 5D71 9071 BD75","1584861296553167","925.25","-62","5.80151533978349"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296556753","925.25","-52","4.73386471141509"
"E200 9366 C6B6 5571 9071 BD55","1584861296560338","925.25","-55","4.05277724159386"
"E200 9366 C6B6 55F1 9071 BD57","1584861296564242","925.25","-59.5","5.99479691905709"
"E200 9366 C6B6 6BF1 9071 BDAF","1584861296567757","925.25","-55.5","0.917320511155613"
"E200 9366 C6B6 5D71 9071 BD75","1584861296576518","925.25","-62","5.92423380281435"
"E200 9366 C6B6 5A31 9071 BD68","1584861296580412","925.25","-62","1.14434966776269"
"E200 9366 C6B6 7371 9071 BDCD","1584861296584100","925.25","-61.5","0.852893318064416"
"E200 9366 C6B6 6BF1 9071 BDAF","1584861296588199","925.25","-56","0.960271973216411"
"E200 9366 C6B6 5571 9071 BD55","1584861296591450","925.25","-55","0.948000126913326"
"E200 9366 C6B6 5771 9071 BD5D","1584861296595065","925.25","-56","4.52217536268687"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296598239","925.25","-52","4.75840840402126"
"E200 9366 C6B6 55F1 9071 BD57","1584861296601335","925.25","-60","5.89969011020818"
"E200 9366 C6B6 5D71 9071 BD75","1584861296641086","925.25","-62.5","5.8966221486324"
"E200 9366 C6B6 5771 9071 BD5D","1584861296644867","925.25","-56","1.4634176716429"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296648426","925.25","-52","4.77374821190012"
"E200 9366 C6B6 6BF1 9071 BDAF","1584861296652928","925.25","-56","4.12947628098815"
"E200 9366 C6B6 5571 9071 BD55","1584861296656355","925.25","-55","4.04970928001809"
"E200 9366 C6B6 5571 9071 BD55","1584861296662252","925.25","-55","0.95720401164064"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296665291","925.25","-52","4.74613655771817"
"E200 9366 C6B6 5D71 9071 BD75","1584861296669491","925.25","-62.5","5.93650564911743"
"E200 9366 C6B6 5771 9071 BD5D","1584861296672893","925.25","-56.5","1.42967009430942"
"E200 9366 C6B6 6BF1 9071 BDAF","1584861296676564","925.25","-56.5","0.98174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296712861","925.25","-52","4.73386471141509"
"E200 9366 C6B6 5D71 9071 BD75","1584861296717406","925.25","-62.5","5.75549591614693"
"E200 9366 C6B6 5571 9071 BD55","1584861296721008","925.25","-55","4.09266074207889"
"E200 9366 C6B6 5771 9071 BD5D","1584861296724498","925.25","-56","4.5835345942023"
"E200 9366 C6B6 6BF1 9071 BDAF","1584861296727615","925.25","-56","0.963339934792183"
"E200 9366 C6B6 55F1 9071 BD57","1584861296731715","925.25","-60","5.97025322645092"
"E200 9366 C6B6 7371 9071 BDCD","1584861296744162","923.75","-61","1.34069920861205"
"E200 9366 C6B6 5A31 9071 BD68","1584861296747990","923.75","-61","4.721592865112"
"E200 9366 C6B6 5D71 9071 BD75","1584861296755787","923.75","-62","6.09603965105754"
"E200 9366 C6B6 5571 9071 BD55","1584861296760120","923.75","-55","4.59887440208115"
"E200 9366 C6B6 55F1 9071 BD57","1584861296763738","923.75","-59","0.113514578303537"
"E200 9366 C6B6 6BF1 9071 BDAF","1584861296767236","923.75","-55.5","1.4634176716429"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296770992","923.75","-51.5","5.14803952414421"
"E200 9366 C6B6 5A31 9071 BD68","1584861296776082","923.75","-61","1.80089344497774"
"E200 9366 C6B6 5771 9071 BD5D","1584861296779505","923.75","-56","5.15417544729575"
"E200 9366 C6B6 5571 9071 BD55","1584861296815383","923.75","-55","4.62035013311155"
"E200 9366 C6B6 7BF1 9071 BDEF","1584861296818807","923.75","-51.5","5.19099098620501"
"E200 9366 C6B6 55F1 9071 BD57","1584861296822496","923.75","-58.5","0.165669925091649"
"E200 9366 C6B6 6571 9071 BD95","1584861296826535","923.75","-63","4.85351521287017"
