"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5D71 9071 BD75","1585210548487683","927.25","-47","4.90567055965828"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548491472","927.25","-47","4.70625305723315"
"E200 9366 C6B6 5D71 9071 BD75","1585210548498271","927.25","-47","4.89953463650674"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548502633","927.25","-47.5","4.69704917250583"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548539355","927.25","-47.5","4.66330159517235"
"E200 9366 C6B6 5D71 9071 BD75","1585210548544144","927.25","-47","4.86271909759748"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548551725","927.25","-47.5","4.66330159517235"
"E200 9366 C6B6 5D71 9071 BD75","1585210548555965","927.25","-47","4.86271909759748"
"E200 9366 C6B6 5D71 9071 BD75","1585210548592414","927.25","-47","4.8504472512944"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548597560","927.25","-47.5","4.66636955674812"
"E200 9366 C6B6 5D71 9071 BD75","1585210548604395","927.25","-47","4.87805890547634"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548608120","927.25","-47.5","4.65102974886926"
"E200 9366 C6B6 5D71 9071 BD75","1585210548645061","927.25","-47","4.83510744341554"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548650369","927.25","-47.5","4.63568994099041"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548657500","927.25","-47.5","4.65409771044504"
"E200 9366 C6B6 5D71 9071 BD75","1585210548660986","927.25","-47","4.84737928971863"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548699102","927.75","-47.5","4.53444720898996"
"E200 9366 C6B6 5D71 9071 BD75","1585210548702255","927.75","-47.5","4.72466082668778"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548711652","927.75","-47.5","4.50069963165647"
"E200 9366 C6B6 5D71 9071 BD75","1585210548714935","927.75","-47.5","4.7430685961424"
"E200 9366 C6B6 5D71 9071 BD75","1585210548751044","927.75","-47.5","4.7645443271728"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548755319","927.75","-47.5","4.54671905529304"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548763280","927.75","-47.5","4.57739867105075"
"E200 9366 C6B6 5D71 9071 BD75","1585210548767316","927.75","-47.5","4.81056375080937"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548804596","927.75","-47.5","4.64182586414195"
"E200 9366 C6B6 5D71 9071 BD75","1585210548808263","927.75","-47.5","4.86885502074902"
"E200 9366 C6B6 5D71 9071 BD75","1585210548815308","927.75","-47.5","4.86271909759748"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548819721","927.75","-47.5","4.65716567202081"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548857444","927.75","-47.5","4.70318509565738"
"E200 9366 C6B6 5D71 9071 BD75","1585210548861711","927.75","-47.5","4.93635017541599"
"E200 9366 C6B6 5D71 9071 BD75","1585210548868312","927.75","-47.5","4.92407832911291"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548872033","927.75","-47.5","4.71545694196046"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548909976","923.75","-47","5.76163183929847"
"E200 9366 C6B6 5D71 9071 BD75","1585210548914043","923.75","-47.5","5.94877749542052"
"E200 9366 C6B6 5D71 9071 BD75","1585210548920878","923.75","-47.5","5.97945711117823"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548924859","923.75","-47","5.76163183929847"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548963508","923.75","-47.5","5.79231145505618"
"E200 9366 C6B6 5D71 9071 BD75","1585210548967374","923.75","-48.5","5.94877749542052"
"E200 9366 C6B6 5D71 9071 BD75","1585210548975011","923.75","-48.5","5.96411730329937"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210548978772","923.75","-47.5","5.83833087869275"
"E200 9366 C6B6 5D71 9071 BD75","1585210549017416","923.75","-49","5.90275807178395"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549021150","923.75","-48","5.84446680184429"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549027624","923.75","-48","5.82912699396544"
"E200 9366 C6B6 5D71 9071 BD75","1585210549031866","923.75","-49.5","5.92116584123858"
"E200 9366 C6B6 5D71 9071 BD75","1585210549071322","923.75","-50","5.84446680184429"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549075510","923.75","-48.5","5.86594253287469"
"E200 9366 C6B6 5D71 9071 BD75","1585210549081876","923.75","-50","5.79537941663195"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549086365","923.75","-48.5","5.89969011020818"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549123713","926.25","-49","5.21246671723541"
"E200 9366 C6B6 5D71 9071 BD75","1585210549128150","926.25","-51.5","4.97930163747679"
"E200 9366 C6B6 5D71 9071 BD75","1585210549134005","926.25","-51.5","4.90260259808251"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549139971","926.25","-49.5","5.19099098620501"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549178214","926.25","-49.5","5.10202010050764"
"E200 9366 C6B6 5D71 9071 BD75","1585210549182082","926.25","-52.5","4.64796178729349"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549188339","926.25","-49.5","5.05600067687107"
"E200 9366 C6B6 5D71 9071 BD75","1585210549192854","926.25","-52.5","4.55899090159613"
"E200 9366 C6B6 5D71 9071 BD75","1585210549228917","926.25","-53","4.19083551250357"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549234346","926.25","-49.5","4.77374821190012"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549240845","926.25","-49.5","4.68170936462698"
"E200 9366 C6B6 5D71 9071 BD75","1585210549246136","926.25","-53.5","3.98835004850267"
"E200 9366 C6B6 5D71 9071 BD75","1585210549282212","926.25","-54","0.325203927031756"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549286683","926.25","-50","1.03083508945915"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549294340","926.25","-50","4.06811704947272"
"E200 9366 C6B6 5D71 9071 BD75","1585210549297888","926.25","-54","0.0613592315154256"
"E200 9366 C6B6 5D71 9071 BD75","1585210549334977","922.25","-53.5","0.585980660972315"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549338919","922.25","-49","4.46695205432299"
"E200 9366 C6B6 5D71 9071 BD75","1585210549345117","922.25","-54","0.337475773334841"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549349184","922.25","-49.5","4.29821416765557"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549387968","922.25","-50","3.6324665057132"
"E200 9366 C6B6 5D71 9071 BD75","1585210549391405","922.25","-55","2.66299064776947"
"E200 9366 C6B6 5D71 9071 BD75","1585210549397258","922.25","-55.5","5.64198133784339"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549403792","922.25","-50.5","0.156466040364335"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549438414","922.25","-51.5","5.76776776245001"
"E200 9366 C6B6 5D71 9071 BD75","1585210549442442","922.25","-57","1.70271867455306"
"E200 9366 C6B6 5D71 9071 BD75","1585210549450867","922.25","-57","1.44807786376405"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549454090","922.25","-52","5.48551529747905"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549491932","922.25","-53","1.60147594255261"
"E200 9366 C6B6 5D71 9071 BD75","1585210549496592","922.25","-58.5","0.493941813699176"
"E200 9366 C6B6 5D71 9071 BD75","1585210549502922","922.25","-58.5","0.386563158547182"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549508060","922.25","-53.5","1.34376717018782"
"E200 9366 C6B6 5D71 9071 BD75","1585210549546218","922.75","-59","5.54687452899448"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549549985","922.75","-55.5","0.426446659032208"
"E200 9366 C6B6 5D71 9071 BD75","1585210549556863","922.75","-59","5.25541817929621"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549561784","922.75","-55.5","0.187145656122048"
"E200 9366 C6B6 5D71 9071 BD75","1585210549599793","922.75","-59","1.37751474752131"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549603150","922.75","-56","5.83526291711698"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549610843","922.75","-56","5.73095222354076"
"E200 9366 C6B6 5D71 9071 BD75","1585210549614671","922.75","-58.5","1.09219432097458"
"E200 9366 C6B6 5D71 9071 BD75","1585210549652733","922.75","-58","0.592116584123857"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549656541","922.75","-56","5.17565117832615"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549664187","922.75","-56","1.90827210012974"
"E200 9366 C6B6 5D71 9071 BD75","1585210549667826","922.75","-58","0.417242774304894"
"E200 9366 C6B6 5D71 9071 BD75","1585210549703506","922.75","-58","6.2494377298461"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549707818","922.75","-55.5","4.6050103252327"
"E200 9366 C6B6 5D71 9071 BD75","1585210549715536","922.75","-57.5","6.16353480572451"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549720361","922.75","-55.5","4.44240836171682"
"E200 9366 C6B6 5D71 9071 BD75","1585210549756857","923.25","-57.5","5.60516579893413"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549762309","923.25","-55.5","3.80734031553216"
"E200 9366 C6B6 5D71 9071 BD75","1585210549770381","923.25","-57.5","5.50392306693368"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549773752","923.25","-55","0.5982525072754"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549810646","923.25","-55","0.196349540849362"
"E200 9366 C6B6 5D71 9071 BD75","1585210549814462","923.25","-57","5.14803952414421"
"E200 9366 C6B6 5D71 9071 BD75","1585210549821189","923.25","-57","5.08974825420456"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549826594","923.25","-55","0.0460194236365692"
"E200 9366 C6B6 5D71 9071 BD75","1585210549861684","923.25","-56.5","4.81056375080937"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549866617","923.25","-55","2.6813984172241"
"E200 9366 C6B6 5D71 9071 BD75","1585210549874213","923.25","-56.5","4.65716567202081"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549877803","923.25","-54.5","5.68186483832841"
"E200 9366 C6B6 5D71 9071 BD75","1585210549914075","923.25","-56.5","1.15968947564154"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210549919179","923.25","-54.5","2.06780610206984"
