"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939345723","922.75","-48.5","1.30081570812702"
"E200 9366 C6B6 65B1 9071 BD96","1584692939349521","922.75","-53","0.779262240245906"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939358392","922.75","-48.5","1.31615551600588"
"E200 9366 C6B6 65B1 9071 BD96","1584692939362251","922.75","-53","0.803805932852076"
"E200 9366 C6B6 5D71 9071 BD75","1584692939365943","922.75","-50","5.7156124156619"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939401013","922.75","-48.5","1.32229143915742"
"E200 9366 C6B6 5D71 9071 BD75","1584692939405232","922.75","-50","5.70027260778304"
"E200 9366 C6B6 65B1 9071 BD96","1584692939409494","922.75","-53","0.800737971276305"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939416949","922.75","-48.5","1.31001959285434"
"E200 9366 C6B6 5D71 9071 BD75","1584692939421570","922.75","-50","5.69106872305573"
"E200 9366 C6B6 65B1 9071 BD96","1584692939425027","922.75","-53","0.776194278670134"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939462226","922.75","-48.5","1.33456328546051"
"E200 9366 C6B6 5D71 9071 BD75","1584692939466061","922.75","-50","5.68800076147996"
"E200 9366 C6B6 65B1 9071 BD96","1584692939469725","922.75","-53","0.797670009700533"
"E200 9366 C6B6 65B1 9071 BD96","1584692939474986","922.75","-53.5","3.91778693225993"
"E200 9366 C6B6 5D71 9071 BD75","1584692939479321","922.75","-50.5","5.6941366846315"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939482726","922.75","-48.5","1.32229143915742"
"E200 9366 C6B6 5D71 9071 BD75","1584692939519198","922.75","-50.5","5.67879687675264"
"E200 9366 C6B6 65B1 9071 BD96","1584692939523099","922.75","-53.5","0.770058355518592"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939528003","922.75","-48.5","1.32535940073319"
"E200 9366 C6B6 5D71 9071 BD75","1584692939533846","922.75","-50.5","5.67572891517687"
"E200 9366 C6B6 65B1 9071 BD96","1584692939545105","927.25","-54.5","5.65732114572224"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939549289","927.25","-49","0.0797670009700533"
"E200 9366 C6B6 65B1 9071 BD96","1584692939586841","927.25","-54.5","5.6511852225707"
"E200 9366 C6B6 5D71 9071 BD75","1584692939590686","927.25","-51","0.546097160487288"
"E200 9366 C6B6 7BF1 9071 BDEF","1584692939594446","927.25","-49","0.0705631162427395"
