"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5D71 9071 BD75","1585209569096320","923.25","-43","2.74275764873953"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569101338","923.25","-39.5","2.10155367940333"
"E200 9366 C6B6 5D71 9071 BD75","1585209569106613","923.25","-43","2.73355376401221"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569112157","923.25","-39.5","2.11382552570641"
"E200 9366 C6B6 5D71 9071 BD75","1585209569149493","923.25","-43","2.71821395613336"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569153236","923.25","-39.5","5.25235021772044"
"E200 9366 C6B6 5D71 9071 BD75","1585209569159093","923.25","-43","2.71821395613336"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569163321","923.25","-39.5","2.09541775625179"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569201018","923.25","-39.5","2.09848571782756"
"E200 9366 C6B6 5D71 9071 BD75","1585209569205940","923.25","-43","5.84446680184429"
"E200 9366 C6B6 5D71 9071 BD75","1585209569212562","923.25","-43","2.71207803298181"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569217391","923.25","-39.5","2.09234979467601"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569255129","923.25","-39.5","2.07087406364562"
"E200 9366 C6B6 5D71 9071 BD75","1585209569258590","923.25","-43.5","5.82605903238967"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569265983","923.25","-39.5","2.06780610206984"
"E200 9366 C6B6 5D71 9071 BD75","1585209569269648","923.25","-43.5","5.81992310923812"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569305711","925.25","-40","1.44500990218827"
"E200 9366 C6B6 5D71 9071 BD75","1585209569309703","925.25","-43.5","2.08621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569319030","925.25","-40","1.41433028643056"
"E200 9366 C6B6 5D71 9071 BD75","1585209569322917","925.25","-43.5","2.08621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569357959","925.25","-40","1.39285455540016"
"E200 9366 C6B6 5D71 9071 BD75","1585209569363850","925.25","-44","2.03099056316059"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569372055","925.25","-40","1.37444678594553"
"E200 9366 C6B6 5D71 9071 BD75","1585209569375538","925.25","-44","2.00031094740288"
"E200 9366 C6B6 5D71 9071 BD75","1585209569412095","925.25","-44","1.93588375431168"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569416002","925.25","-40","1.2824079386724"
"E200 9366 C6B6 5D71 9071 BD75","1585209569425106","925.25","-44","1.9021361769782"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569428857","925.25","-40.5","1.26706813079354"
"E200 9366 C6B6 5D71 9071 BD75","1585209569465046","925.25","-44","1.8591847149174"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569469779","925.25","-40.5","1.22411666873274"
"E200 9366 C6B6 5D71 9071 BD75","1585209569476413","925.25","-44.5","1.83157306073546"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569481348","925.25","-40.5","1.20264093770234"
"E200 9366 C6B6 5D71 9071 BD75","1585209569517171","924.25","-44.5","2.03099056316059"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569522724","924.25","-40.5","1.43580601746096"
"E200 9366 C6B6 5D71 9071 BD75","1585209569529923","924.25","-44.5","2.0187187168575"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569533639","924.25","-40.5","1.42660213273365"
"E200 9366 C6B6 5D71 9071 BD75","1585209569570900","924.25","-44.5","1.95122356219054"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569575773","924.25","-40.5","1.38978659382439"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209569582344","924.25","-41","1.35603901649091"
"E200 9366 C6B6 5D71 9071 BD75","1585209569587684","924.25","-44.5","1.92361190800859"
"E200 9366 C6B6 5D71 9071 BD75","1585209569622753","924.25","-45","1.86225267649317"
