"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 6C31 9071 BDB0","1584859024804872","923.75","-61.5","4.45161224644413"
"E200 9366 C6B6 63B1 9071 BD8E","1584859024808585","923.75","-62.5","0.892776818549443"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859024812388","923.75","-52.5","1.63522351988609"
"E200 9366 C6B6 6571 9071 BD95","1584859024816234","923.75","-60.5","4.86271909759748"
"E200 9366 C6B6 55F1 9071 BD57","1584859024820340","923.75","-56.5","2.22120418085841"
"E200 9366 C6B6 6C31 9071 BDB0","1584859024825895","923.75","-61.5","4.50069963165647"
"E200 9366 C6B6 55F1 9071 BD57","1584859024829502","923.75","-56.5","5.31677741081163"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859024833323","923.75","-59","4.98236959905256"
"E200 9366 C6B6 6571 9071 BD95","1584859024837144","923.75","-60.5","1.65056332776495"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859024841047","923.75","-52.5","1.61988371200724"
"E200 9366 C6B6 6C31 9071 BDB0","1584859024877514","923.75","-61","1.51250505685524"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859024882012","923.75","-52.5","1.61067982727992"
"E200 9366 C6B6 6C31 9071 BDB0","1584859024887992","923.75","-60.5","4.7001171340816"
"E200 9366 C6B6 63B1 9071 BD8E","1584859024892833","923.75","-61.5","1.08912635939881"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859024896788","923.75","-52","1.62908759673455"
"E200 9366 C6B6 65B1 9071 BD96","1584859024932357","923.75","-60","5.66345706887379"
"E200 9366 C6B6 63B1 9071 BD8E","1584859024937061","923.75","-61","1.47875747952176"
"E200 9366 C6B6 6C31 9071 BDB0","1584859024940601","923.75","-60","4.96702979117371"
"E200 9366 C6B6 55F1 9071 BD57","1584859024944070","923.75","-57","5.41495218123631"
"E200 9366 C6B6 6571 9071 BD95","1584859024947882","923.75","-62","5.40881625808477"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859024951229","923.75","-52","1.62908759673455"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859024956406","923.75","-52","1.61988371200724"
"E200 9366 C6B6 55F1 9071 BD57","1584859024961561","923.75","-57","5.50085510535791"
"E200 9366 C6B6 6C31 9071 BDB0","1584859024965058","923.75","-60","4.98543756062833"
"E200 9366 C6B6 63B1 9071 BD8E","1584859024969109","923.75","-60.5","1.65669925091649"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859025010445","922.75","-62.5","6.14512703626988"
"E200 9366 C6B6 5D71 9071 BD75","1584859025014437","922.75","-59.5","0.279184503395187"
"E200 9366 C6B6 63B1 9071 BD8E","1584859025018347","922.75","-60.5","5.28916575662969"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859025021951","922.75","-52","1.92361190800859"
"E200 9366 C6B6 55F1 9071 BD57","1584859025025606","922.75","-57.5","5.6726609536011"
"E200 9366 C6B6 6C31 9071 BDB0","1584859025028973","922.75","-61","5.39040848863014"
"E200 9366 C6B6 55F1 9071 BD57","1584859025036036","922.75","-57.5","5.68800076147996"
"E200 9366 C6B6 5D71 9071 BD75","1584859025040069","922.75","-59","3.40850531068189"
"E200 9366 C6B6 65B1 9071 BD96","1584859025043520","922.75","-60","5.77390368560155"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859025046944","922.75","-52","1.92974783116014"
"E200 9366 C6B6 65B1 9071 BD96","1584859025082535","922.75","-60.5","5.81685514766235"
"E200 9366 C6B6 5D71 9071 BD75","1584859025086386","922.75","-59","0.236233041334389"
"E200 9366 C6B6 55F1 9071 BD57","1584859025090850","922.75","-57","5.5867580294795"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859025094563","922.75","-52","1.90827210012974"
"E200 9366 C6B6 6C31 9071 BDB0","1584859025100743","922.75","-60.5","2.09848571782756"
"E200 9366 C6B6 5D71 9071 BD75","1584859025104780","922.75","-59","0.131922347758165"
