"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5D71 9071 BD75","1585209794706953","924.75","-47","5.74935999299538"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794715803","924.75","-47","5.50699102850945"
"E200 9366 C6B6 5D71 9071 BD75","1585209794719489","924.75","-47","5.73402018511653"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794756479","924.75","-47","5.54994249057025"
"E200 9366 C6B6 5D71 9071 BD75","1585209794760517","924.75","-47","2.57095180049633"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794767333","924.75","-47","2.414485760132"
"E200 9366 C6B6 5D71 9071 BD75","1585209794771711","924.75","-47","2.58015568522365"
"E200 9366 C6B6 5D71 9071 BD75","1585209794810155","924.75","-47","5.72174833881344"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794813727","924.75","-47","5.57141822160065"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794821842","924.75","-47","2.45130129904125"
"E200 9366 C6B6 5D71 9071 BD75","1585209794825657","924.75","-47","2.58322364679942"
"E200 9366 C6B6 5D71 9071 BD75","1585209794862984","924.75","-47","2.58629160837519"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794866709","924.75","-47.5","5.59596191420682"
"E200 9366 C6B6 5D71 9071 BD75","1585209794873841","924.75","-47","2.60776733940559"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794878714","924.75","-47.5","2.48198091479897"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794915865","925.75","-47.5","2.16291291091875"
"E200 9366 C6B6 5D71 9071 BD75","1585209794919125","925.75","-47","5.45483568172134"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794925964","925.75","-47.5","2.15064106461567"
"E200 9366 C6B6 5D71 9071 BD75","1585209794929999","925.75","-47","2.33165079758617"
"E200 9366 C6B6 5D71 9071 BD75","1585209794967332","925.75","-47","2.33165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794971565","925.75","-47.5","2.12916533358527"
"E200 9366 C6B6 5D71 9071 BD75","1585209794979299","925.75","-47","2.31324302813155"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209794983397","925.75","-47.5","2.08928183310024"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795019077","925.75","-47.5","2.09234979467601"
"E200 9366 C6B6 5D71 9071 BD75","1585209795023830","925.75","-47","2.30403914340423"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795030646","925.75","-47.5","2.08007794837293"
"E200 9366 C6B6 5D71 9071 BD75","1585209795033786","925.75","-47","2.30097118182846"
"E200 9366 C6B6 5D71 9071 BD75","1585209795073154","925.75","-47","2.30403914340423"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795076725","925.75","-47.5","2.0616701789183"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795083734","925.75","-47.5","2.0616701789183"
"E200 9366 C6B6 5D71 9071 BD75","1585209795087386","925.75","-47","5.43029198911517"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795126907","926.75","-47","1.74873809818963"
"E200 9366 C6B6 5D71 9071 BD75","1585209795130221","926.75","-47","2.07700998679716"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795137585","926.75","-47","1.75487402134117"
"E200 9366 C6B6 5D71 9071 BD75","1585209795141050","926.75","-47","2.0616701789183"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795177096","926.75","-47","1.71192255928038"
"E200 9366 C6B6 5D71 9071 BD75","1585209795182037","926.75","-47","2.09234979467601"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795188715","926.75","-47","1.72726236715923"
"E200 9366 C6B6 5D71 9071 BD75","1585209795192528","926.75","-47","5.22473856353849"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795232475","926.75","-47.5","1.68124294352266"
"E200 9366 C6B6 5D71 9071 BD75","1585209795235754","926.75","-47","2.21200029613109"
"E200 9366 C6B6 5D71 9071 BD75","1585209795241578","926.75","-47","2.25495175819189"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795246673","926.75","-47.5","1.75487402134117"
"E200 9366 C6B6 5D71 9071 BD75","1585209795282985","926.75","-47.5","2.65378676304216"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795287525","926.75","-47.5","2.20893233455532"
"E200 9366 C6B6 5D71 9071 BD75","1585209795296649","926.75","-48","5.99172895748131"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795300402","926.75","-47.5","2.35926245176812"
"E200 9366 C6B6 5D71 9071 BD75","1585209795336151","927.25","-48","0.300660234425586"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795340598","927.25","-48.5","5.9395736106932"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795346649","927.25","-48.5","6.03161245796634"
"E200 9366 C6B6 5D71 9071 BD75","1585209795352865","927.25","-48.5","0.619728238305799"
"E200 9366 C6B6 5D71 9071 BD75","1585209795389108","927.25","-48.5","4.44240836171682"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795393406","927.25","-49.5","3.71836942983479"
"E200 9366 C6B6 5D71 9071 BD75","1585209795400224","927.25","-48","4.69398121093006"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795403416","927.25","-49.5","3.9638063558965"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795442700","927.25","-47.5","4.95168998329485"
"E200 9366 C6B6 5D71 9071 BD75","1585209795446539","927.25","-47.5","5.58369006790373"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795453745","927.25","-47.5","5.14803952414421"
"E200 9366 C6B6 5D71 9071 BD75","1585209795458361","927.25","-47","5.78310757032887"
"E200 9366 C6B6 5D71 9071 BD75","1585209795495645","927.25","-46","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795499998","927.25","-45.5","5.83219495554121"
"E200 9366 C6B6 5D71 9071 BD75","1585209795507137","927.25","-46","0.187145656122048"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795510538","927.25","-45","5.93650564911743"
"E200 9366 C6B6 5D71 9071 BD75","1585209795549103","927.75","-45.5","0.322135965455985"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795552881","927.75","-44","6.01934061166326"
"E200 9366 C6B6 5D71 9071 BD75","1585209795558059","927.75","-45.5","0.331339850183298"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795563738","927.75","-44","5.99479691905709"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795601245","927.75","-45","5.82299107081389"
"E200 9366 C6B6 5D71 9071 BD75","1585209795604379","927.75","-46","0.116582539879309"
"E200 9366 C6B6 5D71 9071 BD75","1585209795612130","927.75","-46","0.042951462060798"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795616772","927.75","-45.5","5.6941366846315"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795652560","927.75","-47","5.20633079408387"
"E200 9366 C6B6 5D71 9071 BD75","1585209795657512","927.75","-47","5.68493279990419"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795664520","927.75","-47","4.99770940693142"
"E200 9366 C6B6 5D71 9071 BD75","1585209795668534","927.75","-47.5","5.52233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795707407","927.75","-49","0.794602048124762"
"E200 9366 C6B6 5D71 9071 BD75","1585209795711247","927.75","-48","4.55592294002035"
"E200 9366 C6B6 5D71 9071 BD75","1585209795717211","927.75","-48.5","4.4332044769895"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795722594","927.75","-49","0.331339850183298"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795759210","923.75","-48","3.71836942983479"
"E200 9366 C6B6 5D71 9071 BD75","1585209795762873","923.75","-47.5","4.2092432819582"
"E200 9366 C6B6 5D71 9071 BD75","1585209795770317","923.75","-47.5","4.00982577953307"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795774784","923.75","-47.5","0.196349540849362"
"E200 9366 C6B6 5D71 9071 BD75","1585209795811396","923.75","-47","5.84139884026852"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795815797","923.75","-47","2.20893233455532"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795822083","923.75","-47","2.06780610206984"
"E200 9366 C6B6 5D71 9071 BD75","1585209795825368","923.75","-47","2.38073818279852"
"E200 9366 C6B6 5D71 9071 BD75","1585209795862842","923.75","-47.5","1.92054394643282"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795868104","923.75","-47.5","1.43887397903673"
"E200 9366 C6B6 5D71 9071 BD75","1585209795875180","923.75","-47.5","1.91440802328128"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795879111","923.75","-47.5","1.39592251697593"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795917553","923.75","-47","1.66590313564381"
"E200 9366 C6B6 5D71 9071 BD75","1585209795921193","923.75","-47.5","2.1905245651007"
"E200 9366 C6B6 5D71 9071 BD75","1585209795927269","923.75","-47.5","2.26108768134344"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795932854","923.75","-47","1.93281579273591"
"E200 9366 C6B6 5D71 9071 BD75","1585209795970499","926.25","-48","2.63537899358753"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795974251","926.25","-47.5","2.23347602716149"
"E200 9366 C6B6 5D71 9071 BD75","1585209795981078","926.25","-48","2.9483110743162"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209795985163","926.25","-47.5","5.68800076147996"
"E200 9366 C6B6 5D71 9071 BD75","1585209796021305","926.25","-48.5","4.23992289771591"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209796025465","926.25","-49","3.51588396583389"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209796033188","926.25","-49","3.71836942983479"
"E200 9366 C6B6 5D71 9071 BD75","1585209796038340","926.25","-48.5","4.66023363359658"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209796075087","926.25","-48","5.15417544729575"
"E200 9366 C6B6 5D71 9071 BD75","1585209796078720","926.25","-48","5.7370881466923"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209796087776","926.25","-47","5.51005899008522"
"E200 9366 C6B6 5D71 9071 BD75","1585209796091576","926.25","-47.5","6.09603965105754"
"E200 9366 C6B6 5D71 9071 BD75","1585209796129638","926.25","-46","0.785398163397448"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209796133542","926.25","-43.5","0.276116541819415"
"E200 9366 C6B6 5D71 9071 BD75","1585209796141311","926.25","-45.5","1.05537878206532"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209796145049","926.25","-42.5","0.487805890547634"
