"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 55F1 9071 BD57","1584859343305237","923.75","-57","2.16291291091875"
"E200 9366 C6B6 5D71 9071 BD75","1584859343313923","923.75","-60","0.021475731030399"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343317694","923.75","-55","4.02516558741192"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343323807","923.75","-55","0.929592357458699"
"E200 9366 C6B6 55F1 9071 BD57","1584859343327859","923.75","-57.5","5.35359294972089"
"E200 9366 C6B6 5D71 9071 BD75","1584859343332282","923.75","-60.5","6.26170957614919"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343368536","923.75","-55","3.99141801007844"
"E200 9366 C6B6 65B1 9071 BD96","1584859343372561","923.75","-60.5","5.97332118802669"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343376442","923.75","-61","1.07071858994418"
"E200 9366 C6B6 55F1 9071 BD57","1584859343380084","923.75","-57.5","5.31370944923586"
"E200 9366 C6B6 5D71 9071 BD75","1584859343383537","923.75","-60.5","0.0828349625458246"
"E200 9366 C6B6 6571 9071 BD95","1584859343386792","923.75","-62","1.73646625188655"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343392316","923.75","-55","0.929592357458699"
"E200 9366 C6B6 65B1 9071 BD96","1584859343396867","923.75","-60.5","5.95798138014783"
"E200 9366 C6B6 55F1 9071 BD57","1584859343401111","923.75","-57.5","5.39654441178169"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343438750","923.75","-55","0.951068088489098"
"E200 9366 C6B6 55F1 9071 BD57","1584859343442458","923.75","-57.5","2.10155367940333"
"E200 9366 C6B6 65B1 9071 BD96","1584859343446484","923.75","-60.5","5.97945711117823"
"E200 9366 C6B6 6571 9071 BD95","1584859343451880","923.75","-62.5","5.03759290741645"
"E200 9366 C6B6 5D71 9071 BD75","1584859343456285","923.75","-60.5","6.27398142245227"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343459775","923.75","-61","1.14128170618692"
"E200 9366 C6B6 65B1 9071 BD96","1584859343463803","923.75","-60.5","5.9180978796628"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343467554","923.75","-55","4.01902966426038"
"E200 9366 C6B6 55F1 9071 BD57","1584859343470630","923.75","-57.5","2.18745660352492"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343505916","922.75","-60.5","1.30388366970279"
"E200 9366 C6B6 55F1 9071 BD57","1584859343511308","922.75","-57.5","2.42675760643508"
"E200 9366 C6B6 65B1 9071 BD96","1584859343514957","922.75","-60.5","6.18807849833068"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343518710","922.75","-55","4.26753455189785"
"E200 9366 C6B6 5D71 9071 BD75","1584859343522744","922.75","-60","0.227029156607075"
"E200 9366 C6B6 6571 9071 BD95","1584859343526052","922.75","-62.5","5.27996187190238"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343535533","922.75","-60.5","1.37444678594553"
"E200 9366 C6B6 5D71 9071 BD75","1584859343539745","922.75","-60.5","0.248504887637474"
"E200 9366 C6B6 55F1 9071 BD57","1584859343543544","922.75","-57.5","5.59289395263105"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343547067","922.75","-55","1.17809724509617"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343582760","922.75","-60.5","1.57386428837067"
"E200 9366 C6B6 5D71 9071 BD75","1584859343586452","922.75","-60","0.273048580243644"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343591050","922.75","-55","4.26753455189785"
"E200 9366 C6B6 55F1 9071 BD57","1584859343594544","922.75","-57.5","5.52233083638831"
"E200 9366 C6B6 5D71 9071 BD75","1584859343601091","922.75","-60.5","0.211689348728218"
"E200 9366 C6B6 55F1 9071 BD57","1584859343604546","922.75","-57.5","5.59289395263105"
"E200 9366 C6B6 6571 9071 BD95","1584859343609156","922.75","-62.5","5.35972887287243"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343613070","922.75","-55","4.32582582183751"
"E200 9366 C6B6 65B1 9071 BD96","1584859343616158","922.75","-60.5","6.16660276730028"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343619338","922.75","-60.5","1.40512640170325"
"E200 9366 C6B6 65B1 9071 BD96","1584859343654749","922.75","-61","6.11444742051217"
"E200 9366 C6B6 5D71 9071 BD75","1584859343658975","922.75","-60","0.147262155637022"
"E200 9366 C6B6 6571 9071 BD95","1584859343662633","922.75","-63","2.04633037103945"
"E200 9366 C6B6 55F1 9071 BD57","1584859343666254","922.75","-57.5","5.6726609536011"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343670196","922.75","-55","4.29514620607979"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343673186","922.75","-60.5","1.47875747952176"
"E200 9366 C6B6 6BF1 9071 BDAF","1584859343679376","922.75","-60.5","1.42660213273365"
"E200 9366 C6B6 65B1 9071 BD96","1584859343683687","922.75","-61","6.12365130523948"
"E200 9366 C6B6 7BF1 9071 BDEF","1584859343687436","922.75","-55","1.13514578303537"
"E200 9366 C6B6 5D71 9071 BD75","1584859343691152","922.75","-60.5","0.223961195031304"
