"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5D71 9071 BD75","1585210375216646","925.25","-44.5","5.95798138014783"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375220249","925.25","-48.5","5.05906863844684"
"E200 9366 C6B6 5D71 9071 BD75","1585210375228962","925.25","-44.5","5.97638914960246"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375232150","925.25","-48.5","5.00691329165873"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375268504","925.25","-48.5","5.08668029262879"
"E200 9366 C6B6 5D71 9071 BD75","1585210375273332","925.25","-45","5.95491341857206"
"E200 9366 C6B6 5D71 9071 BD75","1585210375282311","925.25","-45","5.97945711117823"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375286046","925.25","-49","5.06520456159839"
"E200 9366 C6B6 5D71 9071 BD75","1585210375324011","925.25","-45","5.97332118802669"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375327933","925.25","-49","5.07134048474993"
"E200 9366 C6B6 5D71 9071 BD75","1585210375333035","925.25","-45","5.97332118802669"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375337546","925.25","-49","5.08054436947724"
"E200 9366 C6B6 5D71 9071 BD75","1585210375375643","925.25","-45","5.96718526487514"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375380183","925.25","-49","5.07747640790147"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375385941","925.25","-49","5.05906863844684"
"E200 9366 C6B6 5D71 9071 BD75","1585210375390732","925.25","-45","6.00093284220863"
"E200 9366 C6B6 5D71 9071 BD75","1585210375428816","924.25","-44.5","6.23716588354302"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375432427","924.25","-49","5.3413211034178"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375438285","924.25","-49","5.3842725654786"
"E200 9366 C6B6 5D71 9071 BD75","1585210375444009","924.25","-45","6.24023384511879"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375481099","924.25","-48.5","5.30450556450855"
"E200 9366 C6B6 5D71 9071 BD75","1585210375485564","924.25","-45","6.23102996039147"
"E200 9366 C6B6 5D71 9071 BD75","1585210375494605","924.25","-45","6.24330180669456"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375498376","924.25","-49","5.32291333396318"
"E200 9366 C6B6 5D71 9071 BD75","1585210375534747","924.25","-44.5","6.2279619988157"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375539664","924.25","-48.5","5.35972887287243"
"E200 9366 C6B6 5D71 9071 BD75","1585210375546104","924.25","-45","6.24330180669456"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375550448","924.25","-48.5","5.33825314184203"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375587249","924.25","-49","5.35666091129666"
"E200 9366 C6B6 5D71 9071 BD75","1585210375591855","924.25","-45","6.25250569142187"
"E200 9366 C6B6 5D71 9071 BD75","1585210375597362","924.25","-45","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375601646","924.25","-49","5.35359294972089"
"E200 9366 C6B6 5D71 9071 BD75","1585210375640367","924.75","-45","6.10831149736062"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375645302","924.75","-49","5.14190360099267"
"E200 9366 C6B6 5D71 9071 BD75","1585210375653232","924.75","-45","6.08683576633022"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375656798","924.75","-49","5.08668029262879"
"E200 9366 C6B6 5D71 9071 BD75","1585210375693015","924.75","-45","6.10524353578485"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375698873","924.75","-48.5","5.08054436947724"
"E200 9366 C6B6 5D71 9071 BD75","1585210375706031","924.75","-45","6.11137945893639"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375709593","924.75","-48.5","5.13269971626536"
"E200 9366 C6B6 5D71 9071 BD75","1585210375747375","924.75","-45","6.12058334366371"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375750932","924.75","-48.5","5.20633079408387"
"E200 9366 C6B6 7BF1 9071 BDEF","1585210375757361","924.75","-49","5.22780652511427"
"E200 9366 C6B6 5D71 9071 BD75","1585210375762482","924.75","-45","6.12671926681525"
"E200 9366 C6B6 5D71 9071 BD75","1585210375799523","924.75","-45","6.13285518996679"
