"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5D71 9071 BD75","1584858471166587","927.25","-58.5","1.68737886667421"
"E200 9366 C6B6 65B1 9071 BD96","1584858471170976","927.25","-59","0.285320426546729"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471174669","927.25","-59.5","1.33149532388474"
"E200 9366 C6B6 55F1 9071 BD57","1584858471182828","927.25","-57","0.0276116541819415"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471186669","927.25","-59.5","1.23638851503583"
"E200 9366 C6B6 6571 9071 BD95","1584858471190480","927.25","-61","1.21184482242966"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471193852","927.25","-54.5","0.196349540849362"
"E200 9366 C6B6 65B1 9071 BD96","1584858471199756","927.25","-59.5","0.411106851153352"
"E200 9366 C6B6 5D71 9071 BD75","1584858471203226","927.25","-58.5","1.61681575043147"
"E200 9366 C6B6 65B1 9071 BD96","1584858471238735","927.25","-59.5","0.322135965455985"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471242818","927.25","-59.5","1.28547590024817"
"E200 9366 C6B6 5D71 9071 BD75","1584858471246846","927.25","-58.5","4.77068025032434"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471250625","927.25","-54.5","3.3440781175907"
"E200 9366 C6B6 55F1 9071 BD57","1584858471254496","927.25","-56.5","0.0859029241215959"
"E200 9366 C6B6 6571 9071 BD95","1584858471257778","927.25","-61","1.28547590024817"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471264345","927.25","-54.5","0.150330117212793"
"E200 9366 C6B6 5D71 9071 BD75","1584858471268442","927.25","-58.5","4.85658317444594"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471271737","927.25","-59.5","1.27627201552085"
"E200 9366 C6B6 6571 9071 BD95","1584858471275784","927.25","-61","4.42706855383796"
"E200 9366 C6B6 55F1 9071 BD57","1584858471279685","927.25","-57","0.0674951546669682"
"E200 9366 C6B6 65B1 9071 BD96","1584858471283161","927.25","-59.5","0.414174812729123"
"E200 9366 C6B6 6571 9071 BD95","1584858471318472","927.25","-61","1.27013609236931"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471322886","927.25","-59.5","1.37751474752131"
"E200 9366 C6B6 55F1 9071 BD57","1584858471328416","927.25","-57","0.0859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471331965","927.25","-55","0.181009732970506"
"E200 9366 C6B6 65B1 9071 BD96","1584858471335689","927.25","-59.5","0.395767043274495"
"E200 9366 C6B6 5D71 9071 BD75","1584858471339170","927.25","-59","1.60761186570415"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471344833","927.25","-54.5","0.153398078788564"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471348663","927.25","-59.5","1.30388366970279"
"E200 9366 C6B6 55F1 9071 BD57","1584858471352881","927.25","-57","0.0337475773334841"
"E200 9366 C6B6 65B1 9071 BD96","1584858471367405","925.25","-59","4.00368985638152"
"E200 9366 C6B6 65B1 9071 BD96","1584858471404272","925.25","-58.5","4.09879666523043"
"E200 9366 C6B6 55F1 9071 BD57","1584858471409091","925.25","-56.5","0.585980660972315"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471412619","925.25","-54","0.720970970306251"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471415935","925.25","-60","1.87759248437202"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471421234","925.25","-60","5.07134048474993"
"E200 9366 C6B6 65B1 9071 BD96","1584858471428221","925.25","-58.5","0.95720401164064"
"E200 9366 C6B6 55F1 9071 BD57","1584858471431900","925.25","-56.5","0.533825314184203"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471435448","925.25","-54.5","0.699495239275852"
"E200 9366 C6B6 6571 9071 BD95","1584858471439019","925.25","-61","1.94201967746322"
"E200 9366 C6B6 5D71 9071 BD75","1584858471442471","925.25","-58.5","2.18438864194915"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471479364","925.25","-54","0.724038931882023"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471483263","925.25","-60","1.91747598485705"
"E200 9366 C6B6 65B1 9071 BD96","1584858471486752","925.25","-59","4.13254424256392"
"E200 9366 C6B6 5D71 9071 BD75","1584858471490611","925.25","-58","2.17825271879761"
"E200 9366 C6B6 55F1 9071 BD57","1584858471494083","925.25","-56.5","0.62279619988157"
"E200 9366 C6B6 6571 9071 BD95","1584858471497351","925.25","-61.5","1.82850509915968"
"E200 9366 C6B6 6BF1 9071 BDAF","1584858471502731","925.25","-60","1.88679636909934"
"E200 9366 C6B6 7BF1 9071 BDEF","1584858471506305","925.25","-54.5","0.720970970306251"
