"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5D71 9071 BD75","1585209280324907","922.25","-47.5","4.09572870365466"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280330749","922.25","-47","3.88097139335067"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280336520","922.25","-47","3.91471897068416"
"E200 9366 C6B6 5D71 9071 BD75","1585209280341254","922.25","-47.5","4.07732093420003"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280377959","922.25","-47","0.751650586063964"
"E200 9366 C6B6 5D71 9071 BD75","1585209280383637","922.25","-47.5","0.972543819519497"
"E200 9366 C6B6 5D71 9071 BD75","1585209280389953","922.25","-47.5","4.08959278050312"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280393324","922.25","-47","3.89631120122953"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280432377","922.25","-47","3.91778693225993"
"E200 9366 C6B6 5D71 9071 BD75","1585209280435867","922.25","-47.5","4.09266074207889"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280442277","922.25","-47","3.92699081698724"
"E200 9366 C6B6 5D71 9071 BD75","1585209280445603","922.25","-47.5","4.08959278050312"
"E200 9366 C6B6 5D71 9071 BD75","1585209280484649","922.25","-47.5","4.12027239626083"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280488956","922.25","-47","3.90551508595684"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280495813","922.25","-47","3.8993791628053"
"E200 9366 C6B6 5D71 9071 BD75","1585209280499639","922.25","-47.5","4.10800054995775"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280536636","922.75","-47","3.77666069977445"
"E200 9366 C6B6 5D71 9071 BD75","1585209280541226","922.75","-47.5","3.9852820869269"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280548997","922.75","-47","0.628932123033113"
"E200 9366 C6B6 5D71 9071 BD75","1585209280552462","922.75","-47.5","3.95460247116918"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280589941","922.75","-47","3.77052477662291"
"E200 9366 C6B6 5D71 9071 BD75","1585209280594006","922.75","-47.5","3.97914616377535"
"E200 9366 C6B6 5D71 9071 BD75","1585209280602649","922.75","-47.5","3.95460247116918"
"E200 9366 C6B6 7BF1 9071 BDEF","1585209280606197","922.75","-47","3.77666069977445"
"E200 9366 C6B6 5D71 9071 BD75","1585209280643618","922.75","-47.5","3.97914616377535"
