"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804135263","926.25","-49.5","3.49747619637926"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804210094","926.25","-49.5","3.54042765844006"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804346303","927.25","-49.5","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804406543","927.25","-49.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804534219","923.75","-49.5","4.24605882086745"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804603899","923.75","-49.5","4.27673843662517"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804706199","927.75","-50","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804759633","927.75","-50","6.22182607566416"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804928452","922.75","-49","4.51603943953533"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765804997758","922.75","-49","4.55285497844458"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805155199","922.25","-49","4.69398121093006"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805226342","922.25","-49","4.71238898038469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805331936","925.75","-49.5","0.589048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805381823","925.75","-49.5","3.69996166038017"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805529522","926.75","-49.5","0.26384469551633"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805586275","926.75","-49.5","3.35634996389378"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805733020","923.25","-49.5","4.44854428486836"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805820018","923.25","-49.5","4.43013651541373"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765805964994","925.25","-49.5","3.8779034317749"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806025275","925.25","-49.5","3.8349519697141"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806182940","924.75","-49.5","4.00062189480575"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806237970","924.75","-49.5","3.99448597165421"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806348953","924.25","-49.5","4.13561220413969"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806427696","924.25","-49.5","4.18469958935203"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806547723","926.25","-49.5","3.53429173528852"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806599304","926.25","-49.5","3.54042765844006"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806772353","927.25","-50","0.104310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806829153","927.25","-50","0.134990309333936"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765806999987","923.75","-49.5","4.31968989868597"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807063660","923.75","-49.5","4.24605882086745"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807225308","927.75","-50","6.25864161457342"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807262362","927.75","-50","6.2709134608765"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807442581","922.75","-49.5","4.50376759323224"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807506941","922.75","-49.5","4.51603943953533"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807628886","922.25","-49","4.67557344147543"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807703424","922.25","-49.5","4.64489382571772"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807814116","925.75","-49.5","3.71223350668325"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765807892396","925.75","-49.5","3.73064127613788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808035806","926.75","-50","0.269980618667873"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808107051","926.75","-50","0.300660234425586"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808230406","923.25","-49.5","4.46081613117144"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808298546","923.25","-49.5","4.51603943953533"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808408564","925.25","-50","0.730174855033565"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808472675","925.25","-50","3.88403935492644"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808589062","924.75","-50","3.96994227904804"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808674259","924.75","-49.5","3.98835004850267"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808784095","924.25","-49.5","4.1233403578366"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765808847714","924.25","-49.5","4.10493258838198"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809008964","926.25","-50","0.441786466911065"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809063984","926.25","-50","3.60792281310703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809221269","927.25","-50","0.227029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809287731","927.25","-50","0.147262155637022"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809395396","923.75","-49.5","4.28901028292825"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809459312","923.75","-49.5","4.30741805238288"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809569004","927.75","-50.5","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809661473","927.75","-50.5","6.24636976827033"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809749648","922.75","-49.5","4.54671905529304"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809844334","922.75","-49.5","4.49149574692916"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765809966670","922.25","-49.5","4.66943751832389"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810021739","922.25","-49.5","4.71852490353623"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810153523","925.75","-50","0.472466082668777"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810228256","925.75","-50","3.42384511856075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810337439","926.75","-49.5","5.80458330135927"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810415446","926.75","-49.5","2.21506825770687"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810499058","926.75","-49.5","1.51557301843101"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810571968","923.25","-49.5","1.84077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810700181","923.25","-50","0.840621471761331"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810790097","925.25","-50.5","5.86594253287469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810888559","925.25","-51","5.14190360099267"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765810968751","924.75","-51","4.67557344147543"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811072100","924.75","-51.5","4.11106851153352"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811179275","924.25","-51.5","3.98221412535112"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811281665","924.25","-52","3.76132089189559"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811365315","926.25","-52","6.26477753772496"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811451186","926.25","-52","0.0490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811568589","927.25","-52","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811672971","927.25","-52","2.78570911080032"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811735198","923.75","-51.5","3.87176750862336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811838637","923.75","-52","3.81654420025948"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765811965716","927.75","-52","2.6813984172241"
"E200 9366 C6B6 7BF1 9071 BDEF","1574765812067271","927.75","-52","2.5954954931025"
