"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320570994699","925.25","-48.5","1.26400016921777"
"3039 6061 C3C8 CD00 0005 72E8","1574320571017522","925.25","-49.5","0.613592315154257"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571031996","925.25","-52","0.975611781095268"
"3008 33B2 DDD9 0140 0000 0000","1574320571047712","925.25","-65.5","5.66959299202533"
"3039 6061 C3C8 CD00 0005 72E8","1574320571065187","925.25","-49.5","0.570640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571078876","925.25","-48.5","1.26400016921777"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571095465","925.25","-52","0.963339934792183"
"3008 33B2 DDD9 0140 0000 0000","1574320571110838","925.25","-65.5","5.92116584123858"
"3008 33B2 DDD9 0140 0000 0000","1574320571155853","925.25","-65.5","2.63231103201176"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571185998","926.25","-49","1.04924285891378"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571203229","926.25","-52","0.754718547639735"
"3039 6061 C3C8 CD00 0005 72E8","1574320571218966","926.25","-49.5","0.0490873852123405"
"3039 6061 C3C8 CD00 0005 72E8","1574320571242454","926.25","-49.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571262522","926.25","-49","1.04924285891378"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571278437","926.25","-52","0.754718547639735"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571339311","926.25","-49","1.03697101261069"
"3039 6061 C3C8 CD00 0005 72E8","1574320571355172","926.25","-49.5","0.0490873852123405"
"3008 33B2 DDD9 0140 0000 0000","1574320571392608","922.25","-64.5","4.36877728389831"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571408924","922.25","-51.5","4.80442782765783"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571434160","922.25","-49","2.00031094740288"
"3008 33B2 DDD9 0140 0000 0000","1574320571448090","922.25","-64.5","4.42400059226219"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571465149","922.25","-51.5","4.83510744341554"
"3039 6061 C3C8 CD00 0005 72E8","1574320571480275","922.25","-50.5","5.30143760293278"
"3008 33B2 DDD9 0140 0000 0000","1574320571495282","922.25","-64.5","0.95720401164064"
"3039 6061 C3C8 CD00 0005 72E8","1574320571538187","922.25","-50.5","5.33211721869049"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571555818","922.25","-49","2.00031094740288"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571600052","927.75","-52","0.411106851153352"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571624641","927.75","-49","0.687223392972767"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571641183","927.75","-52","0.411106851153352"
"3039 6061 C3C8 CD00 0005 72E8","1574320571658932","927.75","-49","5.54687452899448"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571718330","927.75","-52","0.417242774304894"
"3039 6061 C3C8 CD00 0005 72E8","1574320571734111","927.75","-49","5.55301045214602"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571750141","927.75","-49","0.699495239275852"
"3039 6061 C3C8 CD00 0005 72E8","1574320571804611","927.25","-49.5","5.81685514766235"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571821582","927.25","-49","0.809941856003619"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571836471","927.25","-52","0.497009775274948"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320571885493","927.25","-49","0.797670009700533"
"3039 6061 C3C8 CD00 0005 72E8","1574320571905020","927.25","-49.5","5.81071922451081"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571922613","927.25","-52","0.527689391032661"
"E200 9366 C6B6 67B1 9071 BD9E","1574320571948485","927.25","-52","0.527689391032661"
"3039 6061 C3C8 CD00 0005 72E8","1574320571993472","924.25","-50","4.28901028292825"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572009694","924.25","-49","1.5278448647341"
"3008 33B2 DDD9 0140 0000 0000","1574320572066154","924.25","-66","0.128854386182394"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572074279","924.25","-49","1.53398078788564"
"3039 6061 C3C8 CD00 0005 72E8","1574320572089439","924.25","-50","4.31355397553442"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572105394","924.25","-52","1.22104870715697"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572128445","924.25","-52","1.20877686085389"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572141838","924.25","-48.5","1.54011671103718"
"3039 6061 C3C8 CD00 0005 72E8","1574320572158644","924.25","-50","1.18423316824771"
"3008 33B2 DDD9 0140 0000 0000","1574320572178270","924.25","-65","0.153398078788564"
"3008 33B2 DDD9 0140 0000 0000","1574320572234535","923.75","-65","3.93926266329033"
"3039 6061 C3C8 CD00 0005 72E8","1574320572249930","923.75","-50","4.58967051735384"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572270037","923.75","-52","1.34990309333936"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572285650","923.75","-49","1.68737886667421"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572308174","923.75","-48.5","1.69965071297729"
"3039 6061 C3C8 CD00 0005 72E8","1574320572330547","923.75","-50","4.5835345942023"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572344675","923.75","-51.5","1.41126232485479"
"3008 33B2 DDD9 0140 0000 0000","1574320572357547","923.75","-65","0.74244670133665"
"3039 6061 C3C8 CD00 0005 72E8","1574320572415321","926.75","-49.5","6.16660276730028"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572432654","926.75","-49","1.02469916630761"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572448355","926.75","-52","0.730174855033565"
"3039 6061 C3C8 CD00 0005 72E8","1574320572481001","926.75","-49.5","6.11137945893639"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572496169","926.75","-49","1.02469916630761"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572511108","926.75","-52","0.674951546669682"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572570463","926.75","-49","1.01242732000452"
"3008 33B2 DDD9 0140 0000 0000","1574320572608191","922.75","-64","4.35650543759522"
"3008 33B2 DDD9 0140 0000 0000","1574320572624407","922.75","-64","3.81654420025948"
"3039 6061 C3C8 CD00 0005 72E8","1574320572629317","922.75","-50.5","5.08668029262879"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572647998","922.75","-52","1.60761186570415"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572669585","922.75","-52","4.74920451929395"
"3008 33B2 DDD9 0140 0000 0000","1574320572687595","922.75","-64","0.773126317094363"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572693915","922.75","-49","1.92667986958437"
"3039 6061 C3C8 CD00 0005 72E8","1574320572708110","922.75","-50.5","5.05600067687107"
"3008 33B2 DDD9 0140 0000 0000","1574320572724100","922.75","-64","1.15355355249"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572774944","922.75","-49","1.91440802328128"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572801537","925.75","-52","0.901980703276757"
"3039 6061 C3C8 CD00 0005 72E8","1574320572816374","925.75","-49.5","0.343611696486384"
"3008 33B2 DDD9 0140 0000 0000","1574320572840565","925.75","-66","5.48551529747905"
"3008 33B2 DDD9 0140 0000 0000","1574320572857707","925.75","-65.5","2.33778672073772"
"3039 6061 C3C8 CD00 0005 72E8","1574320572861728","925.75","-49.5","0.386563158547182"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572884165","925.75","-52","0.859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320572899160","925.75","-49","1.19036909139926"
"E200 9366 C6B6 67B1 9071 BD9E","1574320572948410","925.75","-52","0.859029241215959"
"3039 6061 C3C8 CD00 0005 72E8","1574320572969948","925.75","-50","0.355883542789469"
"3008 33B2 DDD9 0140 0000 0000","1574320573009820","923.25","-65","0.711767085578938"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573024446","923.25","-49","1.69965071297729"
"3039 6061 C3C8 CD00 0005 72E8","1574320573048628","923.25","-50.5","4.81056375080937"
"3008 33B2 DDD9 0140 0000 0000","1574320573061855","923.25","-65","0.69335931612431"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573081345","923.25","-49","1.65056332776495"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573096384","923.25","-52","1.2824079386724"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573159007","923.25","-52","1.17809724509617"
"3008 33B2 DDD9 0140 0000 0000","1574320573172072","923.25","-65","3.92699081698724"
"3039 6061 C3C8 CD00 0005 72E8","1574320573211986","924.75","-50","0.889708856973672"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573227863","924.75","-49","1.12900985988383"
"3008 33B2 DDD9 0140 0000 0000","1574320573243548","924.75","-66","6.0684279968756"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573263328","924.75","-49","1.07992247467149"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573280018","924.75","-52.5","0.632000084608884"
"3039 6061 C3C8 CD00 0005 72E8","1574320573293068","924.75","-50","0.9081166264283"
"3008 33B2 DDD9 0140 0000 0000","1574320573308075","924.75","-66","5.97025322645092"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573359711","924.75","-53","0.484737928971863"
"3039 6061 C3C8 CD00 0005 72E8","1574320573373185","924.75","-50","4.03130151056347"
"3008 33B2 DDD9 0140 0000 0000","1574320573388997","924.75","-66","5.81071922451081"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573417965","925.25","-49.5","0.638136007760427"
"3039 6061 C3C8 CD00 0005 72E8","1574320573440151","925.25","-50","0.644271930911969"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573457912","925.25","-49.5","0.533825314184203"
"3008 33B2 DDD9 0140 0000 0000","1574320573476872","925.25","-67","5.43029198911517"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573487070","925.25","-53.5","6.23409792196725"
"3039 6061 C3C8 CD00 0005 72E8","1574320573546165","925.25","-50","0.656543777215054"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573564728","925.25","-54","5.92730176439012"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573580501","925.25","-50","0.110446616727766"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573627420","926.25","-54","5.47324345117597"
"3039 6061 C3C8 CD00 0005 72E8","1574320573640491","926.25","-50","0.171805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573664181","926.25","-50","5.82299107081389"
"3039 6061 C3C8 CD00 0005 72E8","1574320573721130","926.25","-50","0.220893233455532"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573739469","926.25","-50","5.51619491323677"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573756366","926.25","-54.5","4.93328221384022"
"3039 6061 C3C8 CD00 0005 72E8","1574320573781481","926.25","-49.5","0.269980618667873"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573801038","926.25","-54.5","1.62601963515878"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573824420","922.25","-50.5","6.09910761263331"
"3008 33B2 DDD9 0140 0000 0000","1574320573878813","922.25","-66.5","0.196349540849362"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573889249","922.25","-50.5","5.87207845602623"
"3039 6061 C3C8 CD00 0005 72E8","1574320573904402","922.25","-50.5","5.51619491323677"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573921344","922.25","-54.5","5.08668029262879"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320573943246","922.25","-50.5","5.62664152996453"
"3039 6061 C3C8 CD00 0005 72E8","1574320573963172","922.25","-50.5","5.55914637529756"
"E200 9366 C6B6 67B1 9071 BD9E","1574320573977363","922.25","-55","4.85351521287017"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574033906","927.75","-50","4.04357335686655"
"3039 6061 C3C8 CD00 0005 72E8","1574320574056300","927.75","-48.5","5.82912699396544"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574070712","927.75","-55","0.227029156607075"
"3039 6061 C3C8 CD00 0005 72E8","1574320574095805","927.75","-48.5","2.69367026352719"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574119346","927.75","-55","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574133504","927.75","-50.5","3.68768981407708"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574189845","927.75","-50.5","3.53429173528852"
"3039 6061 C3C8 CD00 0005 72E8","1574320574232244","927.25","-48.5","6.11137945893639"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574249801","927.25","-54.5","6.0254765348148"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574273853","927.25","-54.5","5.99479691905709"
"3039 6061 C3C8 CD00 0005 72E8","1574320574291381","927.25","-48.5","6.09297168948177"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574306846","927.25","-50.5","0.171805848243192"
"3039 6061 C3C8 CD00 0005 72E8","1574320574360699","927.25","-48","2.95137903589197"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574386732","927.25","-50.5","3.0127382674074"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574402395","927.25","-54.5","5.55301045214602"
"3039 6061 C3C8 CD00 0005 72E8","1574320574433043","924.25","-49","4.53444720898996"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574452341","924.25","-50.5","3.61405873625857"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574468231","924.25","-54.5","6.09910761263331"
"3039 6061 C3C8 CD00 0005 72E8","1574320574522552","924.25","-48.5","4.50376759323224"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574539369","924.25","-54.5","5.8966221486324"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574559859","924.25","-50.5","3.31339850183298"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574583416","924.25","-54.5","5.79231145505618"
"3039 6061 C3C8 CD00 0005 72E8","1574320574628249","923.75","-48.5","4.76147636559703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574645914","923.75","-50.5","0.0797670009700533"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574699115","923.75","-54","5.68186483832841"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574717788","923.75","-50.5","6.17887461360336"
"3039 6061 C3C8 CD00 0005 72E8","1574320574734739","923.75","-48.5","1.60761186570415"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574762216","923.75","-54","5.52233083638831"
"3039 6061 C3C8 CD00 0005 72E8","1574320574776389","923.75","-48.5","4.73079674983932"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574797900","923.75","-50.5","6.04388430426943"
"3039 6061 C3C8 CD00 0005 72E8","1574320574873532","926.75","-48","6.24636976827033"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574889587","926.75","-50.5","2.04939833261522"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574903762","926.75","-54","1.49102932582484"
"3039 6061 C3C8 CD00 0005 72E8","1574320574924731","926.75","-48","0.0122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320574939996","926.75","-50.5","2.03099056316059"
"E200 9366 C6B6 67B1 9071 BD9E","1574320574957242","926.75","-54","1.47262155637022"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575040388","922.75","-50.5","6.19728238305799"
"3039 6061 C3C8 CD00 0005 72E8","1574320575055530","922.75","-49","5.20939875565964"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575072303","922.75","-54","5.60209783735836"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575103791","922.75","-54","5.61436968366145"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575119661","922.75","-50.5","6.19728238305799"
"3039 6061 C3C8 CD00 0005 72E8","1574320575141337","922.75","-49","5.22780652511427"
"3039 6061 C3C8 CD00 0005 72E8","1574320575195404","922.75","-49","5.20939875565964"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575210575","922.75","-54","5.62664152996453"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575253468","925.75","-50.5","2.25801971976766"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575275757","925.75","-54","4.77988413505166"
"3039 6061 C3C8 CD00 0005 72E8","1574320575300836","925.75","-48.5","0.50314569842649"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575316206","925.75","-50.5","2.11075756413064"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575369558","925.75","-50.5","1.99417502425133"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575391072","925.75","-54.5","1.39285455540016"
"3039 6061 C3C8 CD00 0005 72E8","1574320575404204","925.75","-48.5","0.47860200582032"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575453536","923.25","-50.5","5.50392306693368"
"3039 6061 C3C8 CD00 0005 72E8","1574320575473326","923.25","-49","4.90873852123405"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575489449","923.25","-54.5","1.65669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575542366","923.25","-51","2.06780610206984"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575564186","923.25","-54.5","1.47875747952176"
"3039 6061 C3C8 CD00 0005 72E8","1574320575578123","923.25","-49","4.88419482862788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575607746","923.25","-51","1.82850509915968"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575646876","924.75","-55","0.816077779155161"
"3039 6061 C3C8 CD00 0005 72E8","1574320575660293","924.75","-48.5","4.07425297262426"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575713632","924.75","-51.5","1.02469916630761"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575731688","924.75","-55.5","0.45405831321415"
"3039 6061 C3C8 CD00 0005 72E8","1574320575745946","924.75","-48.5","0.95720401164064"
"3039 6061 C3C8 CD00 0005 72E8","1574320575773167","924.75","-48.5","4.04970928001809"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575794304","924.75","-55.5","0.282252464970958"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575809981","924.75","-52","0.736310778185108"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575868379","925.25","-56","6.18501053675491"
"3039 6061 C3C8 CD00 0005 72E8","1574320575888233","925.25","-48.5","0.681087469821225"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575903481","925.25","-52","0.276116541819415"
"3039 6061 C3C8 CD00 0005 72E8","1574320575922720","925.25","-48.5","0.69335931612431"
"E200 9366 C6B6 67B1 9071 BD9E","1574320575941650","925.25","-56","5.89048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320575957266","925.25","-52.5","0.098174770424681"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576012855","925.25","-56.5","5.67572891517687"
"3039 6061 C3C8 CD00 0005 72E8","1574320576058762","926.25","-48","3.31339850183298"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576073121","926.25","-52.5","5.68186483832841"
"3039 6061 C3C8 CD00 0005 72E8","1574320576106071","926.25","-48","3.32567034813607"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576121149","926.25","-56.5","5.09281621578033"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576137331","926.25","-53","5.47937937432751"
"3039 6061 C3C8 CD00 0005 72E8","1574320576192668","926.25","-48","0.233165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576209488","926.25","-52.5","5.19712690935655"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576226960","926.25","-57","4.69398121093006"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576269522","922.25","-53","5.85980660972315"
"3008 33B2 DDD9 0140 0000 0000","1574320576284261","922.25","-65","0.227029156607075"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576299853","922.25","-57.5","5.19099098620501"
"3039 6061 C3C8 CD00 0005 72E8","1574320576316570","922.25","-48.5","5.47937937432751"
"3008 33B2 DDD9 0140 0000 0000","1574320576331430","922.25","-64","5.76776776245001"
"3039 6061 C3C8 CD00 0005 72E8","1574320576382302","922.25","-48.5","5.51619491323677"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576400236","922.25","-53","5.31370944923586"
"3008 33B2 DDD9 0140 0000 0000","1574320576414934","922.25","-63.5","5.87207845602623"
"3008 33B2 DDD9 0140 0000 0000","1574320576422121","922.25","-63.5","0.184077694546277"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576440201","922.25","-57.5","4.4976316700807"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576478563","927.75","-53","3.79200050765331"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576495295","927.75","-57.5","0.00613592315154256"
"3039 6061 C3C8 CD00 0005 72E8","1574320576508503","927.75","-47","2.6384469551633"
"3008 33B2 DDD9 0140 0000 0000","1574320576523466","927.75","-65","4.41786466911065"
"3008 33B2 DDD9 0140 0000 0000","1574320576570976","927.75","-65","4.62035013311155"
"3039 6061 C3C8 CD00 0005 72E8","1574320576578292","927.75","-47","5.85367068657161"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576594429","927.75","-53","0.165669925091649"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576610813","927.75","-57.5","5.81071922451081"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576632364","927.75","-57.5","5.75549591614693"
"3008 33B2 DDD9 0140 0000 0000","1574320576652231","927.75","-64.5","4.47308797747453"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576672517","927.25","-53","6.25864161457342"
"3039 6061 C3C8 CD00 0005 72E8","1574320576685957","927.25","-47","6.11751538208794"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576741722","927.25","-57.5","5.51005899008522"
"3039 6061 C3C8 CD00 0005 72E8","1574320576755958","927.25","-46.5","6.12365130523948"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576776360","927.25","-53","2.77957318764878"
"3008 33B2 DDD9 0140 0000 0000","1574320576791057","927.25","-63.5","1.06765062836841"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576804681","927.25","-53","5.90275807178395"
"3039 6061 C3C8 CD00 0005 72E8","1574320576818855","927.25","-46.5","6.10524353578485"
"3008 33B2 DDD9 0140 0000 0000","1574320576839951","927.25","-65","4.73693267299086"
"3008 33B2 DDD9 0140 0000 0000","1574320576854469","927.25","-64","1.07992247467149"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576870200","924.25","-57","5.7800396087531"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320576926029","924.25","-53","0.0245436926061703"
"3008 33B2 DDD9 0140 0000 0000","1574320576947520","924.25","-62.5","4.74920451929395"
"E200 9366 C6B6 67B1 9071 BD9E","1574320576952166","924.25","-57","5.54687452899448"
"3039 6061 C3C8 CD00 0005 72E8","1574320576966145","924.25","-47","4.57126274789921"
"3008 33B2 DDD9 0140 0000 0000","1574320576980738","924.25","-62","5.1603113704473"
