"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178555125","922.25","-49","4.721592865112"
"E280 1160 6000 0209 6489 5BA3","1583400178559165","922.25","-49.5","6.16353480572451"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178564280","922.25","-49","4.71852490353623"
"E280 1160 6000 0209 6489 5BA3","1583400178570446","922.25","-49.5","6.14819499784565"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178605599","922.25","-49","4.74613655771817"
"E280 1160 6000 0209 6489 5BA3","1583400178609749","922.25","-49.5","6.12671926681525"
"E280 1160 6000 0209 6489 5BA3","1583400178615084","922.25","-49.5","6.16353480572451"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178616896","922.25","-49","4.74000063456663"
"E280 1160 6000 0209 6489 5BA3","1583400178654980","922.25","-49.5","6.16967072887605"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178655823","922.25","-49","4.77374821190012"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178664332","922.25","-49","4.74613655771817"
"E280 1160 6000 0209 6489 5BA3","1583400178667867","922.25","-49.5","6.16353480572451"
"E280 1160 6000 0209 6489 5BA3","1583400178703891","922.25","-49.5","6.12671926681525"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178706141","922.25","-49","4.77988413505166"
"E280 1160 6000 0209 6489 5BA3","1583400178713799","922.25","-49.5","6.09297168948177"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178715023","922.25","-49","4.77374821190012"
"E280 1160 6000 0209 6489 5BA3","1583400178759437","926.75","-50","4.92101036753714"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178761088","926.75","-49.5","3.57417523577354"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178768604","926.75","-49.5","0.469398121093006"
"E280 1160 6000 0209 6489 5BA3","1583400178773107","926.75","-50","4.97930163747679"
"E280 1160 6000 0209 6489 5BA3","1583400178809976","926.75","-50","1.84998083019008"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178810824","926.75","-49.5","0.543029198911517"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178817172","926.75","-49.5","0.579844737820772"
"E280 1160 6000 0209 6489 5BA3","1583400178820485","926.75","-50","4.99770940693142"
"E280 1160 6000 0209 6489 5BA3","1583400178856141","926.75","-50","5.12656379311381"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178858351","926.75","-49.5","0.635068046184655"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178865903","926.75","-49.5","0.607456392002714"
"E280 1160 6000 0209 6489 5BA3","1583400178869861","926.75","-50","5.01918513796182"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178904425","926.75","-49.5","0.714835047154709"
"E280 1160 6000 0209 6489 5BA3","1583400178909671","926.75","-50","2.03099056316059"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178914281","926.75","-49.5","3.89324323965376"
"E280 1160 6000 0209 6489 5BA3","1583400178918784","926.75","-50.5","5.16951525517461"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178962500","923.75","-49","4.81363171238514"
"E280 1160 6000 0209 6489 5BA3","1583400178965824","923.75","-50","6.19114645990645"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400178969130","923.75","-49","4.83203948183977"
"E280 1160 6000 0209 6489 5BA3","1583400178974520","923.75","-50","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400179008963","923.75","-49","4.97316571432525"
"E280 1160 6000 0209 6489 5BA3","1583400179014815","923.75","-50","0.021475731030399"
"E280 1160 6000 0209 6489 5BA3","1583400179020609","923.75","-50","0.0828349625458246"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400179022282","923.75","-49","4.95475794487062"
"E280 1160 6000 0209 6489 5BA3","1583400179059906","923.75","-50","0.208621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400179061784","923.75","-49","5.14190360099267"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400179069095","923.75","-49","5.16644729359884"
