"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583400041897476","927.75","-34","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400041898500","927.75","-46","0.165669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400041905813","927.75","-46","0.156466040364335"
"E280 1160 6000 0209 6489 5BA3","1583400041910656","927.75","-34.5","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400041944816","927.75","-46","0.159534001940107"
"E280 1160 6000 0209 6489 5BA3","1583400041948892","927.75","-34.5","2.34085468231349"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400041955753","927.75","-46","0.147262155637022"
"E280 1160 6000 0209 6489 5BA3","1583400041960035","927.75","-34.5","5.49778714378214"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400041994129","927.75","-46","0.168737886667421"
"E280 1160 6000 0209 6489 5BA3","1583400041998842","927.75","-34.5","2.3500585670408"
"E280 1160 6000 0209 6489 5BA3","1583400042004051","927.75","-34.5","5.48551529747905"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042007258","927.75","-46","0.159534001940107"
"E280 1160 6000 0209 6489 5BA3","1583400042044918","927.75","-34.5","2.35312652861657"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042046402","927.75","-46","0.168737886667421"
"E280 1160 6000 0209 6489 5BA3","1583400042051810","927.75","-34.5","5.50085510535791"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042054922","927.75","-46","0.162601963515878"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042097956","923.25","-45.5","1.35297105491514"
"E280 1160 6000 0209 6489 5BA3","1583400042103693","923.25","-34","0.374291312244096"
"E280 1160 6000 0209 6489 5BA3","1583400042110392","923.25","-34","0.374291312244096"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042111604","923.25","-45.5","1.33763124703628"
"E280 1160 6000 0209 6489 5BA3","1583400042148754","923.25","-34","0.377359273819868"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042149826","923.25","-45.5","1.34069920861205"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042157959","923.25","-45.5","1.35910697806668"
"E280 1160 6000 0209 6489 5BA3","1583400042162070","923.25","-34","0.377359273819868"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400042196736","923.25","-45.5","1.35603901649091"
