"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583400486066520","926.25","-42.5","5.18792302462924"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486067547","926.25","-46.5","2.18438864194915"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486076852","926.25","-46.5","1.96963133164516"
"E280 1160 6000 0209 6489 5BA3","1583400486080142","926.25","-43","4.85658317444594"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486117584","926.25","-46.5","1.14741762933846"
"E280 1160 6000 0209 6489 5BA3","1583400486120903","926.25","-44","4.03436947213924"
"E280 1160 6000 0209 6489 5BA3","1583400486125969","926.25","-44","0.83755351018556"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486128581","926.25","-46.5","0.960271973216411"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486165458","926.25","-47","0.57370881466923"
"E280 1160 6000 0209 6489 5BA3","1583400486169227","926.25","-45","0.460194236365692"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486175684","926.25","-47","0.533825314184203"
"E280 1160 6000 0209 6489 5BA3","1583400486179827","926.25","-45.5","0.438718505335293"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486213323","926.25","-47","0.625864161457342"
"E280 1160 6000 0209 6489 5BA3","1583400486218806","926.25","-45","0.604388430426943"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486224801","926.25","-47","0.733242816609336"
"E280 1160 6000 0209 6489 5BA3","1583400486228470","926.25","-45","3.76132089189559"
"E280 1160 6000 0209 6489 5BA3","1583400486268239","924.25","-43.5","4.77374821190012"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486271222","924.25","-46.5","1.97576725479671"
"E280 1160 6000 0209 6489 5BA3","1583400486278060","924.25","-43","4.94555406014331"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486280846","924.25","-46.5","2.17518475722184"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486316310","924.25","-47","6.05308818899674"
"E280 1160 6000 0209 6489 5BA3","1583400486320767","924.25","-42.5","6.07456392002714"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486328320","924.25","-47.5","6.24330180669456"
"E280 1160 6000 0209 6489 5BA3","1583400486332019","924.25","-42.5","0.153398078788564"
"E280 1160 6000 0209 6489 5BA3","1583400486368510","924.25","-42","1.20877686085389"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486369360","924.25","-48","3.95460247116918"
"E280 1160 6000 0209 6489 5BA3","1583400486377165","924.25","-42","1.41433028643056"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486378575","924.25","-47.5","4.17242774304894"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486415433","924.25","-47","4.99770940693142"
"E280 1160 6000 0209 6489 5BA3","1583400486420185","924.25","-39.5","5.47631141275174"
"E280 1160 6000 0209 6489 5BA3","1583400486425315","924.25","-39","5.57448618317642"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486427358","924.25","-47","5.23394244826581"
"E280 1160 6000 0209 6489 5BA3","1583400486471690","925.75","-36.5","2.79798095710341"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486474515","925.75","-46","5.77390368560155"
"E280 1160 6000 0209 6489 5BA3","1583400486480421","925.75","-36","6.01627265008749"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486481863","925.75","-45.5","5.82299107081389"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486521064","925.75","-45.5","6.12365130523948"
"E280 1160 6000 0209 6489 5BA3","1583400486524602","925.75","-34.5","6.2279619988157"
"E280 1160 6000 0209 6489 5BA3","1583400486530425","925.75","-34.5","6.24330180669456"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486532069","925.75","-45","6.11444742051217"
"E280 1160 6000 0209 6489 5BA3","1583400486569016","925.75","-36","6.00706876536017"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486570070","925.75","-45.5","5.79537941663195"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486577366","925.75","-46","5.70947649251036"
"E280 1160 6000 0209 6489 5BA3","1583400486581946","925.75","-36.5","2.74275764873953"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486618448","925.75","-46.5","5.04986475371953"
"E280 1160 6000 0209 6489 5BA3","1583400486623070","925.75","-39","5.33518518026626"
"E280 1160 6000 0209 6489 5BA3","1583400486629044","925.75","-39","2.07087406364562"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486630499","925.75","-47","4.81363171238514"
"E280 1160 6000 0209 6489 5BA3","1583400486676293","927.25","-42","0.81300981757939"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486677526","927.25","-47.5","0.319068003880213"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486683237","927.25","-47.5","0.184077694546277"
"E280 1160 6000 0209 6489 5BA3","1583400486688973","927.25","-42.5","0.497009775274948"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486724833","927.25","-47","2.39914595225314"
"E280 1160 6000 0209 6489 5BA3","1583400486728945","927.25","-42.5","5.59289395263105"
"E280 1160 6000 0209 6489 5BA3","1583400486733197","927.25","-42.5","5.43949587384248"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486734973","927.25","-47","2.1475731030399"
"E280 1160 6000 0209 6489 5BA3","1583400486771985","927.25","-43","4.28287435977671"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486774394","927.25","-46.5","1.24559239976314"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486782487","927.25","-46.5","1.06765062836841"
"E280 1160 6000 0209 6489 5BA3","1583400486786191","927.25","-43.5","3.92699081698724"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486820935","927.25","-47","0.266912657092102"
"E280 1160 6000 0209 6489 5BA3","1583400486826033","927.25","-45.5","3.28578684765104"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486831233","927.25","-47.5","0.125786424606623"
"E280 1160 6000 0209 6489 5BA3","1583400486835572","927.25","-45.5","0.104310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486875978","922.25","-47","1.28547590024817"
"E280 1160 6000 0209 6489 5BA3","1583400486880265","922.25","-45.5","1.07992247467149"
"E280 1160 6000 0209 6489 5BA3","1583400486885209","922.25","-45.5","1.09219432097458"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486886243","922.25","-47","1.30695163127857"
"E280 1160 6000 0209 6489 5BA3","1583400486926537","922.25","-44.5","4.55899090159613"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486928192","922.25","-46.5","1.71499052085615"
"E280 1160 6000 0209 6489 5BA3","1583400486933486","922.25","-44","4.66330159517235"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486937024","922.25","-46.5","1.92361190800859"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486974424","922.25","-46.5","5.81685514766235"
"E280 1160 6000 0209 6489 5BA3","1583400486978361","922.25","-43","5.56221433687333"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400486982221","922.25","-46.5","6.01627265008749"
"E280 1160 6000 0209 6489 5BA3","1583400486987478","922.25","-43","5.79231145505618"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400487021813","922.25","-47","3.73677719928942"
"E280 1160 6000 0209 6489 5BA3","1583400487027714","922.25","-43","0.803805932852076"
"E280 1160 6000 0209 6489 5BA3","1583400487032224","922.25","-43","0.948000126913326"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400487034447","922.25","-47.5","0.822213702306704"
"E200 9366 C6B6 7BF1 9071 BDEF","1583400487078107","926.75","-48","0.638136007760427"
"E280 1160 6000 0209 6489 5BA3","1583400487081642","926.75","-42","1.25479628449045"
"E280 1160 6000 0209 6489 5BA3","1583400487088701","926.75","-41.5","1.42353417115788"
