"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394113665533","923.25","-45.5","6.26477753772496"
"E280 1160 6000 0209 6489 5BA3","1583394113679900","923.25","-42.5","4.38104913020139"
"E280 1160 6000 0209 6489 5BA3","1583394113713558","923.25","-42.5","1.27627201552085"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394113719818","923.25","-45.5","6.27704938402804"
"E280 1160 6000 0209 6489 5BA3","1583394113782460","923.25","-42.5","1.25786424606623"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394113787783","923.25","-45.5","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394113813588","923.25","-45.5","0"
"E280 1160 6000 0209 6489 5BA3","1583394113829854","923.25","-42","4.40559282280756"
"E280 1160 6000 0209 6489 5BA3","1583394113877470","922.75","-42","4.52217536268687"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394113885957","922.75","-45.5","0.153398078788564"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394113923646","922.75","-45.5","0.147262155637022"
"E280 1160 6000 0209 6489 5BA3","1583394113938877","922.75","-42","4.52831128583841"
"E280 1160 6000 0209 6489 5BA3","1583394113995417","922.75","-42","4.53444720898996"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114000107","922.75","-45.5","0.153398078788564"
"E280 1160 6000 0209 6489 5BA3","1583394114031313","922.75","-42","4.53444720898996"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114038335","922.75","-45.5","0.184077694546277"
"E280 1160 6000 0209 6489 5BA3","1583394114101094","924.75","-42.5","4.06198112632118"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114104972","924.75","-46","5.89048622548086"
"E280 1160 6000 0209 6489 5BA3","1583394114134431","924.75","-42.5","0.914252549579842"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114147100","924.75","-46","5.87207845602623"
"E280 1160 6000 0209 6489 5BA3","1583394114210609","924.75","-42","4.06811704947272"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114214527","924.75","-46","5.88435030232932"
"E280 1160 6000 0209 6489 5BA3","1583394114245491","924.75","-42","4.08038889577581"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114256296","924.75","-46","5.87207845602623"
"E280 1160 6000 0209 6489 5BA3","1583394114319064","926.25","-42","0.613592315154257"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114326997","926.25","-46","2.31324302813155"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114354366","926.25","-46","2.30097118182846"
"E280 1160 6000 0209 6489 5BA3","1583394114371231","926.25","-42","0.644271930911969"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114422682","926.25","-46","2.23347602716149"
"E280 1160 6000 0209 6489 5BA3","1583394114441101","926.25","-42","3.84108789286565"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114460566","926.25","-46.5","2.17825271879761"
"E280 1160 6000 0209 6489 5BA3","1583394114478945","926.25","-42.5","3.90244712438107"
"E200 9366 C6B6 7BF1 9071 BDEF","1583394114527308","924.25","-47","2.51572849213245"
