"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583393907504218","925.25","-49","2.54640810789016"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907508096","925.25","-47","1.4419419406125"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907538574","925.25","-47","1.44807786376405"
"E280 1160 6000 0209 6489 5BA3","1583393907557105","925.25","-49","5.6941366846315"
"E280 1160 6000 0209 6489 5BA3","1583393907610391","925.25","-49","5.71254445408613"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907619436","925.25","-47","1.46034971006713"
"E280 1160 6000 0209 6489 5BA3","1583393907648674","925.25","-49","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907655042","925.25","-47","1.43580601746096"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907722493","927.75","-47.5","0.803805932852076"
"E280 1160 6000 0209 6489 5BA3","1583393907737763","927.75","-49.5","2.07394202522139"
"E280 1160 6000 0209 6489 5BA3","1583393907755859","927.75","-49.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907759935","927.75","-47.5","0.809941856003619"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907825539","927.75","-47.5","0.809941856003619"
"E280 1160 6000 0209 6489 5BA3","1583393907844139","927.75","-49.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907860700","927.75","-47.5","0.822213702306704"
"E280 1160 6000 0209 6489 5BA3","1583393907882440","927.75","-49.5","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907939384","923.25","-47","1.96349540849362"
"E280 1160 6000 0209 6489 5BA3","1583393907955449","923.25","-48.5","6.17273869045182"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393907971009","923.25","-47","1.94508763903899"
"E280 1160 6000 0209 6489 5BA3","1583393907990203","923.25","-48.5","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908035187","923.25","-47","1.98190317794825"
"E280 1160 6000 0209 6489 5BA3","1583393908049782","923.25","-48.5","6.16660276730028"
"E280 1160 6000 0209 6489 5BA3","1583393908081929","923.25","-48.5","6.15433092099719"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908091758","923.25","-47","1.95122356219054"
"E280 1160 6000 0209 6489 5BA3","1583393908157043","922.75","-48.5","6.27704938402804"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908162802","922.75","-47","2.09234979467601"
"E280 1160 6000 0209 6489 5BA3","1583393908189719","922.75","-48.5","6.26477753772496"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908198114","922.75","-47","2.08621387152447"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908264525","922.75","-47","2.11689348728219"
"E280 1160 6000 0209 6489 5BA3","1583393908280705","922.75","-48.5","6.24636976827033"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908293786","922.75","-47","2.1046216409791"
"E280 1160 6000 0209 6489 5BA3","1583393908311494","922.75","-48.5","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1583393908366736","924.75","-47","1.58920409624952"
"E280 1160 6000 0209 6489 5BA3","1583393908382931","924.75","-49","5.82912699396544"
"E280 1160 6000 0209 6489 5BA3","1583393908407321","924.75","-49","5.81071922451081"
