"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583399798647191","927.25","-46.5","2.63231103201176"
"E280 1160 6000 0209 6489 5BA3","1583399798692889","927.25","-46.5","2.65685472461793"
"E280 1160 6000 0209 6489 5BA3","1583399798719498","927.25","-46.5","2.6813984172241"
"E280 1160 6000 0209 6489 5BA3","1583399798773757","927.25","-46.5","5.87821437917778"
"E280 1160 6000 0209 6489 5BA3","1583399798818178","922.25","-47","4.2092432819582"
"E280 1160 6000 0209 6489 5BA3","1583399798867834","922.25","-46.5","4.34423359129214"
"E280 1160 6000 0209 6489 5BA3","1583399798904307","922.25","-46.5","4.41786466911065"
"E280 1160 6000 0209 6489 5BA3","1583399798949218","922.25","-46","4.60807828680847"
"E280 1160 6000 0209 6489 5BA3","1583399798984967","922.25","-46","4.7860200582032"
"E280 1160 6000 0209 6489 5BA3","1583399799042501","926.75","-45.5","0.681087469821225"
"E280 1160 6000 0209 6489 5BA3","1583399799069082","926.75","-45.5","0.828349625458246"
"E280 1160 6000 0209 6489 5BA3","1583399799118112","926.75","-45","1.08605839782303"
"E280 1160 6000 0209 6489 5BA3","1583399799146289","926.75","-45","4.38104913020139"
"E280 1160 6000 0209 6489 5BA3","1583399799198304","926.75","-45","4.65716567202081"
"E280 1160 6000 0209 6489 5BA3","1583399799242293","923.75","-44.5","5.70640853093458"
"E280 1160 6000 0209 6489 5BA3","1583399799294602","923.75","-44","6.06229207372405"
"E280 1160 6000 0209 6489 5BA3","1583399799326326","923.75","-43.5","0"
"E280 1160 6000 0209 6489 5BA3","1583399799379716","923.75","-43","0.398835004850267"
"E280 1160 6000 0209 6489 5BA3","1583399799406868","923.75","-42","0.595184545699629"
"E280 1160 6000 0209 6489 5BA3","1583399799461534","925.25","-41.5","0.595184545699629"
"E280 1160 6000 0209 6489 5BA3","1583399799487169","925.25","-41","0.766990393942821"
"E280 1160 6000 0209 6489 5BA3","1583399799541342","925.25","-40.5","1.06151470521686"
"E280 1160 6000 0209 6489 5BA3","1583399799568372","925.25","-40","1.20264093770234"
"E280 1160 6000 0209 6489 5BA3","1583399799619261","925.25","-39.5","1.47875747952176"
"E280 1160 6000 0209 6489 5BA3","1583399799651650","927.75","-40","0.994019550549895"
"E280 1160 6000 0209 6489 5BA3","1583399799712900","927.75","-40.5","1.27013609236931"
"E280 1160 6000 0209 6489 5BA3","1583399799727683","927.75","-40.5","1.31922347758165"
"E280 1160 6000 0209 6489 5BA3","1583399799790121","927.75","-41","1.47875747952176"
"E280 1160 6000 0209 6489 5BA3","1583399799814833","927.75","-41","1.54625263418873"
"E280 1160 6000 0209 6489 5BA3","1583399799872778","923.25","-41.5","2.75502949504261"
"E280 1160 6000 0209 6489 5BA3","1583399799899979","923.25","-42","5.81685514766235"
"E280 1160 6000 0209 6489 5BA3","1583399799956497","923.25","-42.5","5.70640853093458"
"E280 1160 6000 0209 6489 5BA3","1583399799983205","923.25","-43","5.6082337605099"
"E280 1160 6000 0209 6489 5BA3","1583399800036895","923.25","-44","5.38734052705437"
"E280 1160 6000 0209 6489 5BA3","1583399800073559","922.75","-44.5","2.17825271879761"
"E280 1160 6000 0209 6489 5BA3","1583399800120466","922.75","-45.5","1.85304879176585"
"E280 1160 6000 0209 6489 5BA3","1583399800152795","922.75","-46.5","4.79215598135474"
"E280 1160 6000 0209 6489 5BA3","1583399800213095","922.75","-48","1.08605839782303"
"E280 1160 6000 0209 6489 5BA3","1583399800232800","922.75","-48.5","0.9081166264283"
"E280 1160 6000 0209 6489 5BA3","1583399800294058","924.75","-50","5.99479691905709"
"E280 1160 6000 0209 6489 5BA3","1583399800318133","924.75","-50","5.7370881466923"
"E280 1160 6000 0209 6489 5BA3","1583399800373936","924.75","-50.5","5.08054436947724"
"E280 1160 6000 0209 6489 5BA3","1583399800398681","924.75","-50.5","4.74920451929395"
"E280 1160 6000 0209 6489 5BA3","1583399800449260","924.75","-51","0.895844780125214"
"E280 1160 6000 0209 6489 5BA3","1583399800472654","924.75","-51","0.576776776245001"
"E280 1160 6000 0209 6489 5BA3","1583399800550149","926.25","-51.5","2.15984494934298"
"E280 1160 6000 0209 6489 5BA3","1583399800573669","926.25","-52","4.92714629068868"
"E280 1160 6000 0209 6489 5BA3","1583399800632967","926.25","-53.5","1.04310693576224"
"E280 1160 6000 0209 6489 5BA3","1583399800654117","926.25","-54","0.748582624488193"
"E280 1160 6000 0209 6489 5BA3","1583399800708494","924.25","-55","0.404970928001809"
"E280 1160 6000 0209 6489 5BA3","1583399800735453","924.25","-55.5","0.190213617697819"
"E280 1160 6000 0209 6489 5BA3","1583399800792113","924.25","-56","5.64504929941916"
"E280 1160 6000 0209 6489 5BA3","1583399800822066","924.25","-56.5","5.26462206402352"
"E280 1160 6000 0209 6489 5BA3","1583399800866783","924.25","-56.5","4.65102974886926"
"E280 1160 6000 0209 6489 5BA3","1583399800906608","925.75","-57.5","0.632000084608884"
"E280 1160 6000 0209 6489 5BA3","1583399800963380","925.75","-57.5","6.09910761263331"
"E280 1160 6000 0209 6489 5BA3","1583399800989259","925.75","-57.5","5.84139884026852"
"E280 1160 6000 0209 6489 5BA3","1583399801050933","925.75","-57.5","1.92667986958437"
"E280 1160 6000 0209 6489 5BA3","1583399801063155","925.75","-57.5","1.92667986958437"
"E280 1160 6000 0209 6489 5BA3","1583399801127883","927.25","-56.5","0.920388472731385"
"E280 1160 6000 0209 6489 5BA3","1583399801154611","927.25","-56","0.785398163397448"
"E280 1160 6000 0209 6489 5BA3","1583399801213134","927.25","-55","0.417242774304894"
"E280 1160 6000 0209 6489 5BA3","1583399801240054","927.25","-54.5","0.343611696486384"
"E280 1160 6000 0209 6489 5BA3","1583399801288240","927.25","-53.5","0.171805848243192"
"E280 1160 6000 0209 6489 5BA3","1583399801326819","922.25","-52","1.36217493964245"
"E280 1160 6000 0209 6489 5BA3","1583399801388047","922.25","-51.5","1.26400016921777"
"E280 1160 6000 0209 6489 5BA3","1583399801407744","922.25","-51","1.17809724509617"
"E280 1160 6000 0209 6489 5BA3","1583399801465526","922.25","-50.5","1.22718463030851"
"E280 1160 6000 0209 6489 5BA3","1583399801488766","922.25","-50.5","1.20877686085389"
"E280 1160 6000 0209 6489 5BA3","1583399801546165","926.75","-50","0.00613592315154256"
"E280 1160 6000 0209 6489 5BA3","1583399801576588","926.75","-49.5","0.0859029241215959"
"E280 1160 6000 0209 6489 5BA3","1583399801631739","926.75","-49","0.300660234425586"
"E280 1160 6000 0209 6489 5BA3","1583399801654481","926.75","-49","0.515417544729575"
"E280 1160 6000 0209 6489 5BA3","1583399801706572","926.75","-48.5","0.859029241215959"
"E280 1160 6000 0209 6489 5BA3","1583399801746886","923.75","-48.5","1.94508763903899"
"E280 1160 6000 0209 6489 5BA3","1583399801808157","923.75","-48.5","2.41141779855623"
"E280 1160 6000 0209 6489 5BA3","1583399801830990","923.75","-48.5","5.6082337605099"
"E280 1160 6000 0209 6489 5BA3","1583399801886864","923.75","-49","6.07456392002714"
"E280 1160 6000 0209 6489 5BA3","1583399801911565","923.75","-49","6.2279619988157"
"E280 1160 6000 0209 6489 5BA3","1583399801965836","925.25","-49","6.16046684414874"
"E280 1160 6000 0209 6489 5BA3","1583399801994819","925.25","-49","0.122718463030851"
"E280 1160 6000 0209 6489 5BA3","1583399802046869","925.25","-49.5","3.62019465941011"
"E280 1160 6000 0209 6489 5BA3","1583399802072918","925.25","-49.5","3.79813643080485"
"E280 1160 6000 0209 6489 5BA3","1583399802132407","925.25","-50","4.22765105141283"
"E280 1160 6000 0209 6489 5BA3","1583399802160421","927.75","-50","3.68155389092554"
"E280 1160 6000 0209 6489 5BA3","1583399802228600","927.75","-50","1.06765062836841"
"E280 1160 6000 0209 6489 5BA3","1583399802253582","927.75","-50","4.36877728389831"
"E280 1160 6000 0209 6489 5BA3","1583399802307001","927.75","-50","4.74920451929395"
"E280 1160 6000 0209 6489 5BA3","1583399802326361","927.75","-50","4.88419482862788"
"E280 1160 6000 0209 6489 5BA3","1583399802389572","923.25","-50","0.325203927031756"
"E280 1160 6000 0209 6489 5BA3","1583399802416849","923.25","-50","0.484737928971863"
"E280 1160 6000 0209 6489 5BA3","1583399802472193","923.25","-49.5","0.95720401164064"
"E280 1160 6000 0209 6489 5BA3","1583399802486843","923.25","-49.5","1.07992247467149"
"E280 1160 6000 0209 6489 5BA3","1583399802543867","923.25","-49","1.5707963267949"
"E280 1160 6000 0209 6489 5BA3","1583399802593485","922.75","-48.5","2.11689348728219"
"E280 1160 6000 0209 6489 5BA3","1583399802642995","922.75","-48","2.55254403104171"
"E280 1160 6000 0209 6489 5BA3","1583399802663650","922.75","-48","5.86594253287469"
"E280 1160 6000 0209 6489 5BA3","1583399802727455","922.75","-47.5","0.098174770424681"
"E280 1160 6000 0209 6489 5BA3","1583399802745439","922.75","-47","3.36862181019687"
"E280 1160 6000 0209 6489 5BA3","1583399802808414","924.75","-46","0.294524311274043"
"E280 1160 6000 0209 6489 5BA3","1583399802830321","924.75","-46","3.65087427516783"
"E280 1160 6000 0209 6489 5BA3","1583399802895431","924.75","-45.5","1.06151470521686"
"E280 1160 6000 0209 6489 5BA3","1583399802913956","924.75","-45.5","4.35650543759522"
"E280 1160 6000 0209 6489 5BA3","1583399802977409","924.75","-45","4.85351521287017"
"E280 1160 6000 0209 6489 5BA3","1583399803003635","926.25","-44.5","4.62035013311155"
"E280 1160 6000 0209 6489 5BA3","1583399803061303","926.25","-44.5","4.99464144535565"
"E280 1160 6000 0209 6489 5BA3","1583399803085420","926.25","-44.5","5.17258321675038"
"E280 1160 6000 0209 6489 5BA3","1583399803136036","926.25","-44","5.48551529747905"
"E280 1160 6000 0209 6489 5BA3","1583399803166431","926.25","-43.5","5.68186483832841"
