"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583397659758056","924.75","-32.5","4.81669967396091"
"E280 1160 6000 0209 6489 5BA3","1583397659777099","924.75","-32.5","4.84124336656708"
"E280 1160 6000 0209 6489 5BA3","1583397659843883","924.75","-33","4.77374821190012"
"E280 1160 6000 0209 6489 5BA3","1583397659868775","924.75","-33","4.75534044244549"
"E280 1160 6000 0209 6489 5BA3","1583397659924690","924.75","-33.5","4.70625305723315"
"E280 1160 6000 0209 6489 5BA3","1583397659959777","926.25","-33.5","4.30741805238288"
"E280 1160 6000 0209 6489 5BA3","1583397660017046","926.25","-34","4.27673843662517"
"E280 1160 6000 0209 6489 5BA3","1583397660034740","926.25","-34","1.11673801358075"
"E280 1160 6000 0209 6489 5BA3","1583397660099248","926.25","-34","4.252194744019"
"E280 1160 6000 0209 6489 5BA3","1583397660124108","926.25","-34","4.24605882086745"
"E280 1160 6000 0209 6489 5BA3","1583397660178939","924.25","-34","4.69398121093006"
"E280 1160 6000 0209 6489 5BA3","1583397660202529","924.25","-34","4.68170936462698"
"E280 1160 6000 0209 6489 5BA3","1583397660257813","924.25","-34","4.63875790256618"
"E280 1160 6000 0209 6489 5BA3","1583397660277297","924.25","-34.5","4.64489382571772"
"E280 1160 6000 0209 6489 5BA3","1583397660338873","924.25","-34.5","4.55899090159613"
"E280 1160 6000 0209 6489 5BA3","1583397660382382","925.75","-35","1.00629139685298"
"E280 1160 6000 0209 6489 5BA3","1583397660438137","925.75","-35.5","4.08038889577581"
"E280 1160 6000 0209 6489 5BA3","1583397660452839","925.75","-35.5","0.926524395882927"
"E280 1160 6000 0209 6489 5BA3","1583397660511724","925.75","-36","3.98221412535112"
"E280 1160 6000 0209 6489 5BA3","1583397660540413","925.75","-36","0.803805932852076"
"E280 1160 6000 0209 6489 5BA3","1583397660602338","927.25","-37","0.368155389092554"
"E280 1160 6000 0209 6489 5BA3","1583397660621448","927.25","-37","0.306796157577128"
"E280 1160 6000 0209 6489 5BA3","1583397660678094","927.25","-37.5","0.220893233455532"
"E280 1160 6000 0209 6489 5BA3","1583397660692978","927.25","-37.5","0.202485464000905"
"E280 1160 6000 0209 6489 5BA3","1583397660762092","927.25","-38","0.104310693576224"
"E280 1160 6000 0209 6489 5BA3","1583397660797236","922.25","-37","1.2824079386724"
"E280 1160 6000 0209 6489 5BA3","1583397660853071","922.25","-37.5","1.22104870715697"
"E280 1160 6000 0209 6489 5BA3","1583397660879523","922.25","-37.5","1.17809724509617"
"E280 1160 6000 0209 6489 5BA3","1583397660935524","922.25","-38","1.06765062836841"
"E280 1160 6000 0209 6489 5BA3","1583397660956035","922.25","-38","1.03697101261069"
"E280 1160 6000 0209 6489 5BA3","1583397661005118","926.75","-39","6.11751538208794"
"E280 1160 6000 0209 6489 5BA3","1583397661042151","926.75","-39.5","6.06229207372405"
"E280 1160 6000 0209 6489 5BA3","1583397661094853","926.75","-39.5","5.95184545699629"
"E280 1160 6000 0209 6489 5BA3","1583397661120281","926.75","-40","5.92730176439012"
"E280 1160 6000 0209 6489 5BA3","1583397661183485","926.75","-40","5.82912699396544"
"E280 1160 6000 0209 6489 5BA3","1583397661215427","923.75","-40","0.257708772364788"
"E280 1160 6000 0209 6489 5BA3","1583397661275829","923.75","-40","0.116582539879309"
"E280 1160 6000 0209 6489 5BA3","1583397661288256","923.75","-40","0.110446616727766"
"E280 1160 6000 0209 6489 5BA3","1583397661349496","923.75","-40.5","6.26477753772496"
"E280 1160 6000 0209 6489 5BA3","1583397661380362","923.75","-40.5","6.18501053675491"
"E280 1160 6000 0209 6489 5BA3","1583397661426003","925.25","-41","5.79231145505618"
"E280 1160 6000 0209 6489 5BA3","1583397661458661","925.25","-41","5.68800076147996"
"E280 1160 6000 0209 6489 5BA3","1583397661511826","925.25","-41","5.62664152996453"
"E280 1160 6000 0209 6489 5BA3","1583397661542969","925.25","-41","5.53460268269139"
"E280 1160 6000 0209 6489 5BA3","1583397661589513","925.25","-41.5","5.43642791226671"
"E280 1160 6000 0209 6489 5BA3","1583397661633094","927.75","-42","4.75534044244549"
"E280 1160 6000 0209 6489 5BA3","1583397661690399","927.75","-42","4.63262197941464"
"E280 1160 6000 0209 6489 5BA3","1583397661708815","927.75","-42","4.59580644050538"
"E280 1160 6000 0209 6489 5BA3","1583397661761682","927.75","-42","4.44854428486836"
"E280 1160 6000 0209 6489 5BA3","1583397661790383","927.75","-42","4.40559282280756"
"E280 1160 6000 0209 6489 5BA3","1583397661843009","923.25","-41.5","5.39347645020591"
"E280 1160 6000 0209 6489 5BA3","1583397661875691","923.25","-41.5","5.3198453723874"
"E280 1160 6000 0209 6489 5BA3","1583397661932762","923.25","-41.5","5.24007837141735"
"E280 1160 6000 0209 6489 5BA3","1583397661955407","923.25","-41.5","5.22780652511427"
"E280 1160 6000 0209 6489 5BA3","1583397662003424","923.25","-41.5","5.12349583153804"
"E280 1160 6000 0209 6489 5BA3","1583397662047258","922.75","-41.5","5.17258321675038"
"E280 1160 6000 0209 6489 5BA3","1583397662100762","922.75","-41.5","5.1173599083865"
"E280 1160 6000 0209 6489 5BA3","1583397662130076","922.75","-41.5","5.09895213893187"
"E280 1160 6000 0209 6489 5BA3","1583397662181774","922.75","-41.5","4.9885055222041"
"E280 1160 6000 0209 6489 5BA3","1583397662200491","922.75","-41.5","4.9885055222041"
"E280 1160 6000 0209 6489 5BA3","1583397662256873","924.75","-41.5","4.38718505335293"
"E280 1160 6000 0209 6489 5BA3","1583397662287385","924.75","-41.5","4.33809766814059"
"E280 1160 6000 0209 6489 5BA3","1583397662344592","924.75","-41.5","4.25833066717054"
"E280 1160 6000 0209 6489 5BA3","1583397662368501","924.75","-41.5","4.21537920510974"
"E280 1160 6000 0209 6489 5BA3","1583397662418837","924.75","-41.5","0.987883627398353"
"E280 1160 6000 0209 6489 5BA3","1583397662463855","926.25","-41.5","0.546097160487288"
"E280 1160 6000 0209 6489 5BA3","1583397662514505","926.25","-41","0.460194236365692"
"E280 1160 6000 0209 6489 5BA3","1583397662542583","926.25","-41","0.423378697456437"
"E280 1160 6000 0209 6489 5BA3","1583397662596080","926.25","-41","0.343611696486384"
"E280 1160 6000 0209 6489 5BA3","1583397662616295","926.25","-41","0.300660234425586"
"E280 1160 6000 0209 6489 5BA3","1583397662676179","924.25","-41","3.89017527807799"
"E280 1160 6000 0209 6489 5BA3","1583397662702482","924.25","-41","0.687223392972767"
"E280 1160 6000 0209 6489 5BA3","1583397662760762","924.25","-41","0.558369006790373"
"E280 1160 6000 0209 6489 5BA3","1583397662783922","924.25","-41","0.497009775274948"
"E280 1160 6000 0209 6489 5BA3","1583397662845244","924.25","-41","0.392699081698724"
"E280 1160 6000 0209 6489 5BA3","1583397662875010","925.75","-41","6.2279619988157"
"E280 1160 6000 0209 6489 5BA3","1583397662932175","925.75","-41","6.13592315154256"
"E280 1160 6000 0209 6489 5BA3","1583397662950673","925.75","-41","2.95751495904352"
"E280 1160 6000 0209 6489 5BA3","1583397663007819","925.75","-41","2.85934018861884"
"E280 1160 6000 0209 6489 5BA3","1583397663032776","925.75","-40.5","5.97638914960246"
"E280 1160 6000 0209 6489 5BA3","1583397663091561","927.25","-40.5","2.3500585670408"
"E280 1160 6000 0209 6489 5BA3","1583397663110059","927.25","-40.5","5.44256383541826"
"E280 1160 6000 0209 6489 5BA3","1583397663171893","927.25","-40.5","2.21506825770687"
"E280 1160 6000 0209 6489 5BA3","1583397663196593","927.25","-40.5","5.30757352608432"
"E280 1160 6000 0209 6489 5BA3","1583397663249394","927.25","-41","2.1046216409791"
"E280 1160 6000 0209 6489 5BA3","1583397663282546","922.25","-41","0.208621387152447"
"E280 1160 6000 0209 6489 5BA3","1583397663338087","922.25","-41","0.128854386182394"
"E280 1160 6000 0209 6489 5BA3","1583397663369713","922.25","-41","0.0674951546669682"
"E280 1160 6000 0209 6489 5BA3","1583397663424469","922.25","-41","6.20341830620953"
"E280 1160 6000 0209 6489 5BA3","1583397663447113","922.25","-41","6.18501053675491"
