"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583398505861988","924.75","-43.5","1.57693224994644"
"E280 1160 6000 0209 6489 5BA3","1583398505919356","924.75","-43.5","1.58306817309798"
"E280 1160 6000 0209 6489 5BA3","1583398505942642","924.75","-43.5","1.58306817309798"
"E280 1160 6000 0209 6489 5BA3","1583398505999192","924.75","-43.5","1.58920409624952"
"E280 1160 6000 0209 6489 5BA3","1583398506014781","924.75","-43.5","1.58920409624952"
"E280 1160 6000 0209 6489 5BA3","1583398506092712","926.25","-43","1.27627201552085"
"E280 1160 6000 0209 6489 5BA3","1583398506118221","926.25","-42.5","1.36217493964245"
"E280 1160 6000 0209 6489 5BA3","1583398506172203","926.25","-42","4.90873852123405"
"E280 1160 6000 0209 6489 5BA3","1583398506196235","926.25","-41.5","2.02485464000905"
"E280 1160 6000 0209 6489 5BA3","1583398506244866","924.25","-41","6.27704938402804"
"E280 1160 6000 0209 6489 5BA3","1583398506271407","924.25","-40.5","3.55883542789469"
"E280 1160 6000 0209 6489 5BA3","1583398506324703","924.25","-41","4.52831128583841"
"E280 1160 6000 0209 6489 5BA3","1583398506361387","924.25","-42","5.17258321675038"
"E280 1160 6000 0209 6489 5BA3","1583398506411017","924.25","-41","6.10524353578485"
"E280 1160 6000 0209 6489 5BA3","1583398506428740","924.25","-40.5","0.128854386182394"
"E280 1160 6000 0209 6489 5BA3","1583398506510211","925.75","-35","1.17809724509617"
"E280 1160 6000 0209 6489 5BA3","1583398506529788","925.75","-33.5","4.57126274789921"
"E280 1160 6000 0209 6489 5BA3","1583398506585668","925.75","-30","5.34438906499357"
"E280 1160 6000 0209 6489 5BA3","1583398506605464","925.75","-29.5","5.47324345117597"
"E280 1160 6000 0209 6489 5BA3","1583398506667247","927.25","-29","5.17871913990192"
"E280 1160 6000 0209 6489 5BA3","1583398506692761","927.25","-29","5.04986475371953"
"E280 1160 6000 0209 6489 5BA3","1583398506747206","927.25","-31","4.5835345942023"
"E280 1160 6000 0209 6489 5BA3","1583398506778748","927.25","-33","4.25833066717054"
"E280 1160 6000 0209 6489 5BA3","1583398506827642","927.25","-37","0.509281621578033"
"E280 1160 6000 0209 6489 5BA3","1583398506858861","922.25","-38.5","1.2394564766116"
"E280 1160 6000 0209 6489 5BA3","1583398506912490","922.25","-41.5","0.21475731030399"
"E280 1160 6000 0209 6489 5BA3","1583398506940532","922.25","-42","5.88435030232932"
"E280 1160 6000 0209 6489 5BA3","1583398507001726","922.25","-41.5","4.71852490353623"
"E280 1160 6000 0209 6489 5BA3","1583398507028000","922.25","-41","4.23378697456437"
"E280 1160 6000 0209 6489 5BA3","1583398507078845","926.75","-41.5","2.28869933552538"
"E280 1160 6000 0209 6489 5BA3","1583398507109172","926.75","-42","2.07394202522139"
"E280 1160 6000 0209 6489 5BA3","1583398507154187","926.75","-42","1.87759248437202"
"E280 1160 6000 0209 6489 5BA3","1583398507191271","926.75","-42","1.98190317794825"
"E280 1160 6000 0209 6489 5BA3","1583398507247031","926.75","-41.5","2.53413626158708"
"E280 1160 6000 0209 6489 5BA3","1583398507276240","923.75","-41.5","3.81040827710793"
"E280 1160 6000 0209 6489 5BA3","1583398507337529","923.75","-42.5","5.09895213893187"
"E280 1160 6000 0209 6489 5BA3","1583398507364828","923.75","-43","5.68186483832841"
"E280 1160 6000 0209 6489 5BA3","1583398507411659","923.75","-42","0.417242774304894"
"E280 1160 6000 0209 6489 5BA3","1583398507437377","923.75","-40","0.883572933822129"
"E280 1160 6000 0209 6489 5BA3","1583398507500056","925.25","-34","4.57739867105075"
"E280 1160 6000 0209 6489 5BA3","1583398507526111","925.25","-32.5","4.95782590644639"
"E280 1160 6000 0209 6489 5BA3","1583398507579265","925.25","-30","5.54687452899448"
"E280 1160 6000 0209 6489 5BA3","1583398507601203","925.25","-30","5.63891337626762"
"E280 1160 6000 0209 6489 5BA3","1583398507665434","925.25","-30.5","5.43029198911517"
"E280 1160 6000 0209 6489 5BA3","1583398507696523","927.75","-31.5","4.50376759323224"
"E280 1160 6000 0209 6489 5BA3","1583398507746393","927.75","-34.5","3.8779034317749"
"E280 1160 6000 0209 6489 5BA3","1583398507774384","927.75","-37","0.343611696486384"
"E280 1160 6000 0209 6489 5BA3","1583398507835634","927.75","-41","5.63277745311607"
"E280 1160 6000 0209 6489 5BA3","1583398507860475","927.75","-41.5","5.11122398523496"
"E280 1160 6000 0209 6489 5BA3","1583398507918773","923.25","-41.5","5.13576767784113"
