"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583399275447252","927.25","-44","5.01304921481028"
"E280 1160 6000 0209 6489 5BA3","1583399275498901","927.25","-44","5.04372883056799"
"E280 1160 6000 0209 6489 5BA3","1583399275514570","927.25","-44","5.06213660002262"
"E280 1160 6000 0209 6489 5BA3","1583399275577119","927.25","-44","5.05600067687107"
"E280 1160 6000 0209 6489 5BA3","1583399275621213","922.25","-43.5","0.0184077694546277"
"E280 1160 6000 0209 6489 5BA3","1583399275671501","922.25","-43.5","0.0184077694546277"
"E280 1160 6000 0209 6489 5BA3","1583399275700501","922.25","-43.5","0.0306796157577128"
"E280 1160 6000 0209 6489 5BA3","1583399275756511","922.25","-44","0.0368155389092554"
"E280 1160 6000 0209 6489 5BA3","1583399275781192","922.25","-44","0.0368155389092554"
"E280 1160 6000 0209 6489 5BA3","1583399275840416","926.75","-44","5.22780652511427"
"E280 1160 6000 0209 6489 5BA3","1583399275860452","926.75","-44","5.24007837141735"
"E280 1160 6000 0209 6489 5BA3","1583399275919303","926.75","-44","5.2032628325081"
"E280 1160 6000 0209 6489 5BA3","1583399275938648","926.75","-44","5.21553467881118"
"E280 1160 6000 0209 6489 5BA3","1583399275988376","926.75","-44","5.2032628325081"
"E280 1160 6000 0209 6489 5BA3","1583399276032277","923.75","-44","5.97638914960246"
"E280 1160 6000 0209 6489 5BA3","1583399276084837","923.75","-44","5.99479691905709"
"E280 1160 6000 0209 6489 5BA3","1583399276104574","923.75","-44","6.0254765348148"
"E280 1160 6000 0209 6489 5BA3","1583399276162308","923.75","-44","6.12978722839102"
"E280 1160 6000 0209 6489 5BA3","1583399276196782","923.75","-44","6.11137945893639"
"E280 1160 6000 0209 6489 5BA3","1583399276253201","925.25","-44","5.68800076147996"
"E280 1160 6000 0209 6489 5BA3","1583399276272461","925.25","-43.5","5.62050560681299"
"E280 1160 6000 0209 6489 5BA3","1583399276326500","925.25","-42.5","5.55914637529756"
"E280 1160 6000 0209 6489 5BA3","1583399276349726","925.25","-42.5","5.53460268269139"
"E280 1160 6000 0209 6489 5BA3","1583399276415850","925.25","-41","5.51005899008522"
"E280 1160 6000 0209 6489 5BA3","1583399276448720","927.75","-40.5","4.82283559711246"
"E280 1160 6000 0209 6489 5BA3","1583399276498376","927.75","-39","4.62648605626309"
"E280 1160 6000 0209 6489 5BA3","1583399276523254","927.75","-39","1.34376717018782"
"E280 1160 6000 0209 6489 5BA3","1583399276590518","927.75","-39","4.11106851153352"
"E280 1160 6000 0209 6489 5BA3","1583399276616805","927.75","-39.5","4.01289374110884"
"E280 1160 6000 0209 6489 5BA3","1583399276665909","923.25","-39.5","5.01918513796182"
"E280 1160 6000 0209 6489 5BA3","1583399276698991","923.25","-40","4.93328221384022"
"E280 1160 6000 0209 6489 5BA3","1583399276759427","923.25","-41","4.77988413505166"
"E280 1160 6000 0209 6489 5BA3","1583399276769565","923.25","-41","4.71852490353623"
"E280 1160 6000 0209 6489 5BA3","1583399276830419","923.25","-41.5","4.5405831321415"
"E280 1160 6000 0209 6489 5BA3","1583399276866076","922.75","-41.5","4.53444720898996"
"E280 1160 6000 0209 6489 5BA3","1583399276930688","922.75","-42","4.39945689965602"
"E280 1160 6000 0209 6489 5BA3","1583399276958319","922.75","-42.5","4.35036951444368"
"E280 1160 6000 0209 6489 5BA3","1583399277003343","922.75","-42.5","4.23378697456437"
"E280 1160 6000 0209 6489 5BA3","1583399277040327","922.75","-42.5","4.14788405044277"
"E280 1160 6000 0209 6489 5BA3","1583399277098673","924.75","-43","3.45452473431846"
"E280 1160 6000 0209 6489 5BA3","1583399277126270","924.75","-43","0.269980618667873"
"E280 1160 6000 0209 6489 5BA3","1583399277182400","924.75","-43","0.269980618667873"
"E280 1160 6000 0209 6489 5BA3","1583399277205627","924.75","-43","3.36248588704533"
"E280 1160 6000 0209 6489 5BA3","1583399277258320","924.75","-43","0.128854386182394"
"E280 1160 6000 0209 6489 5BA3","1583399277299523","926.25","-43.5","5.89048622548086"
"E280 1160 6000 0209 6489 5BA3","1583399277357499","926.25","-43.5","5.74322406984384"
"E280 1160 6000 0209 6489 5BA3","1583399277382979","926.25","-43.5","5.66959299202533"
"E280 1160 6000 0209 6489 5BA3","1583399277429129","926.25","-43.5","2.31324302813155"
"E280 1160 6000 0209 6489 5BA3","1583399277454135","926.25","-43.5","2.19666048825224"
"E280 1160 6000 0209 6489 5BA3","1583399277523288","924.25","-44.5","2.13530125673681"
"E280 1160 6000 0209 6489 5BA3","1583399277542815","924.25","-44.5","2.01258279370596"
"E280 1160 6000 0209 6489 5BA3","1583399277598190","924.25","-44.5","1.36217493964245"
"E280 1160 6000 0209 6489 5BA3","1583399277631918","924.25","-45","0.951068088489098"
"E280 1160 6000 0209 6489 5BA3","1583399277684050","924.25","-45","0.104310693576224"
"E280 1160 6000 0209 6489 5BA3","1583399277721343","925.75","-45","5.29530167978123"
"E280 1160 6000 0209 6489 5BA3","1583399277774575","925.75","-46","4.29514620607979"
"E280 1160 6000 0209 6489 5BA3","1583399277795736","925.75","-47","3.94539858644187"
"E280 1160 6000 0209 6489 5BA3","1583399277862396","925.75","-48.5","6.03774838111788"
"E280 1160 6000 0209 6489 5BA3","1583399277875549","925.75","-49","5.85367068657161"
"E280 1160 6000 0209 6489 5BA3","1583399277941578","927.25","-49.5","1.33149532388474"
"E280 1160 6000 0209 6489 5BA3","1583399277959506","927.25","-50","1.07992247467149"
"E280 1160 6000 0209 6489 5BA3","1583399278025866","927.25","-51","0.0797670009700533"
"E280 1160 6000 0209 6489 5BA3","1583399278052991","927.25","-51.5","6.06229207372405"
"E280 1160 6000 0209 6489 5BA3","1583399278103938","927.25","-51.5","5.51005899008522"
"E280 1160 6000 0209 6489 5BA3","1583399278140005","922.25","-52","0.177941771394734"
"E280 1160 6000 0209 6489 5BA3","1583399278194683","922.25","-52","6.13592315154256"
"E280 1160 6000 0209 6489 5BA3","1583399278223780","922.25","-52","6.09297168948177"
"E280 1160 6000 0209 6489 5BA3","1583399278276729","922.25","-52","5.91502991808703"
"E280 1160 6000 0209 6489 5BA3","1583399278300552","922.25","-52","5.91502991808703"
"E280 1160 6000 0209 6489 5BA3","1583399278356532","926.75","-52","1.51557301843101"
"E280 1160 6000 0209 6489 5BA3","1583399278382965","926.75","-52","4.68170936462698"
"E280 1160 6000 0209 6489 5BA3","1583399278437945","926.75","-52","1.61374778885569"
"E280 1160 6000 0209 6489 5BA3","1583399278466590","926.75","-52","4.828971520264"
"E280 1160 6000 0209 6489 5BA3","1583399278513649","926.75","-52","4.83510744341554"
"E280 1160 6000 0209 6489 5BA3","1583399278536122","926.75","-51.5","4.79829190450629"
"E280 1160 6000 0209 6489 5BA3","1583399278609719","923.75","-52","5.82299107081389"
"E280 1160 6000 0209 6489 5BA3","1583399278626405","923.75","-52","5.84139884026852"
"E280 1160 6000 0209 6489 5BA3","1583399278693446","923.75","-51.5","6.13592315154256"
"E280 1160 6000 0209 6489 5BA3","1583399278719244","923.75","-51.5","6.20955422936108"
"E280 1160 6000 0209 6489 5BA3","1583399278764219","925.25","-51","5.982525072754"
"E280 1160 6000 0209 6489 5BA3","1583399278798647","925.25","-51","6.05002022742097"
"E280 1160 6000 0209 6489 5BA3","1583399278858663","925.25","-50","0.110446616727766"
"E280 1160 6000 0209 6489 5BA3","1583399278876593","925.25","-50","0.147262155637022"
"E280 1160 6000 0209 6489 5BA3","1583399278941678","925.25","-49","0.386563158547182"
"E280 1160 6000 0209 6489 5BA3","1583399278974432","927.75","-48.5","6.12978722839102"
"E280 1160 6000 0209 6489 5BA3","1583399279028229","927.75","-48.5","0.0613592315154256"
"E280 1160 6000 0209 6489 5BA3","1583399279052447","927.75","-48.5","0.153398078788564"
"E280 1160 6000 0209 6489 5BA3","1583399279108890","927.75","-48.5","0.306796157577128"
"E280 1160 6000 0209 6489 5BA3","1583399279139455","927.75","-49","0.312932080728671"
"E280 1160 6000 0209 6489 5BA3","1583399279186769","923.25","-49","1.57693224994644"
"E280 1160 6000 0209 6489 5BA3","1583399279218828","923.25","-49.5","1.58920409624952"
"E280 1160 6000 0209 6489 5BA3","1583399279262963","923.25","-49.5","1.55238855734027"
"E280 1160 6000 0209 6489 5BA3","1583399279292831","923.25","-50","4.61421420996001"
"E280 1160 6000 0209 6489 5BA3","1583399279348066","923.25","-50.5","1.46648563321867"
"E280 1160 6000 0209 6489 5BA3","1583399279391447","922.75","-50","1.53398078788564"
"E280 1160 6000 0209 6489 5BA3","1583399279439308","922.75","-50","1.47875747952176"
"E280 1160 6000 0209 6489 5BA3","1583399279475437","922.75","-50","1.53398078788564"
"E280 1160 6000 0209 6489 5BA3","1583399279531100","922.75","-50.5","1.58306817309798"
"E280 1160 6000 0209 6489 5BA3","1583399279557170","922.75","-50.5","1.61374778885569"
"E280 1160 6000 0209 6489 5BA3","1583399279609878","924.75","-50","1.07992247467149"
"E280 1160 6000 0209 6489 5BA3","1583399279637081","924.75","-50","1.15968947564154"
"E280 1160 6000 0209 6489 5BA3","1583399279685869","924.75","-50","1.26400016921777"
"E280 1160 6000 0209 6489 5BA3","1583399279713902","924.75","-50","1.32535940073319"
"E280 1160 6000 0209 6489 5BA3","1583399279773829","924.75","-50","1.50943709527947"
"E280 1160 6000 0209 6489 5BA3","1583399279811832","926.25","-49.5","1.27013609236931"
"E280 1160 6000 0209 6489 5BA3","1583399279858168","926.25","-49.5","1.49716524897639"
"E280 1160 6000 0209 6489 5BA3","1583399279878664","926.25","-49","1.61988371200724"
"E280 1160 6000 0209 6489 5BA3","1583399279940588","926.25","-48.5","2.0616701789183"
"E280 1160 6000 0209 6489 5BA3","1583399279963886","926.25","-48.5","5.34438906499357"
"E280 1160 6000 0209 6489 5BA3","1583399280019686","924.25","-48.5","0.0920388472731385"
"E280 1160 6000 0209 6489 5BA3","1583399280048791","924.25","-48","0.362019465941011"
"E280 1160 6000 0209 6489 5BA3","1583399280107213","924.25","-47.5","4.06811704947272"
"E280 1160 6000 0209 6489 5BA3","1583399280129617","924.25","-47.5","4.30128212923134"
"E280 1160 6000 0209 6489 5BA3","1583399280182170","924.25","-47","4.83510744341554"
"E280 1160 6000 0209 6489 5BA3","1583399280201622","924.25","-47","5.04372883056799"
"E280 1160 6000 0209 6489 5BA3","1583399280272365","925.75","-46.5","5.35666091129666"
"E280 1160 6000 0209 6489 5BA3","1583399280294093","925.75","-46.5","5.60209783735836"
"E280 1160 6000 0209 6489 5BA3","1583399280356909","925.75","-45.5","0.116582539879309"
"E280 1160 6000 0209 6489 5BA3","1583399280371773","925.75","-45","0.300660234425586"
"E280 1160 6000 0209 6489 5BA3","1583399280441641","927.25","-43","0.828349625458246"
"E280 1160 6000 0209 6489 5BA3","1583399280463100","927.25","-42","1.1106020904292"
"E280 1160 6000 0209 6489 5BA3","1583399280516585","927.25","-40.5","1.80396140655351"
"E280 1160 6000 0209 6489 5BA3","1583399280541279","927.25","-40.5","2.11689348728219"
"E280 1160 6000 0209 6489 5BA3","1583399280593732","927.25","-40","2.69980618667873"
"E280 1160 6000 0209 6489 5BA3","1583399280628965","922.25","-40","4.39332097650448"
"E280 1160 6000 0209 6489 5BA3","1583399280682899","922.25","-40.5","4.92101036753714"
"E280 1160 6000 0209 6489 5BA3","1583399280716216","922.25","-41","5.2032628325081"
"E280 1160 6000 0209 6489 5BA3","1583399280774127","922.25","-41.5","5.62664152996453"
"E280 1160 6000 0209 6489 5BA3","1583399280799546","922.25","-42","5.76163183929847"
"E280 1160 6000 0209 6489 5BA3","1583399280844428","926.75","-42","4.91487444438559"
"E280 1160 6000 0209 6489 5BA3","1583399280870588","926.75","-42.5","5.00077736850719"
"E280 1160 6000 0209 6489 5BA3","1583399280934785","926.75","-42","5.21553467881118"
"E280 1160 6000 0209 6489 5BA3","1583399280961794","926.75","-42","5.24621429456889"
"E280 1160 6000 0209 6489 5BA3","1583399281016825","926.75","-42.5","5.34438906499357"
"E280 1160 6000 0209 6489 5BA3","1583399281052162","923.75","-42","6.03774838111788"
"E280 1160 6000 0209 6489 5BA3","1583399281106087","923.75","-42","6.0254765348148"
"E280 1160 6000 0209 6489 5BA3","1583399281130112","923.75","-42","6.00093284220863"
"E280 1160 6000 0209 6489 5BA3","1583399281182115","923.75","-42","6.00093284220863"
"E280 1160 6000 0209 6489 5BA3","1583399281210894","923.75","-42","5.982525072754"
"E280 1160 6000 0209 6489 5BA3","1583399281267343","925.25","-42","5.6082337605099"
"E280 1160 6000 0209 6489 5BA3","1583399281283644","925.25","-41.5","5.56528229844911"
"E280 1160 6000 0209 6489 5BA3","1583399281343782","925.25","-41","5.4916512206306"
"E280 1160 6000 0209 6489 5BA3","1583399281373252","925.25","-40.5","5.41188421966054"
"E280 1160 6000 0209 6489 5BA3","1583399281425921","925.25","-40","5.35666091129666"
"E280 1160 6000 0209 6489 5BA3","1583399281463114","927.75","-40","4.64489382571772"
"E280 1160 6000 0209 6489 5BA3","1583399281522792","927.75","-39.5","1.36831086279399"
"E280 1160 6000 0209 6489 5BA3","1583399281549789","927.75","-39.5","4.43013651541373"
"E280 1160 6000 0209 6489 5BA3","1583399281600771","927.75","-39.5","1.09219432097458"
"E280 1160 6000 0209 6489 5BA3","1583399281625547","927.75","-40","4.14788405044277"
"E280 1160 6000 0209 6489 5BA3","1583399281678898","923.25","-40","5.17258321675038"
"E280 1160 6000 0209 6489 5BA3","1583399281699472","923.25","-40.5","5.09895213893187"
"E280 1160 6000 0209 6489 5BA3","1583399281760366","923.25","-41.5","4.99464144535565"
"E280 1160 6000 0209 6489 5BA3","1583399281792848","923.25","-42","4.89033075177942"
"E280 1160 6000 0209 6489 5BA3","1583399281839064","923.25","-42","4.71852490353623"
"E280 1160 6000 0209 6489 5BA3","1583399281872273","922.75","-42.5","4.67557344147543"
"E280 1160 6000 0209 6489 5BA3","1583399281933237","922.75","-43","4.31355397553442"
"E280 1160 6000 0209 6489 5BA3","1583399281951731","922.75","-43.5","4.21537920510974"
"E280 1160 6000 0209 6489 5BA3","1583399282007500","922.75","-44","0.711767085578938"
"E280 1160 6000 0209 6489 5BA3","1583399282050623","922.75","-45","0.447922390062607"
"E280 1160 6000 0209 6489 5BA3","1583399282102871","924.75","-45.5","5.90275807178395"
"E280 1160 6000 0209 6489 5BA3","1583399282123712","924.75","-46","5.82912699396544"
"E280 1160 6000 0209 6489 5BA3","1583399282178599","924.75","-46.5","2.51572849213245"
