"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 1160 6000 0209 6489 5BA3","1583395809810775","925.75","-43","2.41755372170777"
"E280 1160 6000 0209 6489 5BA3","1583395809827649","925.75","-43","5.56528229844911"
"E280 1160 6000 0209 6489 5BA3","1583395809890914","925.75","-43","5.55301045214602"
"E280 1160 6000 0209 6489 5BA3","1583395809915461","925.75","-43","2.41755372170777"
"E280 1160 6000 0209 6489 5BA3","1583395809974859","925.75","-43","5.58982599105528"
"E280 1160 6000 0209 6489 5BA3","1583395810012235","927.25","-43","2.0616701789183"
"E280 1160 6000 0209 6489 5BA3","1583395810071469","927.25","-43","2.08621387152447"
"E280 1160 6000 0209 6489 5BA3","1583395810086292","927.25","-43","2.0616701789183"
"E280 1160 6000 0209 6489 5BA3","1583395810154417","927.25","-43","2.09848571782756"
"E280 1160 6000 0209 6489 5BA3","1583395810175773","927.25","-43","2.08007794837293"
"E280 1160 6000 0209 6489 5BA3","1583395810237079","922.25","-43","0.184077694546277"
"E280 1160 6000 0209 6489 5BA3","1583395810257110","922.25","-43","0.208621387152447"
"E280 1160 6000 0209 6489 5BA3","1583395810309987","922.25","-43","0.196349540849362"
"E280 1160 6000 0209 6489 5BA3","1583395810334995","922.25","-43","0.202485464000905"
"E280 1160 6000 0209 6489 5BA3","1583395810390269","922.25","-43","0.196349540849362"
"E280 1160 6000 0209 6489 5BA3","1583395810429599","926.75","-43","5.33211721869049"
"E280 1160 6000 0209 6489 5BA3","1583395810489198","926.75","-43","2.21506825770687"
"E280 1160 6000 0209 6489 5BA3","1583395810505571","926.75","-43","2.20279641140378"
"E280 1160 6000 0209 6489 5BA3","1583395810573822","926.75","-43","2.1905245651007"
"E280 1160 6000 0209 6489 5BA3","1583395810597551","926.75","-43","2.20279641140378"
"E280 1160 6000 0209 6489 5BA3","1583395810653947","923.75","-43","6.11137945893639"
"E280 1160 6000 0209 6489 5BA3","1583395810680145","923.75","-43","6.11751538208794"
"E280 1160 6000 0209 6489 5BA3","1583395810725266","923.75","-43","6.09297168948177"
"E280 1160 6000 0209 6489 5BA3","1583395810755828","923.75","-43","6.09297168948177"
"E280 1160 6000 0209 6489 5BA3","1583395810815897","923.75","-43","6.10524353578485"
"E280 1160 6000 0209 6489 5BA3","1583395810854253","925.25","-43","2.57095180049633"
"E280 1160 6000 0209 6489 5BA3","1583395810907239","925.25","-43","5.73095222354076"
"E280 1160 6000 0209 6489 5BA3","1583395810932298","925.25","-43","2.57708772364788"
"E280 1160 6000 0209 6489 5BA3","1583395810992169","925.25","-43","5.72481630038921"
"E280 1160 6000 0209 6489 5BA3","1583395811007784","925.25","-43","5.70640853093458"
"E280 1160 6000 0209 6489 5BA3","1583395811070181","927.75","-43","5.11122398523496"
"E280 1160 6000 0209 6489 5BA3","1583395811087571","927.75","-43","1.98803910109979"
"E280 1160 6000 0209 6489 5BA3","1583395811154196","927.75","-43","1.97576725479671"
"E280 1160 6000 0209 6489 5BA3","1583395811179411","927.75","-43","1.97576725479671"
"E280 1160 6000 0209 6489 5BA3","1583395811230075","927.75","-43","1.94508763903899"
"E280 1160 6000 0209 6489 5BA3","1583395811270485","923.25","-43","6.23409792196725"
"E280 1160 6000 0209 6489 5BA3","1583395811317875","923.25","-43","6.20955422936108"
"E280 1160 6000 0209 6489 5BA3","1583395811346951","923.25","-43","6.25250569142187"
"E280 1160 6000 0209 6489 5BA3","1583395811408749","923.25","-43","6.2279619988157"
"E280 1160 6000 0209 6489 5BA3","1583395811424596","923.25","-43","6.2279619988157"
"E280 1160 6000 0209 6489 5BA3","1583395811488103","922.75","-43","0.098174770424681"
"E280 1160 6000 0209 6489 5BA3","1583395811511576","922.75","-42.5","0.104310693576224"
"E280 1160 6000 0209 6489 5BA3","1583395811560699","922.75","-42.5","0.0859029241215959"
"E280 1160 6000 0209 6489 5BA3","1583395811591369","922.75","-42.5","0.110446616727766"
"E280 1160 6000 0209 6489 5BA3","1583395811654268","922.75","-42.5","0.104310693576224"
"E280 1160 6000 0209 6489 5BA3","1583395811683531","924.75","-43","5.87821437917778"
"E280 1160 6000 0209 6489 5BA3","1583395811735628","924.75","-42.5","5.87821437917778"
"E280 1160 6000 0209 6489 5BA3","1583395811771163","924.75","-42.5","2.73662172558798"
"E280 1160 6000 0209 6489 5BA3","1583395811826666","924.75","-42.5","5.86594253287469"
"E280 1160 6000 0209 6489 5BA3","1583395811850963","924.75","-42.5","5.8966221486324"
"E280 1160 6000 0209 6489 5BA3","1583395811913154","926.25","-42.5","2.38073818279852"
"E280 1160 6000 0209 6489 5BA3","1583395811935190","926.25","-42.5","5.51619491323677"
"E280 1160 6000 0209 6489 5BA3","1583395811989656","926.25","-42.5","5.52233083638831"
"E280 1160 6000 0209 6489 5BA3","1583395812014950","926.25","-42.5","2.36846633649543"
"E280 1160 6000 0209 6489 5BA3","1583395812072621","926.25","-42.5","2.38687410595006"
"E280 1160 6000 0209 6489 5BA3","1583395812104722","924.25","-42.5","2.87161203492192"
"E280 1160 6000 0209 6489 5BA3","1583395812165255","924.25","-42.5","5.99479691905709"
"E280 1160 6000 0209 6489 5BA3","1583395812182441","924.25","-42.5","2.88388388122501"
"E280 1160 6000 0209 6489 5BA3","1583395812248307","924.25","-42.5","6.01320468851171"
"E280 1160 6000 0209 6489 5BA3","1583395812271745","924.25","-42.5","6.0254765348148"
"E280 1160 6000 0209 6489 5BA3","1583395812326113","925.75","-42.5","2.49732072267782"
"E280 1160 6000 0209 6489 5BA3","1583395812349825","925.75","-42.5","2.52186441528399"
"E280 1160 6000 0209 6489 5BA3","1583395812415191","925.75","-42.5","5.63891337626762"
"E280 1160 6000 0209 6489 5BA3","1583395812436519","925.75","-42.5","2.50345664582937"
"E280 1160 6000 0209 6489 5BA3","1583395812495685","925.75","-42.5","2.48504887637474"
"E280 1160 6000 0209 6489 5BA3","1583395812527084","927.25","-42.5","2.1475731030399"
"E280 1160 6000 0209 6489 5BA3","1583395812586795","927.25","-42.5","5.27075798717506"
"E280 1160 6000 0209 6489 5BA3","1583395812614255","927.25","-42.5","2.1475731030399"
"E280 1160 6000 0209 6489 5BA3","1583395812658580","927.25","-42.5","5.27689391032661"
"E280 1160 6000 0209 6489 5BA3","1583395812687401","927.25","-42.5","5.28916575662969"
"E280 1160 6000 0209 6489 5BA3","1583395812751646","922.25","-42.5","3.3870295796515"
"E280 1160 6000 0209 6489 5BA3","1583395812765066","922.25","-42.5","0.282252464970958"
"E280 1160 6000 0209 6489 5BA3","1583395812836722","922.25","-42.5","0.269980618667873"
"E280 1160 6000 0209 6489 5BA3","1583395812851733","922.25","-42.5","0.288388388122501"
"E280 1160 6000 0209 6489 5BA3","1583395812915634","922.25","-42.5","0.251572849213245"
"E280 1160 6000 0209 6489 5BA3","1583395812946874","926.75","-42.5","5.42415606596363"
"E280 1160 6000 0209 6489 5BA3","1583395812996415","926.75","-42.5","2.27029156607075"
"E280 1160 6000 0209 6489 5BA3","1583395813022641","926.75","-42.5","2.27642748922229"
"E280 1160 6000 0209 6489 5BA3","1583395813086131","926.75","-42.5","5.41188421966054"
"E280 1160 6000 0209 6489 5BA3","1583395813107814","926.75","-42.5","2.28256341237383"
"E280 1160 6000 0209 6489 5BA3","1583395813168811","923.75","-42.5","6.19114645990645"
"E280 1160 6000 0209 6489 5BA3","1583395813192185","923.75","-42.5","6.17273869045182"
