"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405280752","924.75","-48.5","4.22151512826128"
"E200 9366 C6B6 5571 9071 BD55","1580902405305260","924.75","-49","0.128854386182394"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405337314","924.75","-48.5","4.22765105141283"
"E200 9366 C6B6 5571 9071 BD55","1580902405350546","924.75","-49","0.110446616727766"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405414577","924.75","-48.5","4.252194744019"
"E200 9366 C6B6 5571 9071 BD55","1580902405430642","924.75","-49","0.0859029241215959"
"E200 9366 C6B6 5571 9071 BD55","1580902405453642","924.75","-49","0.122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405494868","926.75","-49","3.73677719928942"
"E200 9366 C6B6 5571 9071 BD55","1580902405556447","926.75","-49.5","5.9395736106932"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405573113","926.75","-49","3.9208548938357"
"E200 9366 C6B6 5571 9071 BD55","1580902405596510","926.75","-49.5","6.01320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405618665","926.75","-49","3.98835004850267"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405672891","926.75","-49","4.1662918198974"
"E200 9366 C6B6 5571 9071 BD55","1580902405705149","923.25","-49","1.07378655151995"
"E200 9366 C6B6 5571 9071 BD55","1580902405728180","923.25","-49","1.13514578303537"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405744847","923.25","-48.5","5.17258321675038"
"E200 9366 C6B6 5571 9071 BD55","1580902405808619","923.25","-49","1.35603901649091"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405827899","923.25","-48.5","5.34438906499357"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405851477","923.25","-48.5","5.405748296509"
"E200 9366 C6B6 5571 9071 BD55","1580902405872261","923.25","-49","1.55852448049181"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902405937027","922.25","-49","5.92116584123858"
"E200 9366 C6B6 5571 9071 BD55","1580902405957117","922.25","-48.5","2.11689348728219"
"E200 9366 C6B6 5571 9071 BD55","1580902405985676","922.25","-48.5","2.23347602716149"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406000978","922.25","-49","6.14819499784565"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406061858","922.25","-49.5","0.098174770424681"
"E200 9366 C6B6 5571 9071 BD55","1580902406103549","925.75","-49","1.58306817309798"
"E200 9366 C6B6 5571 9071 BD55","1580902406135038","925.75","-49.5","1.65669925091649"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406151112","925.75","-50","5.54687452899448"
"E200 9366 C6B6 5571 9071 BD55","1580902406200130","925.75","-50","1.86532063806894"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406224407","925.75","-51","5.71254445408613"
"E200 9366 C6B6 5571 9071 BD55","1580902406248486","925.75","-51","1.98803910109979"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406263547","925.75","-51","5.70027260778304"
"E200 9366 C6B6 5571 9071 BD55","1580902406322827","927.75","-52.5","1.63829148146186"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406341222","927.75","-51.5","4.93941813699176"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406375706","927.75","-52","4.80442782765783"
"E200 9366 C6B6 5571 9071 BD55","1580902406391770","927.75","-53.5","1.80396140655351"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406448318","927.75","-52.5","4.37491320704985"
"E200 9366 C6B6 5571 9071 BD55","1580902406463723","927.75","-54.5","1.8591847149174"
"E200 9366 C6B6 5571 9071 BD55","1580902406495243","927.75","-54.5","1.81009732970506"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406519163","924.25","-52","4.8719229823248"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406576165","924.25","-52","4.43013651541373"
"E200 9366 C6B6 5571 9071 BD55","1580902406599441","924.25","-54.5","2.4789129532232"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406633476","924.25","-52","3.95767043274495"
"E200 9366 C6B6 5571 9071 BD55","1580902406648242","924.25","-54.5","2.21506825770687"
"E200 9366 C6B6 5571 9071 BD55","1580902406723092","927.25","-56.5","0.681087469821225"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406746904","927.25","-53","1.96963133164516"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406776859","927.25","-53","1.67510702037112"
"E200 9366 C6B6 5571 9071 BD55","1580902406793936","927.25","-59","6.21569015251262"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406848823","927.25","-54","0.969475857943725"
"E200 9366 C6B6 5571 9071 BD55","1580902406866643","927.25","-61.5","5.28916575662969"
"E200 9366 C6B6 5571 9071 BD55","1580902406925307","922.75","-62","5.61436968366145"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902406941695","922.75","-54.5","1.42353417115788"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407003063","922.75","-56","0.724038931882023"
"E200 9366 C6B6 5571 9071 BD55","1580902407019374","922.75","-63","0.846757394912874"
"E200 9366 C6B6 5571 9071 BD55","1580902407045905","922.75","-62.5","0.45405831321415"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407066097","922.75","-57.5","6.16046684414874"
"E200 9366 C6B6 5571 9071 BD55","1580902407133575","925.25","-61.5","1.94508763903899"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407150221","925.25","-58","1.55852448049181"
"E200 9366 C6B6 5571 9071 BD55","1580902407180598","925.25","-61","1.61374778885569"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407194679","925.25","-58","1.21491278400543"
"E200 9366 C6B6 5571 9071 BD55","1580902407254265","925.25","-61","1.30695163127857"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407267958","925.25","-57","0.699495239275852"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407303238","925.25","-56.5","0.447922390062607"
"E200 9366 C6B6 5571 9071 BD55","1580902407329760","926.25","-62","0.47860200582032"
"E200 9366 C6B6 5571 9071 BD55","1580902407382567","926.25","-62.5","0.0859029241215959"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407400142","926.25","-54.5","6.07456392002714"
"E200 9366 C6B6 5571 9071 BD55","1580902407428370","926.25","-63","5.90275807178395"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407446551","926.25","-54","5.97025322645092"
"E200 9366 C6B6 5571 9071 BD55","1580902407530096","923.75","-62","6.00706876536017"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407550039","923.75","-52","0.490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407577076","923.75","-51.5","0.509281621578033"
"E200 9366 C6B6 5571 9071 BD55","1580902407593141","923.75","-60.5","5.70640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407647900","923.75","-51","3.87176750862336"
"E200 9366 C6B6 5571 9071 BD55","1580902407669345","923.75","-58.5","5.68800076147996"
"E200 9366 C6B6 5571 9071 BD55","1580902407692915","923.75","-58","5.80458330135927"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407737829","924.75","-50","4.07425297262426"
"E200 9366 C6B6 5571 9071 BD55","1580902407799005","924.75","-55.5","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407812759","924.75","-49","4.38718505335293"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407840333","924.75","-49","4.51603943953533"
"E200 9366 C6B6 5571 9071 BD55","1580902407859135","924.75","-54.5","6.27704938402804"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407927401","926.75","-48.5","4.25833066717054"
"E200 9366 C6B6 5571 9071 BD55","1580902407944060","926.75","-54.5","6.13592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902407967567","926.75","-48.5","4.40559282280756"
"E200 9366 C6B6 5571 9071 BD55","1580902407990512","926.75","-54","0.098174770424681"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408048007","926.75","-48.5","4.63875790256618"
"E200 9366 C6B6 5571 9071 BD55","1580902408063293","926.75","-53.5","0.638136007760427"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408091138","926.75","-48.5","4.7430685961424"
"E200 9366 C6B6 5571 9071 BD55","1580902408132659","923.25","-51.5","2.01258279370596"
"E200 9366 C6B6 5571 9071 BD55","1580902408187116","923.25","-51","2.36846633649543"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408202369","923.25","-48","6.16660276730028"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408244034","923.25","-48","0.128854386182394"
"E200 9366 C6B6 5571 9071 BD55","1580902408258108","923.25","-50.5","5.96411730329937"
"E200 9366 C6B6 5571 9071 BD55","1580902408340246","922.25","-49.5","3.69382573722862"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408353717","922.25","-47.5","1.14128170618692"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408385800","922.25","-47.5","1.36217493964245"
"E200 9366 C6B6 5571 9071 BD55","1580902408401298","922.25","-49","4.11106851153352"
"E200 9366 C6B6 5571 9071 BD55","1580902408453816","922.25","-48.5","4.40559282280756"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408473694","922.25","-47.5","1.98803910109979"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408503406","922.25","-47.5","2.22734010400995"
"E200 9366 C6B6 5571 9071 BD55","1580902408544745","925.75","-48.5","3.91471897068416"
"E200 9366 C6B6 5571 9071 BD55","1580902408601007","925.75","-48.5","4.25833066717054"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408621059","925.75","-48","2.01258279370596"
"E200 9366 C6B6 5571 9071 BD55","1580902408645156","925.75","-48.5","4.52831128583841"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408668888","925.75","-48.5","2.35619449019234"
"E200 9366 C6B6 7BF1 9071 BDEF","1580902408723370","925.75","-48.5","2.76116541819415"
