"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890288778580","922.75","-38.5","6.17887461360336"
"E200 9366 C6B6 5571 9071 BD55","1580890288794587","922.75","-42","5.79844737820772"
"E200 9366 C6B6 5571 9071 BD55","1580890288860431","922.75","-42","5.79844737820772"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890288874942","922.75","-38.5","6.19114645990645"
"E200 9366 C6B6 5571 9071 BD55","1580890288895969","922.75","-42","5.7800396087531"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890288913695","922.75","-38.5","6.18501053675491"
"E200 9366 C6B6 5571 9071 BD55","1580890288972955","925.25","-42","5.03759290741645"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890288986141","925.25","-39","2.35619449019234"
"E200 9366 C6B6 5571 9071 BD55","1580890289015197","925.25","-42","5.04372883056799"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289036079","925.25","-39","2.3500585670408"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289099277","925.25","-39","2.31937895128309"
"E200 9366 C6B6 5571 9071 BD55","1580890289116215","925.25","-42","4.97009775274948"
"E200 9366 C6B6 5571 9071 BD55","1580890289137728","925.25","-42","4.95782590644639"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289171524","926.25","-39","2.01258279370596"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289229095","926.25","-39.5","1.94508763903899"
"E200 9366 C6B6 5571 9071 BD55","1580890289247662","926.25","-42","4.54671905529304"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289274271","926.25","-39.5","1.9021361769782"
"E200 9366 C6B6 5571 9071 BD55","1580890289290594","926.25","-42","4.4976316700807"
"E200 9366 C6B6 5571 9071 BD55","1580890289378304","923.75","-42.5","5.08668029262879"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289392869","923.75","-39.5","2.33778672073772"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289416210","923.75","-39.5","5.4486997585698"
"E200 9366 C6B6 5571 9071 BD55","1580890289437346","923.75","-42.5","4.97623367590102"
"E200 9366 C6B6 5571 9071 BD55","1580890289490742","923.75","-42.5","4.84124336656708"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289512033","923.75","-40","2.11689348728219"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289547042","923.75","-40","2.07394202522139"
"E200 9366 C6B6 5571 9071 BD55","1580890289570924","924.75","-43","4.38718505335293"
"E200 9366 C6B6 5571 9071 BD55","1580890289630143","924.75","-43","4.32582582183751"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289646920","924.75","-40.5","1.67510702037112"
"E200 9366 C6B6 5571 9071 BD55","1580890289670967","924.75","-43.5","4.24605882086745"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289686176","924.75","-40.5","1.60761186570415"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289744174","924.75","-41","1.53398078788564"
"E200 9366 C6B6 5571 9071 BD55","1580890289780322","926.75","-44","3.49134027322772"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289813031","926.75","-41.5","1.01856324315607"
"E200 9366 C6B6 5571 9071 BD55","1580890289829318","926.75","-44","3.46679658062155"
"E200 9366 C6B6 5571 9071 BD55","1580890289888107","926.75","-44.5","3.36862181019687"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289903456","926.75","-41.5","0.926524395882927"
"E200 9366 C6B6 5571 9071 BD55","1580890289924726","926.75","-44.5","3.31339850183298"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890289943777","926.75","-42","0.9081166264283"
"E200 9366 C6B6 5571 9071 BD55","1580890290017595","923.25","-44.5","4.17856366620049"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290035281","923.25","-41.5","1.62601963515878"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290062016","923.25","-41.5","1.60147594255261"
"E200 9366 C6B6 5571 9071 BD55","1580890290075536","923.25","-44.5","4.09266074207889"
"E200 9366 C6B6 5571 9071 BD55","1580890290132818","923.25","-44.5","4.00062189480575"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290177889","922.25","-41.5","1.71192255928038"
"E200 9366 C6B6 5571 9071 BD55","1580890290210609","922.25","-45","4.16015589674586"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290226101","922.25","-41.5","1.66897109721958"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290286665","922.25","-42","1.60147594255261"
"E200 9366 C6B6 5571 9071 BD55","1580890290299790","922.25","-45","4.0067578179573"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290327074","922.25","-42","1.54625263418873"
"E200 9366 C6B6 5571 9071 BD55","1580890290342603","922.25","-45.5","3.9638063558965"
"E200 9366 C6B6 5571 9071 BD55","1580890290400711","925.75","-46","2.85934018861884"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290424565","925.75","-43","0.619728238305799"
"E200 9366 C6B6 5571 9071 BD55","1580890290447372","925.75","-46","5.9395736106932"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290468038","925.75","-43","0.589048622548086"
"E200 9366 C6B6 5571 9071 BD55","1580890290521378","925.75","-46","5.84753476342006"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290541168","925.75","-43.5","0.527689391032661"
"E200 9366 C6B6 5571 9071 BD55","1580890290566512","925.75","-46","5.7800396087531"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290610398","927.75","-44","6.26477753772496"
"E200 9366 C6B6 5571 9071 BD55","1580890290670927","927.75","-46.5","1.96963133164516"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290688556","927.75","-44","6.17273869045182"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290716870","927.75","-44","6.14819499784565"
"E200 9366 C6B6 5571 9071 BD55","1580890290733782","927.75","-46.5","1.86532063806894"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290810904","924.25","-43.5","0.582912699396544"
"E200 9366 C6B6 5571 9071 BD55","1580890290825626","924.25","-46.5","2.6813984172241"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290854286","924.25","-44","0.527689391032661"
"E200 9366 C6B6 5571 9071 BD55","1580890290869087","924.25","-47","2.62003918570868"
"E200 9366 C6B6 5571 9071 BD55","1580890290923958","924.25","-47","5.66959299202533"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890290948982","924.25","-44","0.411106851153352"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890291004164","927.25","-44.5","5.95184545699629"
"E200 9366 C6B6 5571 9071 BD55","1580890291018172","927.25","-47","1.65056332776495"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890291079595","927.25","-44.5","5.87207845602623"
"E200 9366 C6B6 5571 9071 BD55","1580890291094995","927.25","-47.5","1.54011671103718"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890291115077","927.25","-44.5","5.82912699396544"
"E200 9366 C6B6 5571 9071 BD55","1580890291135763","927.25","-47.5","1.50330117212793"
"E200 9366 C6B6 7BF1 9071 BDEF","1580890291206851","922.75","-44","0.490873852123405"
"E200 9366 C6B6 5571 9071 BD55","1580890291223858","922.75","-47.5","2.54027218473862"
