"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088240848","924.75","-53","2.69980618667873"
"E200 9366 C6B6 5571 9071 BD55","1580893088255634","924.75","-56.5","4.79215598135474"
"E200 9366 C6B6 5571 9071 BD55","1580893088288195","924.75","-56","4.98236959905256"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088303619","924.75","-53","2.6384469551633"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088356043","924.75","-52.5","5.77390368560155"
"E200 9366 C6B6 5571 9071 BD55","1580893088378721","924.75","-56","4.93941813699176"
"E200 9366 C6B6 5571 9071 BD55","1580893088402301","924.75","-56","4.87805890547634"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088447199","926.75","-53.5","1.95735948534208"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088503603","926.75","-53.5","2.00644687055442"
"E200 9366 C6B6 5571 9071 BD55","1580893088520593","926.75","-56.5","4.01289374110884"
"E200 9366 C6B6 5571 9071 BD55","1580893088548305","926.75","-56.5","3.9638063558965"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088568782","926.75","-53.5","2.09848571782756"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088654601","923.25","-53.5","0.0859029241215959"
"E200 9366 C6B6 5571 9071 BD55","1580893088670112","923.25","-57.5","5.38120460390283"
"E200 9366 C6B6 5571 9071 BD55","1580893088694269","923.25","-57.5","5.45483568172134"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088710425","923.25","-54","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088779872","923.25","-55","6.09297168948177"
"E200 9366 C6B6 5571 9071 BD55","1580893088795900","923.25","-58","5.6941366846315"
"E200 9366 C6B6 5571 9071 BD55","1580893088819471","923.25","-58","5.6941366846315"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088861829","922.25","-55","0.202485464000905"
"E200 9366 C6B6 5571 9071 BD55","1580893088921744","922.25","-58","6.14205907469411"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088941591","922.25","-55","0.233165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893088963467","922.25","-55","0.306796157577128"
"E200 9366 C6B6 5571 9071 BD55","1580893088982663","922.25","-58","6.21569015251262"
"E200 9366 C6B6 5571 9071 BD55","1580893089070851","925.75","-57","5.00077736850719"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089083871","925.75","-54","5.982525072754"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089106169","925.75","-53.5","6.10524353578485"
"E200 9366 C6B6 5571 9071 BD55","1580893089132641","925.75","-55.5","4.76761228874857"
"E200 9366 C6B6 5571 9071 BD55","1580893089185860","925.75","-54.5","4.62648605626309"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089208535","925.75","-51.5","2.7243498792849"
"E200 9366 C6B6 5571 9071 BD55","1580893089236323","925.75","-54","4.50990351638379"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089276865","927.75","-51.5","2.00031094740288"
"E200 9366 C6B6 5571 9071 BD55","1580893089332842","927.75","-54.5","3.85335973916873"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089348259","927.75","-52","2.08007794837293"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089383888","927.75","-52.5","2.1905245651007"
"E200 9366 C6B6 5571 9071 BD55","1580893089399326","927.75","-55.5","3.95153450959341"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089482251","924.25","-54.5","6.01320468851171"
"E200 9366 C6B6 5571 9071 BD55","1580893089496260","924.25","-57.5","5.27075798717506"
"E200 9366 C6B6 5571 9071 BD55","1580893089527273","924.25","-58","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089542751","924.25","-55.5","2.30097118182846"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089602754","924.25","-56","1.9021361769782"
"E200 9366 C6B6 5571 9071 BD55","1580893089619310","924.25","-57.5","4.95782590644639"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089644782","924.25","-56","1.9021361769782"
"E200 9366 C6B6 5571 9071 BD55","1580893089690768","927.25","-57.5","4.07425297262426"
"E200 9366 C6B6 7BF1 9071 BDEF","1580893089742633","927.25","-56.5","1.40512640170325"
