"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900040821961","924.75","-52","4.76761228874857"
"E200 9366 C6B6 5571 9071 BD55","1580900040837418","924.75","-54.5","0.601320468851171"
"E200 9366 C6B6 5571 9071 BD55","1580900040892390","924.75","-54.5","0.601320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900040912378","924.75","-52","4.76147636559703"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900040943428","924.75","-52","4.74920451929395"
"E200 9366 C6B6 5571 9071 BD55","1580900040958076","924.75","-54.5","0.589048622548086"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041015592","926.75","-52.5","4.16015589674586"
"E200 9366 C6B6 5571 9071 BD55","1580900041031644","926.75","-55","6.23409792196725"
"E200 9366 C6B6 5571 9071 BD55","1580900041064195","926.75","-55","0"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041080469","926.75","-52.5","4.20310735880666"
"E200 9366 C6B6 5571 9071 BD55","1580900041141875","926.75","-55","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041157274","926.75","-52.5","4.21537920510974"
"E200 9366 C6B6 5571 9071 BD55","1580900041180653","926.75","-55","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041215001","923.25","-52","5.1173599083865"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041273932","923.25","-51.5","5.13576767784113"
"E200 9366 C6B6 5571 9071 BD55","1580900041291041","923.25","-54","1.14741762933846"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041321467","923.25","-51.5","5.24621429456889"
"E200 9366 C6B6 5571 9071 BD55","1580900041336861","923.25","-54","1.1965050145508"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041416794","922.25","-51.5","5.7370881466923"
"E200 9366 C6B6 5571 9071 BD55","1580900041436393","922.25","-54","1.60761186570415"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041459687","922.25","-51.5","5.78617553190464"
"E200 9366 C6B6 5571 9071 BD55","1580900041479857","922.25","-54","1.71805848243192"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041533952","922.25","-51.5","5.82299107081389"
"E200 9366 C6B6 5571 9071 BD55","1580900041554265","922.25","-54.5","1.71805848243192"
"E200 9366 C6B6 5571 9071 BD55","1580900041585276","922.25","-54.5","1.69351478982575"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041627570","925.75","-52","4.71852490353623"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041683472","925.75","-52","4.58967051735384"
"E200 9366 C6B6 5571 9071 BD55","1580900041698350","925.75","-56.5","0.466330159517235"
"E200 9366 C6B6 5571 9071 BD55","1580900041729027","925.75","-56.5","0.331339850183298"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041744248","925.75","-52.5","4.35036951444368"
"E200 9366 C6B6 5571 9071 BD55","1580900041799026","925.75","-58","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041844499","927.75","-54","3.24590334716602"
"E200 9366 C6B6 5571 9071 BD55","1580900041875778","927.75","-60","5.20939875565964"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041892637","927.75","-54","6.16046684414874"
"E200 9366 C6B6 5571 9071 BD55","1580900041956547","927.75","-61.5","4.77374821190012"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041971044","927.75","-54.5","2.70594210983027"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900041994611","927.75","-55","5.73095222354076"
"E200 9366 C6B6 5571 9071 BD55","1580900042012358","927.75","-62","4.58967051735384"
"E200 9366 C6B6 5571 9071 BD55","1580900042083562","924.25","-63","5.59596191420682"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042098826","924.25","-55","0.196349540849362"
"E200 9366 C6B6 5571 9071 BD55","1580900042126812","924.25","-63.5","5.39347645020591"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042142967","924.25","-55.5","0.147262155637022"
"E200 9366 C6B6 5571 9071 BD55","1580900042201204","924.25","-63.5","5.41802014281208"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042246003","927.25","-55.5","2.24574787346458"
"E200 9366 C6B6 5571 9071 BD55","1580900042269818","927.25","-63.5","4.4117287459591"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042286676","927.25","-55.5","2.25801971976766"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042347780","927.25","-55.5","2.23961195031304"
"E200 9366 C6B6 5571 9071 BD55","1580900042367327","927.25","-63.5","4.38104913020139"
"E200 9366 C6B6 5571 9071 BD55","1580900042393442","927.25","-62.5","4.27673843662517"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042409540","927.25","-55.5","2.12916533358527"
"E200 9366 C6B6 5571 9071 BD55","1580900042471925","922.75","-62.5","5.58369006790373"
"E200 9366 C6B6 7BF1 9071 BDEF","1580900042486475","922.75","-54.5","0.21475731030399"
