"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380490838568","923.25","-57.5","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380490867210","923.25","-57","5.17258321675038"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380490944822","923.25","-57.5","5.22167060196272"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380490967067","923.25","-57","5.14803952414421"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491033373","922.75","-57.5","5.22780652511427"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491077011","922.75","-57.5","5.27075798717506"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491141639","922.75","-57.5","5.28916575662969"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491178805","922.75","-57","5.27689391032661"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491236419","927.75","-58","0.638136007760427"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491277118","927.75","-58","0.441786466911065"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491335355","927.75","-58.5","0.472466082668777"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491378533","927.75","-58","0.441786466911065"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491443854","926.75","-58","4.09266074207889"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491466864","926.75","-58","0.901980703276757"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491541889","926.75","-58","0.877437010670587"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491578239","926.75","-58","3.82881604656256"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491637567","922.25","-57.5","5.43029198911517"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491669689","922.25","-57","5.29530167978123"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491739325","922.25","-57.5","5.3198453723874"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491776551","922.25","-57.5","5.2032628325081"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491849566","925.25","-58","4.49149574692916"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491878798","925.25","-57.5","4.52831128583841"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491943229","925.25","-57.5","4.33809766814059"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380491980436","925.25","-57.5","4.42400059226219"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492037309","927.25","-58","3.66928204462245"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492084458","927.25","-58","0.840621471761331"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492144562","927.25","-58","3.5895150436524"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492183730","927.25","-58","3.49134027322772"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492251595","925.75","-58","4.20310735880666"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492281672","925.75","-58","4.18469958935203"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492351017","925.75","-57.5","4.47308797747453"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492379381","925.75","-57.5","4.29514620607979"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492438913","923.75","-57.5","1.79168956025043"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492488021","923.75","-57.5","4.93328221384022"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492554075","923.75","-57.5","5.01304921481028"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492590799","923.75","-57.5","5.12963175468958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492649323","926.25","-58","1.00629139685298"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492689275","926.25","-58","1.11673801358075"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492750630","926.25","-58","0.895844780125214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492780657","926.25","-57.5","4.08652481892735"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492859531","924.25","-57.5","4.70625305723315"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492882062","924.25","-57.5","4.79829190450629"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492952578","924.25","-57.5","4.76761228874857"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380492993001","924.25","-57","4.76761228874857"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493056932","924.75","-58","4.69398121093006"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493088660","924.75","-58","4.65102974886926"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493155146","924.75","-58","4.44854428486836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493192900","924.75","-57.5","1.41126232485479"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493266685","923.25","-57.5","5.22167060196272"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493295883","923.25","-57.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493359079","923.25","-57.5","5.13576767784113"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493401244","923.25","-57.5","5.09895213893187"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493466068","922.75","-58","5.25848614087198"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493498832","922.75","-58","5.26462206402352"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493561413","922.75","-57.5","5.16644729359884"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493602563","922.75","-57.5","5.32598129553895"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493669210","927.75","-58.5","3.39316550280304"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493700571","927.75","-58.5","0.411106851153352"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493766919","927.75","-58","0.45405831321415"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493805265","927.75","-58.5","0.582912699396544"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493873954","926.75","-58","0.883572933822129"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493913351","926.75","-58","0.748582624488193"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380493977468","926.75","-58","3.97607820219958"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494005682","926.75","-58","3.9208548938357"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494078182","922.25","-57.5","5.38120460390283"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494119251","922.25","-57","5.64504929941916"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494184401","922.25","-57.5","5.36893275759974"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494216064","922.25","-57.5","5.49778714378214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494280925","925.25","-57.5","4.61421420996001"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494316880","925.25","-57","4.34423359129214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494378570","925.25","-57.5","4.46695205432299"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494414476","925.25","-57.5","4.48535982377761"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494490383","927.25","-58","0.601320468851171"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494525958","927.25","-58.5","3.68768981407708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494579567","927.25","-58","0.490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494624688","927.25","-58.5","3.79200050765331"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494678318","925.75","-57.5","4.36877728389831"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494727940","925.75","-58","1.01856324315607"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494787472","925.75","-58","4.21537920510974"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494827646","925.75","-57.5","4.252194744019"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494890744","923.75","-57.5","4.97009775274948"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494933549","923.75","-57.5","4.86578705917325"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380494991974","923.75","-57.5","4.89033075177942"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495024760","923.75","-58","5.04986475371953"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495102269","926.25","-57.5","0.994019550549895"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495133223","926.25","-58","4.0067578179573"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495201379","926.25","-58","0.9081166264283"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495229793","926.25","-57.5","1.03083508945915"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495293388","924.25","-57","4.81056375080937"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495329713","924.25","-57.5","4.77374821190012"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495400164","924.25","-57.5","4.85965113602171"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495435594","924.25","-57.5","4.79829190450629"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495505933","924.75","-58","4.85351521287017"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495543692","924.75","-57.5","4.70625305723315"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495605678","924.75","-58","4.66330159517235"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495632306","924.75","-58","4.74920451929395"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495710712","923.25","-57.5","4.97623367590102"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495745217","923.25","-57.5","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495808603","923.25","-57.5","5.09281621578033"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495838294","923.25","-57.5","5.09895213893187"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495904731","922.75","-57.5","5.27075798717506"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380495941528","922.75","-58","5.17871913990192"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496007081","922.75","-57.5","5.14190360099267"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496048059","922.75","-57.5","5.23394244826581"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496115263","927.75","-58","0.490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496149437","927.75","-58.5","0.521553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496211903","927.75","-58.5","3.65701019831937"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496239889","927.75","-58.5","3.68768981407708"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496308227","926.75","-58","0.638136007760427"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496357120","926.75","-58","0.730174855033565"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496418031","926.75","-58","0.901980703276757"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496450958","926.75","-58","0.662679700366597"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496512406","922.25","-57.5","5.41802014281208"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496554198","922.25","-57.5","5.46710752802443"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496627955","922.25","-57","5.31370944923586"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496650766","922.25","-57.5","5.39347645020591"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496718677","925.25","-58","4.53444720898996"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496755968","925.25","-58","1.15355355249"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496819976","925.25","-57.5","4.52831128583841"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496860489","925.25","-58","4.57739867105075"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496915828","927.25","-58","0.699495239275852"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380496953297","927.25","-58","0.797670009700533"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497021677","927.25","-58.5","0.662679700366597"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497058367","927.25","-58","0.730174855033565"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497133590","925.75","-57.5","4.34423359129214"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497167590","925.75","-57.5","4.44854428486836"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497220776","925.75","-57","4.31968989868597"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497259458","925.75","-57.5","4.40559282280756"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497322277","923.75","-57","5.00691329165873"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497367960","923.75","-57.5","5.01918513796182"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497433163","923.75","-57.5","5.08054436947724"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497472307","923.75","-57.5","4.97623367590102"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497534074","926.25","-58","4.08652481892735"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497564413","926.25","-57.5","4.10493258838198"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497628451","926.25","-58","4.28287435977671"
"E200 9366 C6B6 7BF1 9071 BDEF","1578380497671071","926.25","-58","4.00062189480575"
