"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097826777","927.75","-56.5","0.042951462060798"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097835273","927.75","-56.5","0.0398835004850267"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097871435","927.75","-56.5","6.14205907469411"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097882999","927.75","-56.5","6.16660276730028"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097917683","927.75","-57","6.14512703626988"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097927546","927.75","-56.5","6.20035034463376"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097964571","927.75","-57","6.07456392002714"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493097972342","927.75","-56.5","2.90229165067963"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098013139","927.75","-57","6.10217557420908"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098028889","923.25","-56.5","1.04003897418646"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098066221","923.25","-56.5","4.18469958935203"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098075211","923.25","-56.5","1.02163120473184"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098110211","923.25","-56.5","4.15095201201854"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098119727","923.25","-56.5","1.01242732000452"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098158764","923.25","-56.5","0.944932165337555"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098167538","923.25","-56.5","0.972543819519497"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098205712","923.25","-57","1.02469916630761"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098214537","923.25","-56.5","0.938796242186012"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098252656","925.75","-57.5","3.46372861904578"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098259694","925.75","-57","0.423378697456437"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098299873","925.75","-57","0.337475773334841"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098307950","925.75","-57","0.377359273819868"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098344107","925.75","-57.5","0.374291312244096"
"E200 9366 C6B6 7BF1 9071 BDEF","1595493098352405","925.75","-57.5","0.33440781175907"
