"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588045850","925.25","-63.5","5.56835026002488"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588063426","925.25","-63.5","5.80765126293504"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588100084","925.25","-62","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588116301","925.25","-61.5","6.0040008037844"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588156014","925.25","-62.5","5.86594253287469"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588164587","925.25","-62","6.10217557420908"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588210444","922.75","-61.5","0.512349583153804"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588215244","922.75","-61.5","0.843689433337103"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588258214","922.75","-62","0.819145740730932"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588264630","922.75","-62.5","3.99755393322998"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588303188","922.75","-62","4.23992289771591"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588311993","922.75","-61.5","1.13821374461115"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588353894","922.75","-61.5","4.50990351638379"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588360882","922.75","-61.5","4.52524332426264"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588563044","927.75","-62","0.530757352608432"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714588830312","927.25","-63.5","4.88726279020365"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714589694655","922.25","-62.5","2.01565075528173"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714589718620","922.25","-61.5","1.96963133164516"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714589767923","922.25","-62.5","1.97269929322093"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714589803713","922.25","-62","1.95429152376631"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714590620893","925.25","-62","1.56159244206758"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714590702643","925.25","-62","4.61421420996001"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714590740974","922.75","-62","2.17518475722184"
"E200 9366 C6B6 7BF1 9071 BDEF","1594714590793893","922.75","-62.5","2.0616701789183"
