"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902096857","924.75","-57","1.34376717018782"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902104258","924.75","-57","1.33763124703628"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902144025","924.75","-56.5","1.32535940073319"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902151710","924.75","-56.5","1.34376717018782"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902190301","924.75","-56.5","1.40819436327902"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902198150","924.75","-56.5","1.33149532388474"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902234957","924.75","-57","1.36524290121822"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902243388","924.75","-56.5","4.5191074011111"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902279721","924.75","-57","4.52217536268687"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902298173","925.25","-57","1.24559239976314"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902334985","925.25","-57","1.2394564766116"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902345502","925.25","-57","1.23638851503583"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902382558","925.25","-57","4.39638893808025"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902390068","925.25","-57","1.25786424606623"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902428518","925.25","-57","4.38718505335293"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902437620","925.25","-57","1.24866036133891"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902475107","925.25","-57","1.24866036133891"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902484258","925.25","-57","4.4117287459591"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902522203","922.75","-56.5","5.05600067687107"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902528514","922.75","-56.5","5.06520456159839"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902568237","922.75","-57","1.92667986958437"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902577072","922.75","-56.5","1.97269929322093"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902613558","922.75","-56.5","5.03759290741645"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902622819","922.75","-56.5","5.01304921481028"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902661656","922.75","-56.5","5.06827252317416"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902670667","922.75","-56.5","5.0529327152953"
"E200 9366 C6B6 7BF1 9071 BDEF","1595575902718433","924.25","-57","4.62648605626309"
