"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522636641","927.75","-58.5","0.877437010670587"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522644629","927.75","-58","0.806873894427847"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522683179","927.75","-58.5","0.911184588004071"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522692766","927.75","-58","0.911184588004071"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522728653","927.75","-58","1.14434966776269"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522737027","927.75","-58","1.19343705297503"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522776289","927.75","-58","1.29161182339971"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522784716","927.75","-58","1.40512640170325"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522822300","927.75","-58.5","4.51297147795956"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522837380","923.25","-57.5","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522876151","923.25","-58","5.95798138014783"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522884942","923.25","-58","5.94877749542052"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522923815","923.25","-58","6.01934061166326"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522929822","923.25","-58","6.07149595845137"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522967007","923.25","-58","6.15126295942142"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495522977083","923.25","-57.5","6.19728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523017124","923.25","-57.5","0.0276116541819415"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523024755","923.25","-58","6.20035034463376"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523064436","925.75","-58","2.46664110692011"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523071444","925.75","-58","5.70640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523108506","925.75","-58","5.70334056935881"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523117967","925.75","-58","5.75242795457115"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523155625","925.75","-58","5.80151533978349"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523163372","925.75","-58","5.74629203141961"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523200128","925.75","-58","5.80765126293504"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523211356","925.75","-58","5.76776776245001"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523249642","925.75","-58","2.60776733940559"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523270182","923.75","-58","6.28011734560381"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523307070","923.75","-58","6.22182607566416"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523314901","923.75","-58","6.26170957614919"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523356541","923.75","-58","0.116582539879309"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523363088","923.75","-58","6.2709134608765"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523403997","923.75","-58","6.22182607566416"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523409694","923.75","-58","6.19114645990645"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523451768","923.75","-58","0.0306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523458504","923.75","-58.5","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523506909","924.25","-58.5","6.19728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523516029","924.25","-58","6.17580665202759"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523555758","924.25","-58.5","6.24023384511879"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523564170","924.25","-58.5","6.16660276730028"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523603168","924.25","-58.5","0.122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523610056","924.25","-58.5","0.0490873852123405"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523652971","924.25","-58.5","0.282252464970958"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523657906","924.25","-58.5","0.113514578303537"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523698672","925.25","-58.5","6.25864161457342"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523707264","925.25","-58.5","6.20035034463376"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523744268","925.25","-58","0.0521553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523752743","925.25","-58","0.021475731030399"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523791625","925.25","-58","0.0521553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523800200","925.25","-58","0.0460194236365692"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523837239","925.25","-58","0.104310693576224"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523845121","925.25","-58","0.00613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523884325","925.25","-57.5","6.2494377298461"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523902594","922.25","-57.5","0.803805932852076"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523941021","922.25","-58","0.773126317094363"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523947337","922.25","-57.5","0.81300981757939"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523991596","922.25","-58","0.733242816609336"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495523996135","922.25","-57.5","0.791534086548991"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495524038588","922.25","-58","3.80734031553216"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495524048337","922.25","-58","0.702563200851624"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495524087823","922.25","-58","0.69335931612431"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495524105996","926.75","-58","5.63584541469185"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495524143329","926.75","-58","2.52186441528399"
"E200 9366 C6B6 7BF1 9071 BDEF","1595495524153091","926.75","-57.5","5.59596191420682"
