"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369760685","925.25","-61","2.19359252667647"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369767365","925.25","-60.5","5.23394244826581"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369803672","925.25","-61","5.24314633299312"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369813031","925.25","-61","5.3413211034178"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369850616","925.25","-61.5","5.20019487093232"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369862260","925.25","-61","5.26769002559929"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369902005","925.25","-60.5","5.32291333396318"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369910032","925.25","-60.5","5.28916575662969"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369957797","922.75","-60.5","6.18807849833068"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713369966587","922.75","-60.5","6.06229207372405"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370002653","922.75","-61","5.94264157226897"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370009467","922.75","-60.5","6.06229207372405"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370049979","922.75","-60","5.99786488063286"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370060368","922.75","-61","6.10831149736062"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370097505","922.75","-61","5.99479691905709"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370110345","922.75","-61","5.96411730329937"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370158628","927.75","-61.5","4.58046663262652"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370168086","927.75","-61.5","1.48182544109753"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370207054","927.75","-61","1.2394564766116"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370222965","927.75","-61.5","4.58967051735384"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370258946","927.75","-61.5","4.58967051735384"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370266788","927.75","-61.5","4.45161224644413"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370309720","927.75","-61.5","4.47002001589876"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370316296","927.75","-60.5","4.46695205432299"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370356465","923.75","-60.5","5.53767064426716"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370363539","923.75","-60.5","5.88741826390509"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370399503","923.75","-60.5","5.70640853093458"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370413103","923.75","-60.5","5.77697164717732"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370449695","923.75","-61","5.71868037723767"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370459341","923.75","-60.5","5.65732114572224"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370497035","923.75","-61","5.53767064426716"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370505180","923.75","-61","5.7370881466923"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370555039","927.25","-61.5","4.72466082668778"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370563692","927.25","-60.5","4.721592865112"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370609464","927.25","-61.5","4.73386471141509"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370616787","927.25","-61","4.78908801977897"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370654025","927.25","-61.5","4.71852490353623"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370661960","927.25","-62","1.55238855734027"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370701360","927.25","-62","4.74613655771817"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370707631","927.25","-61","1.51250505685524"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370759822","925.75","-60.5","5.19405894778078"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370765982","925.75","-61.5","5.17565117832615"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370806327","925.75","-61.5","5.22167060196272"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370811434","925.75","-61.5","5.04679679214376"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370850195","925.75","-61","4.8933987133552"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370859435","925.75","-60.5","2.13223329516104"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370898303","925.75","-61.5","5.0314569842649"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370904149","925.75","-60.5","5.1603113704473"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370941736","925.75","-60","5.01918513796182"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370951030","925.75","-61.5","4.95782590644639"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713370997747","924.75","-60.5","5.59596191420682"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371006037","924.75","-61.5","5.39961237335746"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371041641","924.75","-60.5","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371054721","924.75","-61","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371090503","924.75","-61","2.33471875916195"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371099305","924.75","-60.5","5.39040848863014"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371136950","924.75","-60.5","5.39654441178169"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371146829","924.75","-60.5","5.46403956644865"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371183247","926.75","-61","4.83817540499131"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371193168","926.75","-61.5","4.76761228874857"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371230322","926.75","-60.5","1.54625263418873"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371238820","926.75","-61","4.8933987133552"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371275072","926.75","-61","4.97009775274948"
"E200 9366 C6B6 7BF1 9071 BDEF","1594713371285423","926.75","-61.5","4.63262197941464"
