"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932286157","925.75","-48","0.57370881466923"
"E200 9366 C6B6 5D71 9071 BD75","1583732932290835","925.75","-53","4.75840840402126"
"E200 9366 C6B6 5D71 9071 BD75","1583732932297947","925.75","-53.5","4.7001171340816"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932302924","925.75","-48","0.576776776245001"
"E200 9366 C6B6 5D71 9071 BD75","1583732932338658","925.75","-54","4.5835345942023"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932344700","925.75","-48.5","0.5982525072754"
"E200 9366 C6B6 5D71 9071 BD75","1583732932350260","925.75","-54","4.50069963165647"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932356217","925.75","-48.5","0.601320468851171"
"E200 9366 C6B6 5D71 9071 BD75","1583732932391984","925.75","-53.5","4.64182586414195"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932396517","925.75","-48.5","0.625864161457342"
"E200 9366 C6B6 5D71 9071 BD75","1583732932403965","925.75","-53.5","4.58660255577807"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932408479","925.75","-48.5","0.601320468851171"
"E200 9366 C6B6 5D71 9071 BD75","1583732932445139","925.75","-54","4.6050103252327"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932450292","925.75","-48.5","0.613592315154257"
"E200 9366 C6B6 5D71 9071 BD75","1583732932457659","925.75","-54","4.60194236365692"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932462779","925.75","-48","0.601320468851171"
"E200 9366 C6B6 5D71 9071 BD75","1583732932498013","923.25","-55.5","5.21553467881118"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932502706","923.25","-48","1.30695163127857"
"E200 9366 C6B6 5D71 9071 BD75","1583732932509145","923.25","-55.5","5.08974825420456"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932515056","923.25","-48","1.31922347758165"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932551282","923.25","-48","1.31615551600588"
"E200 9366 C6B6 5D71 9071 BD75","1583732932555453","923.25","-55.5","5.14190360099267"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932564124","923.25","-48","1.30081570812702"
"E200 9366 C6B6 5D71 9071 BD75","1583732932567471","923.25","-55.5","5.15724340887153"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932604889","923.25","-48","1.33456328546051"
"E200 9366 C6B6 5D71 9071 BD75","1583732932608550","923.25","-55.5","5.17871913990192"
"E200 9366 C6B6 5D71 9071 BD75","1583732932616894","923.25","-55.5","5.21860264038695"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932620892","923.25","-48","1.32842736230897"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932657164","923.25","-48","1.34683513176359"
"E200 9366 C6B6 5D71 9071 BD75","1583732932661263","923.25","-56","5.22473856353849"
"E200 9366 C6B6 5D71 9071 BD75","1583732932670362","923.25","-55.5","5.16337933202307"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932674110","923.25","-48","1.31001959285434"
"E200 9366 C6B6 5D71 9071 BD75","1583732932711159","926.75","-54.5","4.24605882086745"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932714919","926.75","-48.5","0.325203927031756"
"E200 9366 C6B6 5D71 9071 BD75","1583732932722576","926.75","-55","4.29514620607979"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932726919","926.75","-48.5","0.322135965455985"
"E200 9366 C6B6 5D71 9071 BD75","1583732932763102","926.75","-54","4.46388409274722"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932766886","926.75","-48.5","0.343611696486384"
"E200 9366 C6B6 5D71 9071 BD75","1583732932774725","926.75","-53.5","4.63262197941464"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932778857","926.75","-48.5","0.35895150436524"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932816071","926.75","-48.5","0.352815581213697"
"E200 9366 C6B6 5D71 9071 BD75","1583732932820161","926.75","-52","5.04372883056799"
"E200 9366 C6B6 5D71 9071 BD75","1583732932827662","926.75","-52","5.0958841773561"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932831750","926.75","-48.5","0.352815581213697"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932869474","926.75","-48.5","0.343611696486384"
"E200 9366 C6B6 5D71 9071 BD75","1583732932873341","926.75","-52","5.35052498814512"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932881692","926.75","-48.5","0.380427235395639"
"E200 9366 C6B6 5D71 9071 BD75","1583732932885389","926.75","-51.5","5.49471918220637"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932922901","923.75","-48","1.20877686085389"
"E200 9366 C6B6 5D71 9071 BD75","1583732932926201","923.75","-53","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932934748","923.75","-48","1.22104870715697"
"E200 9366 C6B6 5D71 9071 BD75","1583732932938597","923.75","-53.5","0.0613592315154256"
"E200 9366 C6B6 5D71 9071 BD75","1583732932976199","923.75","-53","0.184077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932979775","923.75","-48","1.19957297612657"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732932986754","923.75","-48","1.21491278400543"
"E200 9366 C6B6 5D71 9071 BD75","1583732932990400","923.75","-53","0.21475731030399"
"E200 9366 C6B6 5D71 9071 BD75","1583732933027770","923.75","-53","0.681087469821225"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933032760","923.75","-48","1.19036909139926"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933039840","923.75","-48","1.20570889927811"
"E200 9366 C6B6 5D71 9071 BD75","1583732933044114","923.75","-53","0.877437010670587"
"E200 9366 C6B6 5D71 9071 BD75","1583732933081827","923.75","-52.5","1.38671863224862"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933085961","923.75","-48","1.22411666873274"
"E200 9366 C6B6 5D71 9071 BD75","1583732933091646","923.75","-52.5","1.53091282630987"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933097331","923.75","-48","1.2179807455812"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933134205","927.75","-48.5","0.0337475773334841"
"E200 9366 C6B6 5D71 9071 BD75","1583732933138697","927.75","-52","1.06458266679264"
"E200 9366 C6B6 5D71 9071 BD75","1583732933145364","927.75","-52","1.1320778214596"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933151137","927.75","-48.5","0.0797670009700533"
"E200 9366 C6B6 5D71 9071 BD75","1583732933186211","927.75","-50.5","2.11382552570641"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933192313","927.75","-48.5","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933198908","927.75","-48.5","0.0705631162427395"
"E200 9366 C6B6 5D71 9071 BD75","1583732933203408","927.75","-50.5","5.58982599105528"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933241333","927.75","-48.5","0.042951462060798"
"E200 9366 C6B6 5D71 9071 BD75","1583732933245389","927.75","-50.5","3.41770919540921"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933252290","927.75","-48.5","0.0613592315154256"
"E200 9366 C6B6 5D71 9071 BD75","1583732933256754","927.75","-50.5","0.500077736850719"
"E200 9366 C6B6 5D71 9071 BD75","1583732933294496","927.75","-51","4.45774816959567"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933298880","927.75","-48.5","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933304919","927.75","-48.5","0.042951462060798"
"E200 9366 C6B6 5D71 9071 BD75","1583732933310006","927.75","-51.5","4.83203948183977"
"E200 9366 C6B6 7BF1 9071 BDEF","1583732933346525","922.75","-48","1.48182544109753"
"E200 9366 C6B6 5D71 9071 BD75","1583732933349676","922.75","-50.5","1.30081570812702"
